time_stamp,RTL_ALT,MODE,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,EK2_ALT_SOURCE
09:22:18,1500.0,AUTO,583930.0,-35.3632622,149.1652375,6.333333333333333,-1.0,1.0,1.0,0.0,1.0,-1000.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.0011691856974114974,0.0010135528864338994,0.02163187600672245,0.0002052301230529944,0.00021541429062684378,0.0014344678493216634,583.9299926757812,0.0
09:22:20,1500.0,AUTO,587230.0,-35.3632614,149.1652408,3304.0,8.5,51.0,-147.0,2.0,-9.0,-992.0,-122.0,69.0,-89.0,0.0406862935051322,0.00853387953247875,-0.02591812750324607,-0.12308324500918388,0.06850028969347477,-0.08902619034051895,587.22998046875,0.0
09:22:22,1500.0,AUTO,590300.0,-35.363261,149.16524505,6373.5,-2.5,-39.5,-150.0,-3.0,5.5,-1000.5,56.5,1.5,-6.5,-0.05910852737724781,-0.005891915177926421,-0.09260020777583122,0.05618947744369507,0.000838340783957392,-0.006887022405862808,590.2999877929688,0.0
09:22:24,1500.0,AUTO,593410.0,-35.36326235,149.16523415,9484.0,-13.5,-14.0,-153.5,-0.5,5.5,-999.5,42.5,-12.5,18.5,0.0670071430504322,0.009821029379963875,-0.0914471186697483,0.042642406187951565,-0.013278512749820948,0.0193383505102247,593.4099731445312,0.0
09:22:26,1500.0,AUTO,596495.0,-35.36326205,149.1652368,12573.5,11.5,2.0,-152.5,-2.0,-2.5,-1001.5,13.5,14.0,-41.5,-0.021414225921034813,0.0025093090371228755,-0.11415258049964905,0.013514266116544604,0.013466534670442343,-0.04195844940841198,596.4949951171875,0.0
09:22:28,1500.0,AUTO,599625.0,-35.3632611,149.16523535,15701.5,-4.5,-1.0,-153.0,0.0,0.5,-999.0,0.5,-4.0,-4.5,0.01152402674779296,0.00914017390459776,-0.1563674584031105,-0.0005333793815225363,-0.005353238433599472,-0.0052041285671293736,599.625,0.0
09:22:30,1500.0,AUTO,602755.0,-35.3632617,149.16523575000002,18825.0,-4.5,6.0,-153.0,1.0,0.0,-1000.0,-1.5,-1.5,-17.5,0.0021903672022745013,0.0018723845132626593,-0.18091226369142532,-0.0024900366843212396,-0.002210099424701184,-0.017665229737758636,602.7550048828125,0.0
09:22:32,1500.0,AUTO,605865.0,-35.3632619,149.1652363,21943.0,-2.0,3.0,-153.0,0.0,0.0,-1000.0,3.0,0.5,-20.5,0.0018891024519689381,0.0026426006807014346,-0.22444100677967072,0.002316175145097077,0.00034028562367893755,-0.021186898462474346,605.864990234375,0.0
09:22:34,1500.0,AUTO,608985.0,-35.363262,149.1652366,25055.0,-1.0,2.5,-152.5,0.0,0.0,-997.5,-26.0,8.0,-6.5,-0.0016443696222268045,0.0032444640528410673,-0.26301051676273346,-0.02672569249989465,0.007930079096695408,-0.00586484675295651,608.9849853515625,0.0
09:22:36,1500.0,AUTO,612095.0,-35.3632624,149.16523665,28172.0,-2.5,6.5,-153.0,0.5,0.0,-999.5,-4.5,0.0,22.5,0.007928773062303662,0.0011425413540564477,-0.2202674150466919,-0.0060695146676152945,-0.0007605857390444726,0.02317640371620655,612.094970703125,0.0
09:22:38,1500.0,AUTO,615205.0,-35.3632624,149.1652378,31279.5,0.0,4.5,-153.0,0.0,-0.5,-1000.0,0.5,0.0,16.0,-0.001324317418038845,0.0015706532285548747,-0.18161963671445847,-0.0004855367005802691,-0.0016229148022830486,0.0162926921620965,615.2049865722656,0.0
09:22:40,1500.0,AUTO,618315.0,-35.3632623,149.1652379,34386.5,0.0,0.0,-153.0,0.0,0.0,-1000.5,2.5,0.0,13.0,0.0005796492478111759,0.0012067346833646297,-0.1527896225452423,0.002151919761672616,-0.00031312883947975934,0.013158028479665518,618.3150024414062,0.0
09:22:42,1500.0,AUTO,621425.0,-35.3632622,149.1652376,37495.5,0.0,0.0,-153.0,0.0,0.0,-999.5,0.0,1.5,9.5,0.002059027669019997,0.0014495524810627103,-0.1309971734881401,-0.0008871663303580135,0.0007738136919215322,0.010343616362661123,621.4249877929688,0.0
09:22:44,1500.0,AUTO,624535.0,-35.3632621,149.1652374,40610.0,0.0,0.0,-153.0,0.0,0.0,-1000.0,1.0,1.0,8.0,0.0014649156364612281,0.0016314030508510768,-0.11457982659339905,-0.000107372528873384,0.000431094435043633,0.008331023389473557,624.5349731445312,0.0
09:22:46,1500.0,AUTO,627645.0,-35.363262,149.1652373,43716.0,-1.0,1.0,-153.0,0.0,0.0,-1000.5,2.5,0.0,6.0,0.001564401260111481,0.0012897682609036565,-0.10159875079989433,0.001859443262219429,-0.000992566638160497,0.006195617141202092,627.6449890136719,0.0
09:22:48,1500.0,AUTO,630750.0,-35.363262,149.1652372,46824.5,-1.0,1.0,-152.5,0.0,0.0,-996.5,-4.0,4.0,16.5,0.001241071498952806,0.0014866626006551087,-0.08998694270849228,-0.0059475472662597895,0.003801669634412974,0.01636386220343411,630.75,0.0
09:22:50,1500.0,ALT_HOLD,633030.0,-35.3632658,149.16523085,49107.5,-50.5,-78.0,-30.5,4.0,19.5,-861.0,-56.5,-11.0,-25.5,-0.09006674960255623,0.08854104951024055,0.29016241431236267,-0.05771036446094513,-0.01176549308001995,-0.026341889053583145,633.0299987792969,0.0
09:22:52,1500.0,ALT_HOLD,630800.0,-35.3632813,149.16520655,46875.0,-109.0,-100.5,185.5,15.5,105.5,-975.5,294.0,-11.0,-6.5,-0.0038931844756007195,0.021158549934625626,0.2248079553246498,0.2886109910905361,-0.012859389185905457,-0.007069052197039127,630.7999877929688,0.0
09:22:54,1500.0,AUTO,627045.0,-35.36330135,149.1651936,43122.5,-102.5,-21.5,169.5,26.5,-4.5,-988.0,795.0,5.0,6.0,0.040198128670454025,0.004307133494876325,0.17987674474716187,0.7975038290023804,0.004171927197603509,0.005567564396187663,627.0449829101562,0.0
09:22:56,1500.0,AUTO,624680.0,-35.36331345,149.1651951,40757.5,-10.5,-14.5,29.5,3.5,17.0,-1078.5,681.0,23.5,-40.5,-0.021291766315698624,-0.029331482015550137,0.15323520451784134,0.6816324293613434,0.022978603839874268,-0.04125147871673107,624.6799926757812,0.0
09:22:58,1500.0,AUTO,624990.0,-35.36331425,149.1651937,41064.5,11.0,-17.0,-65.0,-1.5,6.5,-1051.5,48.5,5.5,-14.0,-0.0015980313764885068,-0.00816021952778101,0.11544685438275337,0.047395236790180206,0.005172080593183637,-0.01466071279719472,624.989990234375,0.0
09:23:02,1500.0,AUTO,630190.0,-35.36331285,149.16520020000002,46262.5,0.5,17.0,-146.0,2.5,-5.5,-1007.5,-84.0,-14.5,-39.0,-0.07666723802685738,0.0072736358270049095,0.02192090731114149,-0.08491263538599014,-0.015931781847029924,-0.040106385946273804,630.1900024414062,0.0
09:23:04,1500.0,AUTO,632915.0,-35.363314,149.16518595,48990.5,-9.5,-86.0,-94.5,-10.5,22.0,-952.5,148.5,-27.5,-3.0,0.08325225859880447,-0.033604432828724384,0.07180808484554291,0.14856597036123276,-0.028715909458696842,-0.0036815525963902473,632.9149780273438,0.0
