,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
06:02:42.478,93184.0,0.5,1.3,-10.0,0.25
06:02:46.496,200.0,0.4,0.7,-8.8,0.25
06:02:50.046,213697.0,1.1,0.1,-8.5,0.25
06:02:54.076,217485.0,0.6,0.2,-10.0,0.25
06:02:58.104,300000.0,0.3,2.0,-10.0,0.25
06:03:02.137,246905.0,0.0,2.0,-7.4,0.25
06:03:06.157,149110.0,1.1,0.9,-2.6,0.25
06:03:10.181,41807.0,0.1,2.0,2.6,0.25
06:03:14.211,139998.0,0.7,0.2,-7.4,0.25
06:03:18.243,300000.0,0.8,0.0,3.7,0.25
06:03:22.267,212542.0,0.2,2.0,6.2,0.25
06:03:26.298,278510.0,0.0,1.3,3.4,0.25
06:03:30.316,200.0,0.0,2.0,0.4,0.25
06:03:34.334,200.0,0.8,0.3,-4.9,0.25
06:03:38.351,147599.0,0.9,0.0,-6.2,0.25
06:03:42.383,300000.0,0.5,0.2,4.9,0.25
06:03:46.407,104263.0,0.3,0.0,-10.0,0.25
06:03:50.458,289333.0,0.5,0.0,-10.0,0.25
06:03:54.477,200.0,0.7,1.1,2.5,0.25
06:03:58.503,131838.0,1.1,1.5,-5.3,0.25
06:04:02.033,300000.0,0.5,1.4,10.1,0.25
06:04:06.059,216739.0,0.7,0.6,-9.3,0.25
06:04:10.078,200.0,0.3,0.2,-2.0,0.25
06:04:14.095,104016.0,1.1,0.0,-0.5,0.25
06:04:18.121,200.0,0.6,0.2,10.1,0.25
06:04:22.161,108815.0,0.5,0.1,-5.9,0.25
06:04:26.182,108156.0,0.5,1.0,6.6,0.25
06:04:30.219,300000.0,0.4,2.0,10.1,0.25
06:04:34.234,200.0,1.1,1.0,7.5,0.25
06:04:38.246,200.0,0.8,1.4,-7.6,0.25
06:04:42.269,147422.0,0.2,1.1,10.1,0.25
06:04:46.300,197560.0,0.5,1.5,2.7,0.25
06:04:50.320,200.0,0.9,1.7,-1.0,0.25
06:04:54.336,200.0,1.0,1.7,-0.9,0.25
06:04:58.354,105687.0,1.1,0.7,-10.0,0.25
06:05:02.372,112761.0,0.5,0.0,10.1,0.25
06:05:06.409,265024.0,1.1,1.0,3.9,0.25
06:05:10.430,200.0,0.3,0.3,-9.9,0.25
06:05:14.453,140557.0,0.3,1.8,-5.4,0.25
06:05:18.479,300000.0,0.8,0.4,-9.0,0.25
06:05:22.494,35651.0,0.9,1.1,10.1,0.25
06:05:26.023,82849.0,0.0,0.9,-3.7,0.25
06:05:30.035,200.0,1.1,1.8,-10.0,0.25
06:05:34.068,300000.0,0.7,1.9,10.1,0.25
