time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
02:22:25,1500.0,-0.00031582138035446405,0.000927539134863764,0.021800696849822998,0.00015052297385409474,0.0003257744247093797,0.0015933351824060082,-35.3632621,149.1652374,0.0,-1.0,1.0,-1.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0
02:22:29,1500.0,-0.0007854406430851668,0.0009717701177578419,0.020706456154584885,0.00025398386060260236,0.0002955223899334669,0.0015133105916902423,-35.3632622,149.1652375,0.0,-1.0,1.5,1.0,AUTO,0.0,1.5,-1000.0,0.5,1.0,1.0
02:22:30,226244.0,-0.000655491758758823,0.00102369529971232,0.02042345143854618,0.00025354438306142885,0.00026347228170682985,0.0014933676769336064,-35.36326213333333,149.1652375,0.0,-0.6666666666666666,1.3333333333333333,2.3333333333333335,AUTO,0.0,1.3333333333333333,-1000.0,0.0,0.0,0.0
02:22:31,226244.0,-0.0006277208061267933,0.0011352807050570846,0.02027643782397111,0.00029623314427832764,0.00020025006961077452,0.0014191847294569016,-35.3632621,149.1652375,0.0,0.0,0.0,2.0,AUTO,0.0,1.3333333333333333,-1000.0,0.0,0.3333333333333333,0.3333333333333333
02:22:33,159655.0,-0.0001907368229391674,0.0016910064732655883,0.0198206411053737,0.00032564673650388915,0.0002897268083567421,0.0014143676962703466,-35.3632621,149.1652374,0.0,0.0,0.0,1.0,AUTO,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
02:22:35,159655.0,0.025956272147595882,-0.0016142430540639907,0.019101907188693684,0.046120276053746544,-0.00761403888463974,0.0024174205803622804,-35.363262033333335,149.16523759999998,1514.0,1.0,7.0,-143.33333333333334,AUTO,0.0,-0.6666666666666666,-1016.3333333333334,46.333333333333336,-6.333333333333333,1.6666666666666667
02:22:36,190195.0,0.025144110744198162,0.012765252652267614,-0.03561493350813786,-0.1114104191462199,0.04130679089576006,-0.07940766960382462,-35.3632613,149.16524146666669,3425.3333333333335,7.666666666666667,50.666666666666664,-144.66666666666666,AUTO,3.3333333333333335,-10.333333333333334,-998.3333333333334,-110.0,42.0,-79.33333333333333
02:22:37,190195.0,-0.03867318046589693,0.012833911615113417,-0.07683041443427403,-0.0444767860074838,-0.020479812597235043,-0.036390265449881554,-35.36326093333333,149.16524513333331,4565.666666666667,-0.3333333333333333,31.666666666666668,-147.66666666666666,AUTO,3.3333333333333335,-7.0,-1004.3333333333334,-43.666666666666664,-19.333333333333332,-36.0
02:22:39,213138.0,-0.0036325324326753616,0.00020854874552848438,-0.09642826020717621,0.06638765583435695,0.012797311569253603,0.0014785757424154629,-35.3632613,149.16524006666668,7646.333333333333,-4.333333333333333,-57.0,-150.0,AUTO,-6.333333333333333,12.333333333333334,-1003.0,66.66666666666667,13.0,1.0
02:22:41,213138.0,0.011511400497208038,-0.009443620530267557,-0.07753680149714152,-0.06754469871520996,0.00866530773540338,-0.014214225656663379,-35.3632626,149.16523503333335,10756.333333333334,0.0,18.333333333333332,-148.33333333333334,AUTO,2.0,-3.0,-1000.6666666666666,-66.33333333333333,9.0,-14.333333333333334
02:22:42,268683.0,-0.011122458148747683,0.00025173805382413167,-0.11459995061159134,0.011269187865157923,0.006686164842297633,-0.028338879346847534,-35.363262166666665,149.16523633333333,12688.333333333334,6.0,0.3333333333333333,-151.33333333333334,AUTO,-0.6666666666666666,-1.0,-1000.6666666666666,11.333333333333334,6.666666666666667,-28.0
02:22:43,268683.0,0.0004818361291351418,0.0052287358945856495,-0.1347684363524119,0.016155287933846314,0.006814650415132443,-0.021309615423281986,-35.363261800000004,149.16523606666667,13857.666666666666,3.6666666666666665,-5.333333333333333,-152.0,AUTO,-2.0,0.0,-1000.0,16.333333333333332,7.0,-21.333333333333332
02:22:45,107069.0,0.007283426976452271,0.005117526898781459,-0.16391261915365854,-0.0036451341196273765,-0.0016343921888619661,-0.012833959423005581,-35.3632615,149.16523543333332,16980.0,-3.0,4.0,-152.0,AUTO,0.0,0.0,-999.6666666666666,-2.3333333333333335,-0.6666666666666666,-12.666666666666666
02:22:47,107069.0,0.0023952357781430087,0.0029811333709706864,-0.1990882953008016,-0.00025671425585945445,0.00017991145917524895,-0.0199698352565368,-35.36326173333333,149.1652361,20094.0,-3.0,4.666666666666667,-152.0,AUTO,0.0,0.0,-1000.0,0.0,0.6666666666666666,-20.0
02:22:48,193530.0,0.0025214165604362884,0.0031882882273445525,-0.22489884495735168,0.0013725363338987033,0.0001726388193977376,-0.020747237528363865,-35.3632618,149.1652364,22045.333333333332,-2.0,3.0,-153.0,AUTO,0.0,0.0,-1000.0,1.6666666666666667,1.0,-20.333333333333332
02:22:49,193530.0,0.0023791516044487557,0.0030601398708919683,-0.2400271495183309,-0.0007074087237318357,6.525369826704264e-06,-0.01959909312427044,-35.36326183333333,149.1652365333333,23223.666666666668,-2.0,3.0,-153.0,AUTO,0.0,0.0,-999.6666666666666,0.0,0.6666666666666666,-19.333333333333332
02:22:51,133233.0,0.0029297838918864727,0.004892693677296241,-0.24708957970142365,0.025155894768734772,-0.004051840320850412,0.02733865628639857,-35.36326210000001,149.1652366,26326.0,-4.666666666666667,-0.6666666666666666,-152.66666666666666,AUTO,0.0,0.3333333333333333,-1001.3333333333334,25.333333333333332,-2.6666666666666665,26.333333333333332
