time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz
07:05:23,1500.0,STABILIZE,-0.0003887330094585195,0.0009865367319434881,0.024498622864484787,0.00017065691645257175,0.00028607143030967563,0.0019090018467977643,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632621,149.1652375,0.0,-1.0,2.0,1.5
07:05:35,70348.5,AUTO,-0.001270241104066372,0.001004473422653973,0.02115958370268345,0.00023883400717750192,0.00018339086091145873,0.00145175022771582,0.0,1.0,-1000.0,0.0,1.0,0.5,-35.3632622,149.16523755,5.5,-1.0,1.0,3.0
07:05:37,139197.0,AUTO,-0.0009485833288636059,0.0013924323138780892,0.02084297314286232,0.0002891817130148411,0.0003110890102107078,0.0014601587899960577,0.0,1.0,-1000.0,0.0,0.5,0.0,-35.3632621,149.1652374,1.5,0.0,0.0,1.0
07:05:38,218404.0,AUTO,-0.0007961021328810602,0.001616103807464242,0.020695099607110023,0.0002673034759936854,0.0003142581699648872,0.0013862063060514629,0.0,1.5,-1000.0,0.75,0.25,0.25,-35.3632621,149.1652374,4.5,0.0,0.0,0.5
07:05:39,218404.0,AUTO,0.002427640021778643,0.00059556861378951,0.02042694389820099,0.0006207539699971676,0.0034274187637493014,0.0004252806102158502,0.0,0.0,-1120.0,1.5,3.5,0.0,-35.3632621,149.1652375,291.0,0.0,0.0,-82.0
07:05:41,138830.0,AUTO,0.053480397909879684,-0.00038063107058405876,-0.015643680235370994,-0.053574425633996725,0.057110257097519934,-0.06919574551284313,0.5,-9.5,-992.0,-53.0,57.5,-69.0,-35.3632615,149.1652402,3105.5,9.0,45.5,-147.0
07:05:43,59256.0,AUTO,-0.06311598606407642,-0.0069028474390506744,-0.09067939221858978,0.05199645273387432,-0.0006894024554640055,-0.007131227990612388,-2.0,4.0,-1002.0,52.5,0.0,-7.0,-35.363261,149.1652454,6180.0,-2.0,-32.5,-150.0
07:05:44,258326.0,AUTO,-0.017855489975772798,-0.002191745094023645,-0.0942700244486332,0.0638903770595789,0.010580704314634204,-0.00015407497994601727,-6.5,11.25,-1002.25,64.25,11.0,-0.5,-35.36326125,149.165241425,7338.25,-3.75,-55.25,-150.75
07:05:45,258326.0,AUTO,0.060525719076395035,0.008424876257777214,-0.08972440659999847,0.03795389458537102,-0.014742363011464477,0.022567730862647295,-2.0,7.0,-999.0,38.5,-14.5,21.5,-35.36326205,149.1652348,9295.0,-10.5,-19.0,-154.0
07:05:47,177454.5,AUTO,-0.013155938126146793,-9.777568629942834e-05,-0.10795272141695023,0.0073119912995025516,0.008615995291620493,-0.0300546707585454,-0.5,-1.5,-1001.0,8.0,9.0,-30.0,-35.363262250000005,149.1652362,12393.0,6.0,3.0,-152.5
07:05:49,96583.0,AUTO,0.008723216596990824,0.007450188510119915,-0.15152128040790558,0.0014677142607979476,-0.0005797706835437566,-0.011788038071244955,-0.5,0.0,-1000.0,2.0,0.0,-12.0,-35.3632615,149.1652354,15514.0,-1.5,-0.5,-153.0
07:05:50,297652.0,AUTO,0.007394716609269381,0.005677769077010453,-0.1605003923177719,-0.0028233335760887712,-0.0024037635885179043,-0.011333840433508158,0.0,0.0,-999.75,-1.5,-1.25,-11.0,-35.3632615,149.165235375,16682.75,-2.75,3.5,-153.0
07:05:51,297652.0,AUTO,0.0026011454174295068,0.003834762959741056,-0.18050090223550797,-0.003815383417531848,0.00030944342142902315,-0.01924640592187643,0.5,0.0,-999.5,-2.5,0.5,-19.0,-35.3632616,149.16523575000002,18637.5,-3.0,6.0,-153.0
07:05:53,239975.0,AUTO,-0.002173304557800293,0.004532787948846817,0.07855511084198952,0.12606151401996613,-0.15797054022550583,0.1152983894571662,1.5,10.5,-955.5,126.0,-156.5,114.5,-35.36326325,149.1652335,21599.5,-33.0,-34.0,-120.5
07:05:55,182298.0,AUTO,0.01877066260203719,-0.003649162143119611,0.05724112316966057,-0.0391318928450346,0.032339075580239296,0.0022760169813409448,0.0,-9.5,-976.5,-37.5,32.5,1.5,-35.3632639,149.16523404999998,23301.5,18.5,37.5,-55.0
07:05:56,236296.0,AUTO,-0.0031844079203438014,0.011587012326344848,0.05510413460433483,-0.01873725320911035,0.01173044671304524,-0.0002767098103504395,0.0,-8.25,-976.5,-17.5,12.0,-0.25,-35.36326255,149.165236875,23640.25,15.75,32.25,-38.0
07:05:57,236296.0,AUTO,-0.019643429201096296,0.01759303780272603,0.05040992423892021,-0.002521175891160965,0.035877189598977566,-0.004998989636078477,1.0,0.0,-945.0,-1.5,36.5,-4.5,-35.363261249999994,149.16523975,23912.5,2.5,9.5,-3.0
07:05:59,203148.5,AUTO,-0.035021623596549034,-0.04859224893152714,0.03792431764304638,0.3888910636305809,-0.03421973343938589,-0.08529084315523505,-12.5,32.5,-1016.0,390.0,-33.0,-85.0,-35.36326035,149.16523469999998,23666.5,25.0,-50.0,-1.0
07:06:01,170001.0,AUTO,0.02365106251090765,-0.1321173682808876,-0.8923504054546356,-0.13815893977880478,-0.01000552554614842,-0.025194117799401283,-41.0,-28.0,-1007.0,-137.0,-8.5,-25.5,-35.363247799999996,149.16521369999998,23758.0,124.0,-154.0,-9.5
07:06:02,269627.0,AUTO,0.038046155124902725,-0.11097061820328236,-0.8581336140632629,0.06247049570083618,0.03915833728387952,0.04085828142706305,-51.25,-30.0,-1007.5,63.5,39.5,40.5,-35.363238224999996,149.165198875,23836.5,160.0,-196.25,-14.25
