time_stamp,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
10:17:22,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE,143866.0,-0.0007926891557872295,0.0009900121949613094,0.022640205919742584,0.00033143151085823774,0.0002570071374066174,0.0016537157353013754,0.0,1.0,-1000.0,0.0,0.0,0.0
10:17:26,-35.3632622,149.1652375,0.0,-1.0,2.0,1.0,AUTO,91543.0,-0.0007466480601578951,0.0009637424373067915,0.02169201523065567,0.0003681389498524368,0.0003340225084684789,0.001522699254564941,0.0,1.5,-1000.0,0.5,0.0,1.0
10:17:28,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,AUTO,39220.0,-0.0008543713774997741,0.001111807650886476,0.021255684085190296,0.00021007921895943582,0.00017252445104531944,0.0013683566357940435,0.0,1.5,-1000.0,0.5,0.5,0.5
10:17:29,-35.3632621,149.16523745,0.0,0.0,0.0,0.0,AUTO,54176.0,-0.0005854211485711858,0.00143680622568354,0.020972133614122868,0.0003329829196445644,0.0003133300051558763,0.0013569685688707978,0.0,1.0,-1000.0,0.5,0.0,0.5
10:17:30,-35.3632621,149.1652374,0.5,0.0,0.0,0.0,AUTO,54176.0,-0.00040248136792797595,0.0016617089859209955,0.020793057046830654,0.0003566847590263933,0.00029226826154626906,0.0014032056205905974,0.0,1.0,-1000.0,1.0,0.0,0.5
10:17:32,-35.363262,149.1652376,1569.0,0.5,7.0,-145.5,AUTO,116812.0,0.02700924314558506,-0.0017448643047828227,0.019920751452445984,0.046336131170392036,-0.007568730041384697,0.0021725306869484484,0.0,-0.5,-1013.0,46.5,-6.5,1.5
10:17:34,-35.3632609,149.16524535000002,4632.5,-1.5,31.0,-149.0,AUTO,179448.0,-0.03948209621012211,0.01484493212774396,-0.08123336732387543,-0.03971586097031832,-0.02204531291499734,-0.03553180582821369,3.5,-7.0,-1003.5,-38.5,-21.0,-35.0
10:17:35,-35.36326115,149.16524427500002,6546.25,-1.75,-43.0,-149.0,AUTO,80909.0,-0.04842288326472044,-0.008670259267091751,-0.0898005086928606,0.05746948719024658,0.003941557690268382,-0.0016932727303355932,-3.5,6.5,-1001.5,57.5,4.5,-1.75
10:17:36,-35.36326135,149.16523975,7707.0,-2.5,-58.0,-150.5,AUTO,80909.0,-0.0014735632576048374,-0.001528709806734696,-0.09118222072720528,0.06665857881307602,0.014214846771210432,0.002661378704942763,-7.0,12.0,-1003.5,66.5,14.5,2.0
10:17:38,-35.3632624,149.16523495,10825.5,-3.0,20.0,-149.0,AUTO,121124.0,0.009576635668054223,-0.0035685915499925613,-0.08144700527191162,-0.06438852846622467,-0.003188698086887598,-0.010283782612532377,2.5,-2.5,-1001.0,-63.5,-2.0,-10.0
10:17:40,-35.363262,149.16523625000002,13931.5,3.5,-5.0,-152.0,AUTO,161339.0,-0.000462882686406374,0.0025769168278202415,-0.13087335973978043,0.015809160191565752,0.006461566546931863,-0.021680843085050583,-2.0,0.0,-1000.0,16.0,7.0,-21.0
10:17:41,-35.36326165,149.1652355,15876.75,-0.5,-0.75,-151.75,AUTO,123446.0,0.005768538743723184,0.006479531992226839,-0.15298441797494888,-0.01975546486210078,0.0005669680249411613,-0.013438208028674126,-0.5,0.0,-998.5,-18.75,1.0,-13.25
10:17:42,-35.3632616,149.16523515,17038.5,-4.0,-8.0,-149.5,AUTO,123446.0,-0.03737708739936352,0.006852827034890652,-0.16102231293916702,-0.07719817012548447,0.019326243840623647,0.02979853469878435,-0.5,1.0,-991.5,-76.0,20.0,29.5
10:17:44,-35.3632643,149.16523030000002,19456.0,-2.0,16.5,-79.5,AUTO,162706.0,0.06112035922706127,-0.030269937589764595,0.04146209731698036,-0.029608851298689842,0.02321302704513073,-0.018803416285663843,1.0,-2.0,-969.0,-28.5,23.5,-18.5
10:17:46,-35.36326205,149.16523784999998,20554.5,10.5,30.5,-30.0,AUTO,201966.0,-0.01057196082547307,0.014266138896346092,0.03512639179825783,-0.008346240036189556,0.003364318748936057,-0.001906464749481529,0.5,-8.0,-976.0,-7.0,4.0,-1.5
10:17:47,-35.36326135,149.165239975,20689.0,-2.25,2.0,9.25,AUTO,233848.0,-0.02252427744679153,0.017352366587147117,0.03183211479336023,0.2540774829685688,0.00021207029931247234,-0.004013370140455663,0.0,13.0,-964.0,255.25,1.5,-3.75
10:17:48,-35.3632615,149.16523965,20554.5,-11.0,-3.0,14.0,AUTO,233848.0,0.0340470215305686,0.011579491198062897,0.030498151667416096,-0.2683411277830601,-0.005896528949961066,-0.0069175115786492825,1.5,-22.5,-1022.0,-268.5,-4.5,-6.5
10:17:50,-35.36326495,149.1652521,20540.5,-30.5,158.0,-9.0,AUTO,181029.5,0.05654179025441408,-0.13861192762851715,1.4687337279319763,-0.11656240373849869,-0.04099704511463642,1.5055204629898071,-18.5,-38.5,-1007.0,-116.0,-40.0,1504.5
10:17:52,-35.363274849999996,149.1653083,20841.0,-74.5,368.5,-25.0,AUTO,128211.0,0.033216653391718864,-0.14955393224954605,1.8245961666107178,0.029870214872062206,0.03465169295668602,-0.005185387213714421,-76.5,-41.0,-1008.5,31.0,35.0,-5.5
10:17:53,-35.363284475,149.165362,21203.0,-88.0,412.5,-30.0,AUTO,163622.0,0.0461920527741313,-0.10844745114445686,1.8278615772724152,0.01433974178507924,0.021198196162004024,-0.0038690568471793085,-85.25,-48.25,-996.75,15.75,21.75,-3.5
10:17:54,-35.3632908,149.16539649999999,21429.5,-92.0,419.5,-29.5,AUTO,163622.0,0.04902356676757336,-0.08962545171380043,1.825830101966858,-0.0012483072932809591,0.015676546143367887,0.000685755570884794,-78.0,-49.0,-989.0,0.0,16.5,1.0
