,A.LAND1
13:05:49.960,-1.0
13:05:50.163,-1.0
13:05:50.369,-1.0
13:05:50.573,-1.0
13:05:50.777,-1.0
13:05:50.980,-1.0
13:05:51.184,-1.0
13:05:51.385,-1.0
13:05:51.587,-1.0
13:05:51.792,-1.0
13:05:51.994,-1.0
13:05:52.197,-1.0
13:05:52.402,-1.0
13:05:52.611,-1.0
13:05:52.814,-1.0
13:05:53.030,-1.0
13:05:53.235,-1.0
13:05:53.441,-1.0
13:05:53.643,-1.0
13:05:53.850,-1.0
13:05:54.053,-1.0
13:05:54.257,-1.0
13:05:54.458,-1.0
13:05:54.662,-1.0
13:05:54.865,-1.0
13:05:55.069,-1.0
13:05:55.273,-1.0
13:05:55.478,-1.0
13:05:55.686,-1.0
13:05:55.888,-1.0
13:05:56.101,-1.0
13:05:56.310,-1.0
13:05:56.520,-1.0
13:05:56.724,-1.0
13:05:56.928,-1.0
13:05:57.132,-1.0
13:05:57.336,-1.0
13:05:57.540,-1.0
13:05:57.743,-1.0
13:05:57.948,-1.0
13:05:58.152,-1.0
13:05:58.365,-1.0
13:05:58.567,-1.0
13:05:58.774,-1.0
13:05:58.981,-1.0
13:05:59.182,-1.0
13:05:59.392,-1.0
13:05:59.599,-1.0
13:05:59.802,-1.0
13:06:00.010,-1.0
13:06:00.215,-1.0
13:06:00.425,-1.0
13:06:00.627,-1.0
13:06:00.831,-1.0
13:06:01.037,-1.0
13:06:01.240,-1.0
13:06:01.444,-1.0
13:06:01.646,-1.0
13:06:01.850,-1.0
13:06:02.052,-1.0
13:06:02.254,-1.0
13:06:02.458,-1.0
13:06:02.660,-1.0
13:06:02.863,-1.0
13:06:03.065,-1.0
13:06:03.268,-1.0
13:06:03.473,-1.0
13:06:03.679,-1.0
13:06:03.903,-1.0
13:06:04.108,-1.0
13:06:04.317,-1.0
13:06:04.524,-1.0
13:06:04.726,-1.0
13:06:04.933,-1.0
13:06:05.137,-1.0
13:06:05.340,-1.0
13:06:05.542,-1.0
13:06:05.746,-1.0
13:06:05.951,-1.0
13:06:06.152,-1.0
13:06:06.354,-1.0
13:06:06.561,-1.0
13:06:06.764,-1.0
13:06:06.975,-1.0
13:06:07.180,-1.0
13:06:07.383,-1.0
13:06:07.585,-1.0
13:06:07.787,-1.0
13:06:07.992,-1.0
13:06:08.203,-1.0
13:06:08.418,-1.0
13:06:08.622,-1.0
13:06:08.824,-1.0
13:06:09.031,-1.0
13:06:09.237,-1.0
13:06:09.439,-1.0
13:06:09.645,-1.0
13:06:09.849,-1.0
13:06:10.054,-1.0
13:06:10.256,-1.0
13:06:10.457,-1.0
13:06:10.667,-1.0
13:06:10.872,-1.0
13:06:11.076,-1.0
13:06:11.283,-1.0
13:06:11.498,-1.0
13:06:11.700,-1.0
13:06:11.909,-1.0
13:06:12.112,-1.0
13:06:12.321,-1.0
13:06:12.528,-1.0
13:06:12.734,-1.0
13:06:12.935,-1.0
13:06:13.143,-1.0
13:06:13.348,-1.0
13:06:13.549,-1.0
13:06:13.752,-1.0
13:06:13.954,-1.0
13:06:14.159,-1.0
13:06:14.367,-1.0
13:06:14.573,-1.0
13:06:14.776,-1.0
13:06:14.983,-1.0
13:06:15.193,-1.0
13:06:15.400,-1.0
13:06:15.604,-1.0
13:06:15.810,-1.0
13:06:16.025,-1.0
13:06:16.231,-1.0
13:06:16.434,-1.0
13:06:16.636,-1.0
13:06:16.839,-1.0
13:06:17.045,-1.0
13:06:17.248,-1.0
13:06:17.453,-1.0
13:06:17.658,-1.0
13:06:17.860,-1.0
13:06:18.066,-1.0
13:06:18.271,-1.0
13:06:18.472,-1.0
13:06:18.675,-1.0
13:06:18.886,-1.0
13:06:19.092,-1.0
13:06:19.299,-1.0
13:06:19.510,-1.0
13:06:19.711,-1.0
13:06:19.914,-1.0
13:06:20.115,-1.0
13:06:20.323,-1.0
13:06:20.524,-1.0
13:06:20.731,-1.0
13:06:20.933,-1.0
13:06:21.160,-1.0
13:06:21.368,-1.0
13:06:21.572,-1.0
13:06:21.774,-1.0
13:06:21.976,-1.0
13:06:22.182,-1.0
13:06:22.384,-1.0
13:06:22.586,-1.0
13:06:22.791,-1.0
13:06:22.996,-1.0
13:06:23.203,-1.0
13:06:23.404,-1.0
13:06:23.607,-1.0
13:06:23.811,-1.0
13:06:24.014,-1.0
13:06:24.227,-1.0
13:06:24.438,-1.0
13:06:24.643,-1.0
13:06:24.847,-1.0
13:06:25.050,-1.0
13:06:25.254,-1.0
13:06:25.458,-1.0
13:06:25.664,-1.0
13:06:25.868,-1.0
13:06:26.077,-1.0
13:06:26.286,-1.0
13:06:26.489,-1.0
13:06:26.697,-1.0
13:06:26.900,-1.0
13:06:27.106,-1.0
13:06:27.308,-1.0
13:06:27.509,-1.0
13:06:27.712,-1.0
13:06:27.916,-1.0
13:06:28.118,-1.0
13:06:28.320,-1.0
13:06:28.523,-1.0
13:06:28.735,-1.0
13:06:28.938,-1.0
13:06:29.141,-1.0
13:06:29.342,-1.0
13:06:29.544,-1.0
13:06:29.751,1.0
13:06:29.965,1.0
13:06:30.171,1.0
13:06:30.373,1.0
13:06:30.577,1.0
13:06:30.783,1.0
13:06:30.985,1.0
13:06:31.187,1.0
13:06:31.400,1.0
13:06:31.603,1.0
13:06:31.814,1.0
13:06:32.018,1.0
13:06:32.221,1.0
13:06:32.428,1.0
13:06:32.630,1.0
13:06:32.832,1.0
13:06:33.036,1.0
13:06:33.245,1.0
13:06:33.452,1.0
13:06:33.658,0.989
13:06:33.864,-1.0
13:06:34.068,-1.0
13:06:34.271,-1.0
13:06:34.474,-1.0
13:06:34.677,-1.0
13:06:34.881,-1.0
13:06:35.085,-1.0
13:06:35.287,-1.0
13:06:35.489,-1.0
13:06:35.691,-1.0
13:06:35.896,-1.0
13:06:36.098,-1.0
13:06:36.303,-1.0
13:06:36.510,-1.0
13:06:36.716,-1.0
13:06:36.921,-1.0
13:06:37.124,-1.0
13:06:37.328,-1.0
13:06:37.533,-1.0
13:06:37.737,-1.0
13:06:37.939,-1.0
13:06:38.143,-1.0
13:06:38.350,-1.0
13:06:38.554,-1.0
13:06:38.764,-1.0
13:06:38.971,-1.0
13:06:39.173,-1.0
13:06:39.375,-1.0
13:06:39.577,-1.0
13:06:39.784,-1.0
13:06:39.987,-1.0
