time_stamp,MODE,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
18:24:14,STABILIZE,583920.0,-35.3632621,149.1652374,0.0,-2.0,1.0,0.0,0.0,2.0,-1000.0,1.0,0.0,0.0,-0.00024573394330218434,0.0015721680829301476,0.028375891968607903,0.0003737339284271002,0.00024472345830872655,0.002318148734048009
18:24:16,STABILIZE,583910.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.5,-0.0007042566721793264,0.0011638153227977455,0.02719785552471876,0.000273529818514362,0.0002053882199106738,0.002224655356258154
18:24:17,STABILIZE,583910.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.5,-0.0008935591904446483,0.0010574049083516002,0.026810351759195328,0.0001715865801088512,0.0002567179617471993,0.0021331850439310074
18:24:23,STABILIZE,583916.6666666666,-35.3632621,149.1652375,0.0,-1.0,0.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0008606149058323354,0.000939456163905561,0.02474913839250803,0.00023202478769235313,0.000209675170481205,0.0018033686792477965
18:24:25,STABILIZE,583920.0,-35.36326215,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.5,0.0,0.5,-0.0007299131248146296,0.000953904032940045,0.024145061150193214,0.000297832943033427,0.00019706774037331343,0.0018107343348674476
18:24:27,AUTO,583910.0,-35.3632622,149.1652375,4.0,-1.0,1.0,0.0,0.0,1.5,-1000.0,0.5,0.25,0.0,-0.0009221420768881217,0.0009673424792708829,0.02352516446262598,0.00027363306435290724,0.00027906635659746826,0.0016784249455668032
18:24:28,AUTO,583910.0,-35.3632621,149.1652375,8.0,0.0,0.0,0.0,0.0,1.5,-1000.0,0.5,0.5,0.5,-0.0009974153363145888,0.0010379364248365164,0.02321117091923952,0.00013876173761673272,0.0003164502850268036,0.0015527248615399003
18:24:29,AUTO,583902.5,-35.3632621,149.1652375,1.25,0.0,1.0,2.5,0.0,1.5,-1000.25,0.5,0.25,0.0,-0.0005751855060225353,0.0011859297228511423,0.02301285183057189,0.0003058759175473824,0.00027439383848104626,0.001605468656634912
18:24:30,AUTO,583900.0,-35.3632621,149.16523745,0.0,0.0,0.0,1.0,0.0,1.0,-1000.0,0.5,0.0,0.0,-0.00031919838511385024,0.0015368885942734778,0.022647525183856487,0.0002872277400456369,0.0002981967991217971,0.0015487645869143307
18:24:31,AUTO,583912.5,-35.3632621,149.1652374,10.0,0.0,0.0,-7.75,0.0,0.5,-1045.5,9.75,-2.5,1.25,0.0016050243903009687,0.0010738166747614741,0.022472395561635494,0.009244128406862728,-0.0030346010462380946,0.0021945800981484354
18:24:32,AUTO,584715.0,-35.3632621,149.1652375,810.5,0.0,1.0,-128.0,0.0,-0.5,-1068.5,21.0,-2.0,0.5,0.005255151365417987,0.0015480361762456596,0.02224524412304163,0.020091554382815957,-0.0025845032068900764,0.001222409657202661
18:24:33,AUTO,585817.5,-35.363261924999996,149.165238075,1912.0,2.25,15.0,-146.25,0.0,-2.0,-1007.75,43.75,-7.75,2.5,0.037048861384391785,-0.003693387516250368,0.022446572314947844,0.043511888943612576,-0.008918903418816626,0.003139000094961375
18:24:34,AUTO,587730.0,-35.3632611,149.1652431,3821.5,4.5,50.0,-145.0,5.0,-12.0,-1003.5,-125.5,4.0,-72.5,-0.011417114292271435,0.02415923960506916,-0.05791081488132477,-0.12675318866968155,0.00340432021766901,-0.07239515706896782
18:24:35,AUTO,588880.0,-35.363261025,149.165245875,4974.25,-4.5,16.0,-149.0,3.75,-4.5,-1002.5,-37.75,-34.25,-16.75,-0.053302837535738945,0.00721989810699597,-0.0873330682516098,-0.03906257729977369,-0.03519972518552095,-0.016118536237627268
18:24:36,AUTO,590805.0,-35.3632613,149.16524325,6897.5,0.0,-53.0,-149.5,-6.0,10.0,-1001.5,62.0,8.5,2.0,-0.034367955289781094,-0.01158268516883254,-0.08724449947476387,0.06164509244263172,0.008833428146317601,0.002755525871179998
18:24:37,AUTO,591967.5,-35.363261324999996,149.165238525,8061.25,-0.25,-53.0,-151.5,-7.0,10.25,-1003.0,65.0,14.75,3.0,0.013642242178320885,-0.00133891923178453,-0.08600147441029549,0.06471383571624756,0.014670829055830836,0.004062973312102258
