time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT
15:06:43,-4.5298314944375306e-05,0.0016118247294798493,0.027868596836924553,0.00023262735339812934,0.00019435497233644128,0.0024006653111428022,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,158387.0
15:06:47,-0.0007485129171982408,0.0010372356628067791,0.025886732153594494,0.00015782445552758873,0.00024267930712085217,0.0021774180931970477,-35.3632622,149.16523745,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,158387.0
15:06:57,-0.0011295104632154107,0.000966823601629585,0.022662973031401634,0.0001778420410118997,0.00019758695270866156,0.0015994132263585925,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.5,-1000.0,0.5,0.0,0.5,STABILIZE,158387.0
15:06:59,-0.0008845735574141145,0.0009598048830715319,0.022299508253733318,0.0002933687064796686,0.0003002432834667464,0.001526242393689851,-35.3632622,149.1652375,5.333333333333333,-1.0,1.3333333333333333,1.0,0.0,1.3333333333333333,-1000.0,1.0,0.0,1.0,AUTO,296337.0
15:07:01,-0.0007461875211447477,0.0012705552314097683,0.021860770881175995,0.00027023003591845435,0.00026643299497663975,0.0014398404164239764,-35.3632621,149.1652375,6.666666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,AUTO,296337.0
15:07:02,-0.00031800240685697645,0.00161957141244784,0.021531464532017708,0.0003377879038453102,0.00028231809847056866,0.0014299100148491561,-35.3632621,149.1652375,5.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,1.0,AUTO,234068.0
15:07:03,0.0017856605918495916,0.0005058238541550963,0.021365708205848932,0.0011108215257991105,-1.5135854482650757e-05,0.0016312450170516968,-35.3632621,149.1652375,104.75,0.0,0.0,-38.75,0.0,0.25,-1099.5,2.0,0.25,1.0,AUTO,234068.0
15:07:05,0.05109787825495005,-0.005560436169616878,0.012843301286920905,0.015071745961904526,0.010515786008909345,-0.020278854353819042,-35.363261775,149.16523885,2524.0,5.0,30.0,-147.75,0.25,-4.75,-999.0,15.5,11.25,-20.75,AUTO,145913.0
15:07:07,-0.07072084645430247,-0.007662974084572245,-0.0864508847395579,-0.008961276151239872,-0.025848876442372177,0.002158015345533689,-35.363261066666674,149.16524616666666,5630.0,-3.6666666666666665,-10.0,-149.0,1.0,0.3333333333333333,-1002.0,-8.333333333333334,-25.0,2.0,AUTO,145913.0
15:07:08,-0.009964147175196558,-0.004520445945672691,-0.09042859077453613,0.06539170816540718,0.013958004768937826,0.0028206603601574898,-35.3632613,149.1652406,7508.5,-0.5,-59.0,-150.5,-7.0,10.5,-1002.5,65.5,14.0,2.0,AUTO,166382.0
15:07:09,0.03831976721994579,0.005335921392543241,-0.08771475031971931,0.06277554295957088,0.010325100040063262,0.004706295556388795,-35.3632615,149.16523617500002,8679.25,-4.0,-39.75,-153.0,-5.5,9.5,-1003.25,63.25,10.25,4.0,AUTO,166382.0
15:07:11,-0.011071515269577503,-0.004454420472029597,-0.09390492551028728,-0.01877516007516533,-0.0018108990043401718,-0.019725398626178503,-35.363262425,149.16523595,11787.75,-0.75,14.25,-151.0,1.75,-2.25,-1002.25,-17.75,-1.25,-19.5,AUTO,215641.0
15:07:12,-0.0036935355747118592,-0.0008479096068185754,-0.12480628117918968,0.016892428509891033,0.007914252346381545,-0.023785891942679882,-35.363262250000005,149.16523645,13729.0,4.0,-4.5,-153.0,-1.0,0.0,-1000.0,17.0,8.0,-23.5,AUTO,215641.0
15:07:14,0.006061902618966997,0.00609157863073051,-0.16066326200962067,-0.029126378009095788,-0.001256834832020104,-0.01136835478246212,-35.36326165,149.1652355,16847.5,-0.5,1.5,-152.5,0.0,0.0,-997.0,-27.5,0.0,-11.0,AUTO,159771.0
15:07:16,0.051451265811920166,-0.031888860277831554,0.06547827459871769,0.066254373639822,-0.04288601968437433,-0.033742341212928295,-35.3632638,149.16523095,19647.0,-22.0,-19.5,-103.0,1.0,8.0,-960.0,66.5,-42.0,-33.5,AUTO,103901.0
15:07:17,0.05411946401000023,-0.02718908106908202,0.045011079870164394,-0.028504463116405532,0.024943922297097743,-0.014600657930714078,-35.3632643,149.16523095,20319.75,1.5,20.75,-76.5,1.0,-2.75,-970.5,-27.0,25.25,-14.75,AUTO,241203.0
15:07:18,0.0018427680479362607,0.007939615054056048,0.040004950016736984,-0.029667938128113747,0.017432222608476877,0.003133971127681434,-35.363262899999995,149.16523554999998,21090.5,15.5,40.5,-45.5,1.0,-10.0,-977.0,-28.0,17.5,2.5,AUTO,241203.0
15:07:20,-0.04490005783736706,0.02580383885651827,0.03437923267483711,-0.19437760580331087,0.01099708629772067,-0.004022601759061217,-35.3632612,149.1652401,21461.0,-4.5,-4.0,14.5,0.0,-6.5,-975.0,-193.5,11.5,-4.0,AUTO,256702.0
15:07:22,-0.0311794001609087,0.06132333539426327,-0.1445035506039858,0.44427818059921265,0.0011839554645121098,-0.7055216133594513,-35.36326725,149.1652353,21245.5,-76.5,-30.0,-4.0,10.0,39.0,-1013.0,445.0,2.0,-705.0,AUTO,272201.0
