time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,chan4_raw,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
14:50:23,1500.0,-35.3632621,149.1652375,12.5,0.0,-0.5,-3.0,1500.0,AUTO,-0.0005177907733013853,0.0011063565034419298,0.021130827255547047,0.00030962872551754117,0.00024064828176051378,0.0013081322540529072,0.0,1.0,-1000.0,0.0,0.5,0.5
14:50:25,1500.0,-35.3632621,149.1652375,15.0,0.0,0.5,-1.0,1500.0,AUTO,8.722430720808916e-06,0.0016577240894548595,0.020658687688410282,0.00036397381336428225,0.00033457556855864823,0.0013145942939445376,0.0,1.5,-1000.0,1.0,1.0,0.0
14:50:27,1500.0,-35.36326205,149.1652375,1513.5,0.5,7.0,-145.5,1500.0,AUTO,0.026867473497986794,-0.001549005275592208,0.02018268220126629,0.04653565771877766,-0.007103889947757125,0.0024056955007836223,0.0,0.0,-1014.5,46.5,-5.5,1.5
14:50:29,1500.0,-35.36326085,149.16524520000002,4549.0,2.0,36.5,-148.0,1500.0,AUTO,-0.03255543112754822,0.006068329093977809,-0.06770674884319305,-0.05056965351104736,-0.016603455878794193,-0.03343686368316412,4.0,-9.0,-1002.5,-49.5,-15.5,-33.5
14:50:31,1500.0,-35.36326135,149.16524005,7612.0,-12.5,-62.5,-148.5,1500.0,AUTO,-0.009221530694048852,0.007655611960217357,-0.10987374186515808,0.06807192414999008,0.011163655668497086,-0.0018254366586916149,-6.0,12.0,-1003.5,68.0,11.5,-1.5
14:50:33,1500.0,-35.3632626,149.16523089999998,10605.5,37.0,-26.5,-141.5,1945.0,AUTO,-0.03082259837538004,-0.036489286459982395,0.9164330065250397,0.11823362857103348,0.07216390408575535,0.8000273108482361,-3.5,9.0,-1004.0,118.5,72.0,799.5
14:50:35,1500.0,-35.363257450000006,149.16522885,13582.0,6.0,48.0,-147.0,1500.0,AUTO,-0.018649182748049498,-0.09573809430003166,2.268080234527588,0.12340976111590862,-0.04874326172284782,0.27789803594350815,-6.0,4.0,-999.5,123.5,-47.0,277.0
14:50:37,1500.0,-35.363262399999996,149.16524495,16618.0,-35.5,58.0,-153.5,1500.0,AUTO,0.03934592194855213,0.03279093932360411,2.169187903404236,0.03539144620299339,0.04263795539736748,-0.03681827709078789,-16.5,-6.5,-1004.5,36.0,43.0,-36.5
14:50:39,1500.0,-35.363270549999996,149.16524249999998,19724.5,-56.5,-85.5,-144.0,1500.0,AUTO,0.03931637201458216,0.06541000492870808,2.0967057943344116,-0.09598605334758759,-0.0760772842913866,-0.0171048017218709,17.5,-13.5,-997.0,-95.0,-75.0,-17.0
14:50:41,1500.0,-35.3632737,149.16523024999998,22766.0,55.5,9.5,-146.5,1500.0,AUTO,-0.11726780235767365,0.00847070338204503,2.230495810508728,0.040748968720436096,0.013905587489716709,0.07300330698490143,1.0,10.5,-1003.5,41.0,14.5,72.5
