time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT
15:57:32,-0.001345285854768008,0.0011122975847683847,0.02085345145314932,0.00030535551195498556,0.0002628075599204749,0.0014753181021660566,1500.0,0.0,1.5,-1000.0,0.0,0.0,1.0,-35.3632621,149.1652375,3.0,0.0,0.0,1.0,AUTO,1500.0
15:57:34,-0.0006451623630709946,0.0016602831310592592,0.020473397336900234,0.00030103500466793776,0.00025575640029273927,0.0014014394255355,1500.0,0.0,1.0,-1000.0,0.0,0.5,0.0,-35.3632621,149.1652374,12.5,0.0,0.0,0.0,AUTO,1500.0
15:57:36,0.02350361831486225,-0.0010683456930564716,0.020023242570459843,0.04660451225936413,-0.007182610686868429,0.0022938850452192128,1500.0,0.0,0.0,-1017.0,46.5,-6.0,1.5,-35.36326205,149.16523755,1481.0,0.5,5.5,-146.0,AUTO,1500.0
15:57:38,-0.03794208727777004,0.015064167324453592,-0.07637429609894753,-0.0428836103528738,-0.01897490583360195,-0.04147328995168209,1500.0,4.5,-8.0,-1004.5,-42.5,-18.0,-41.0,-35.36326095,149.16524505,4554.5,-0.5,34.0,-150.5,AUTO,1500.0
15:57:40,-0.004591911681927741,-0.0006492576794698834,-0.09363777190446854,0.065215352922678,0.013003166299313307,0.0018249956774525344,1500.0,-7.5,13.0,-1003.0,65.0,13.0,1.5,-35.363261249999994,149.16524015,7651.5,-3.5,-58.0,-152.0,AUTO,1500.0
15:57:42,0.0565950907766819,-0.0223463112488389,0.4549209028482437,0.03603643458336592,0.08483171090483665,1.3035317063331604,1967.0,-4.5,0.5,-931.5,36.0,85.0,1303.0,-35.3632607,149.1652326,10726.0,24.0,1.5,-140.5,AUTO,1500.0
15:57:44,0.02757346909493208,0.031731316819787025,2.147003650665283,-0.0020469377050176263,0.05631699599325657,0.31901396811008453,1500.0,-3.5,-5.5,-1010.5,-2.0,56.5,318.0,-35.3632616,149.16523765,13617.0,-26.5,13.5,-151.0,AUTO,1500.0
15:57:46,-0.050025127828121185,0.03378839325159788,2.2541561126708984,-0.018995453719981015,-0.057903656736016273,-0.09640801697969437,1500.0,16.0,9.5,-1009.5,-18.5,-57.0,-97.0,-35.3632607,149.16522915000002,16664.0,53.5,-65.5,-146.0,AUTO,1500.0
15:57:48,0.021537423133850098,-0.0995669960975647,2.1729143857955933,0.03657950088381767,-0.0460684560239315,0.012341505847871304,1500.0,-1.0,5.5,-996.0,36.5,-45.0,11.5,-35.3632508,149.16522155,19772.5,11.0,16.0,-154.0,AUTO,1500.0
15:57:50,0.04344349913299084,-0.00781987700611353,2.1069962978363037,-0.017257723957300186,0.09010681137442589,-0.062459347769618034,1500.0,-22.0,-21.5,-1009.0,-16.5,90.5,-62.5,-35.3632612,149.16523719999998,22775.5,-108.0,89.5,-149.0,AUTO,1500.0
