time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,chan4_raw,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
16:33:59,0.0,2.0,-1000.0,0.0,1.0,0.0,STABILIZE,1500.0,1500.0,-0.0003858149575535208,0.0009877330739982426,0.020802034065127373,0.00016592800966463983,0.000308137183310464,0.0014564917073585093,-35.3632622,149.1652375,29.0,-1.0,2.0,0.0
16:34:01,0.0,1.0,-1000.0,0.5,0.0,0.0,AUTO,1500.0,1500.0,-0.0005126691539771855,0.0010789682273752987,0.020381822250783443,0.0002910214534495026,0.0002657506556715816,0.0014417472993955016,-35.3632621,149.1652375,0.0,0.0,0.0,1.0
16:34:03,0.0,1.0,-1000.0,0.5,0.5,0.5,AUTO,1500.0,1500.0,0.00038246480107773095,0.0016009294777177274,0.019907299429178238,0.0003017064882442355,0.000247615622356534,0.0014614799874834716,-35.3632621,149.1652375,0.0,0.0,0.0,3.0
16:34:05,0.0,0.0,-1030.0,47.5,-5.0,0.5,AUTO,1500.0,1500.0,0.016991139389574528,0.00012113864067941904,0.019261221401393414,0.047639161348342896,-0.006217939546331763,0.0015788557357154787,-35.3632621,149.1652374,1197.0,0.0,2.0,-138.5
16:34:07,4.5,-10.5,-1010.0,-41.5,-3.0,-66.0,AUTO,1500.0,1500.0,-0.030167344957590103,0.021097611635923386,-0.07281478866934776,-0.04219457693397999,-0.0032924732950050384,-0.06584086455404758,-35.363261,149.16524420000002,4232.5,1.5,43.0,-145.5
16:34:09,-6.5,10.0,-1002.5,64.0,12.0,2.5,AUTO,1500.0,1500.0,-0.02015124587342143,-0.009236498270183802,-0.0894206315279007,0.06336690485477448,0.011828375048935413,0.0032885371474549174,-35.3632614,149.16524199999998,7305.0,0.0,-55.5,-148.0
16:34:11,3.5,7.0,-996.5,61.5,-10.0,-211.0,AUTO,1368.0,1500.0,0.01705367350950837,0.09123560041189194,-0.22388456016778946,0.06167661305516958,-0.010751554742455482,-0.21088837832212448,-35.363262950000006,149.16523385,10409.5,-48.5,-1.5,-145.5
16:34:13,19.5,11.5,-1041.5,-84.5,-205.0,-437.0,AUTO,1500.0,1500.0,0.07670196890830994,-0.05569394677877426,-1.7269685864448547,-0.08565954864025116,-0.20615708082914352,-0.43708913028240204,-35.36327125,149.16524665,13219.5,22.0,85.0,-141.5
16:34:15,-29.0,-25.5,-1020.5,24.0,156.5,49.0,AUTO,1500.0,1500.0,-0.04216264747083187,-0.06536065973341465,-1.9481439590454102,0.02396203763782978,0.156061552464962,0.04977100156247616,-35.363265299999995,149.16523275,16253.5,-35.5,-170.5,-135.0
16:34:21,-3.0,6.0,-999.5,88.0,89.0,11.0,AUTO,1500.0,1500.0,-0.031333738937973976,-0.03762652166187763,-1.7584198713302612,0.08777962997555733,0.08866755291819572,0.011752469785278663,-35.363261300000005,149.1652384,25493.0,-29.0,1.0,-151.0
16:34:25,-0.5,-1.5,-999.5,-0.5,-4.5,720.0,AUTO,1951.0,1500.0,0.00021259725326672196,0.009411223698407412,-0.19372812658548355,-0.0017478797235526145,-0.0060341511853039265,0.7208373248577118,-35.36326205,149.1652373,31530.5,9.5,2.0,-145.0
16:34:31,-26.0,-11.0,-1000.0,29.5,63.0,-8.5,AUTO,1500.0,1500.0,-0.005686896154657006,-0.0943237952888012,0.4819600582122803,0.028814510442316532,0.06259609945118427,-0.009237134363502264,-35.3632705,149.16523315,40622.0,122.5,47.5,-142.0
16:34:33,-26.0,-12.0,-1011.0,19.0,83.0,-24.0,AUTO,1500.0,1500.0,0.035599226132035255,0.08391735702753067,0.45151615142822266,0.019455088302493095,0.07609634846448898,-0.02806411124765873,-35.36324635,149.16524379999998,43674.5,81.5,35.0,-159.5
16:34:35,31.0,10.5,-1015.0,-104.5,-186.0,148.5,AUTO,1500.0,1500.0,-0.05133112892508507,0.07614918798208237,0.39019858837127686,-0.10622728615999222,-0.1876436471939087,0.1486222818493843,-35.3632525,149.16524625,46717.5,-145.5,-31.5,-136.5
16:34:37,-8.0,11.0,-912.0,-52.0,272.0,-778.0,AUTO,1223.0,1500.0,0.07434076443314552,-0.09195670671761036,-0.5979961454868317,-0.036026207730174065,0.2877492159605026,-0.7478592395782471,-35.3632694,149.165234,49500.0,14.0,-50.0,-97.0
