,ADSB_LIST_ALT,ADSB_LIST_RADIUS,FOLL_DIST_MAX,COMPASS_CUS_ROLL,ACRO_RP_EXPO,PILOT_TKOFF_ALT,ACRO_Y_EXPO,PILOT_Y_EXPO,AHRS_CUSTOM_ROLL,IM_STB_COL_1,IM_STB_COL_4,H_CYC_MAX,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,IM_STB_COL_2,IM_STB_COL_3,EK3_GSF_RST_MAX,ATC_RAT_YAW_P,ATC_ANG_YAW_P,EK2_GSF_RST_MAX,ATC_RAT_YAW_I,ATC_RAT_YAW_D,FHLD_BRAKE_RATE,COMPASS_CUS_YAW,AHRS_CUSTOM_YAW
16:20:53.902,0.0,0.0,1.0,106.0,-0.5,500.0,-1.0,-0.5,138.0,57.0,32.0,700.0,50.0,0.0,16.0,8.0,9.0,0.545,3.0,3.0,0.03,0.01,1.0,-83.0,3.0
16:20:58.601,0.0,0.0,1.0,-127.0,-0.5,880.0,-1.0,-0.5,-115.0,10.0,28.0,3300.0,102.0,0.0,2.0,80.0,5.0,0.405,3.0,6.0,0.1,0.02,1.0,-47.0,-166.0
16:21:04.007,0.0,0.0,1.0,6.0,-0.5,150.0,-1.0,-0.5,146.0,32.0,88.0,1000.0,29.0,0.0,19.0,29.0,3.0,0.49,3.0,10.0,0.12,0.0,1.0,-173.0,-29.0
16:21:09.175,0.0,0.0,1.0,135.0,-0.5,100.0,-1.0,-0.5,-76.0,26.0,24.0,900.0,223.0,0.0,65.0,48.0,3.0,0.195,3.0,6.0,0.07,0.01,1.0,-166.0,-33.0
16:21:14.660,0.0,0.0,1.0,-51.0,-0.5,870.0,-1.0,-0.5,159.0,10.0,29.0,1100.0,176.0,0.0,87.0,11.0,3.0,0.245,3.0,6.0,0.07,0.0,1.0,149.0,-145.0
16:21:19.442,0.0,0.0,1.0,-38.0,-0.5,320.0,-1.0,-0.5,-70.0,41.0,19.0,1000.0,33.0,0.0,2.0,78.0,4.0,0.225,3.0,7.0,0.04,0.0,1.0,-152.0,178.0
16:21:24.690,0.0,0.0,1.0,-159.0,-0.5,960.0,-1.0,-0.5,-26.0,29.0,35.0,2000.0,34.0,0.0,34.0,34.0,10.0,0.215,3.0,5.0,0.07,0.0,1.0,-127.0,-47.0
16:21:29.346,0.0,0.0,1.0,-123.0,-0.5,370.0,-1.0,-0.5,-17.0,26.0,1.0,200.0,159.0,0.0,16.0,74.0,10.0,0.275,3.0,5.0,0.04,0.0,1.0,-171.0,-119.0
16:21:33.508,0.0,0.0,1.0,30.0,-0.5,190.0,-1.0,-0.5,119.0,11.0,61.0,1000.0,51.0,0.0,74.0,65.0,7.0,0.235,3.0,6.0,0.1,0.0,1.0,-84.0,-109.0
16:21:38.346,0.0,0.0,1.0,-123.0,-0.5,320.0,-1.0,-0.5,175.0,25.0,75.0,2000.0,79.0,0.0,37.0,82.0,3.0,0.59,3.0,6.0,0.04,0.0,1.0,-37.0,98.0
16:21:43.548,0.0,0.0,1.0,-173.0,-0.5,950.0,-1.0,-0.5,-50.0,50.0,67.0,3700.0,119.0,0.0,8.0,56.0,5.0,0.505,3.0,3.0,0.04,0.01,1.0,93.0,-5.0
16:21:48.521,0.0,0.0,1.0,154.0,-0.5,420.0,-1.0,-0.5,16.0,51.0,21.0,700.0,79.0,0.0,42.0,29.0,4.0,0.355,3.0,10.0,0.15,0.0,1.0,-105.0,-22.0
