time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:03:47,-0.0007395042630378157,0.0011373754823580384,0.021036296151578426,0.0002604353066999465,0.00029658820130862296,0.0013787250500172377,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,AUTO,1500.0,0.0,1.0,-1000.0,0.5,1.0,0.0,1500.0
16:03:49,-0.00031773169757798314,0.001683438487816602,0.02051661256700754,0.00031796024995855987,0.00026904739206656814,0.0014410268631763756,-35.3632621,149.1652374,0.5,0.0,-1.0,-1.0,AUTO,1500.0,0.0,1.0,-1000.0,1.0,0.0,0.5,1500.0
16:03:51,0.026928897947072983,-0.0017705371719785035,0.01960068754851818,0.04578766971826553,-0.007778916275128722,0.0019292171346023679,-35.36326205,149.1652377,1550.5,1.0,8.0,-146.5,AUTO,1500.0,0.0,-0.5,-1013.5,46.0,-6.5,1.0,1500.0
16:03:53,-0.043189600110054016,0.011615877505391836,-0.07926660776138306,-0.05630715191364288,-0.02317988034337759,-0.03245840594172478,-35.3632609,149.1652454,4603.5,-0.5,29.0,-149.5,AUTO,1500.0,4.0,-7.5,-1002.0,-55.0,-22.0,-32.0,1500.0
16:03:55,0.0034091915003955364,0.002300942112924531,-0.09671489894390106,0.0663486160337925,0.012345246970653534,0.0020197051344439387,-35.36326135,149.16523940000002,7687.5,-6.0,-56.5,-151.5,AUTO,1500.0,-6.5,12.5,-1003.5,67.0,13.0,1.5,1500.0
16:03:57,0.05820675939321518,-0.019718194380402565,0.4676082283258438,0.05312139354646206,0.08114444091916084,0.6973755955696106,-35.3632607,149.1652327,10748.0,26.5,4.5,-142.5,AUTO,1910.0,-7.0,1.0,-998.0,53.5,81.5,696.5,1500.0
16:03:59,0.02761496789753437,0.03577313106507063,2.21245801448822,-0.018418150953948498,0.07263929396867752,0.2753996476531029,-35.36326165,149.1652377,13619.5,-27.0,11.5,-150.0,AUTO,1500.0,-3.5,-6.0,-1007.5,-17.5,73.0,274.5,1500.0
16:04:01,-0.019648775458335876,0.025079092476516962,2.2328075170516968,0.021277861669659615,-0.13245975971221924,-0.04457019083201885,-35.36325720000001,149.1652267,16619.0,78.5,-92.5,-144.5,AUTO,1500.0,21.0,11.5,-1011.0,21.5,-131.5,-44.5,1500.0
16:04:03,-8.836103370413184e-05,-0.12603770941495895,2.1953728199005127,0.0033306090626865625,-0.01927093230187893,-0.03049957100301981,-35.3632497,149.1652166,19732.5,-22.0,35.0,-149.0,AUTO,1500.0,-4.5,-1.5,-992.5,4.0,-18.0,-30.5,1500.0
16:04:05,0.023309226147830486,0.009391521685756743,2.099980354309082,-0.00027126562781631947,0.10556149110198021,-0.05291947163641453,-35.36326255,149.16524055000002,22665.0,-91.5,130.0,-151.0,AUTO,1500.0,-32.5,-21.0,-1017.0,0.5,106.0,-52.5,1500.0
16:04:07,-0.02279232768341899,0.1650688573718071,1.9654706120491028,-0.10327506810426712,-0.015864934772253036,-0.062205263413488865,-35.363272,149.16525295,25852.0,3.5,-61.0,-146.5,AUTO,1500.0,8.5,-1.0,-987.5,-101.5,-15.0,-62.5,1500.0
16:04:09,0.05482173524796963,-0.0338591868057847,1.2014341950416565,0.07595885172486305,0.019787802826613188,-0.7078254222869873,-35.363260249999996,149.16523339999998,28714.5,67.5,-59.0,-149.5,AUTO,1328.0,-4.5,23.0,-1010.0,76.5,20.0,-707.5,1500.0
