,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
14:52:11.066,18895.0,0.9,0.4,-9.4,0.25,1.0,0.0,4757.0,520.0,1.0
14:52:16.920,136076.0,0.3,0.3,-3.7,0.25,4.1,0.0,18983.0,10.0,1.0
14:52:21.984,227591.0,0.4,0.2,-6.3,0.25,2.1,0.0,5594.0,210.0,1.0
14:52:27.441,184339.0,0.5,0.2,-8.5,0.25,0.6,0.0,2981.0,160.0,1.0
14:52:33.406,226489.0,0.2,0.7,-3.6,0.25,2.9,0.0,6098.0,470.0,1.0
14:52:39.506,77496.0,0.2,0.7,-9.8,0.25,1.9,0.0,23397.0,80.0,1.0
14:52:45.043,50664.0,0.3,1.2,-2.4,0.25,1.0,0.0,4546.0,290.0,1.0
14:52:51.154,37499.0,0.3,0.9,-4.8,0.25,0.3,0.0,1022.0,160.0,1.0
14:52:57.098,75013.0,0.2,0.9,5.4,0.25,0.2,0.0,12655.0,670.0,1.0
14:53:03.142,148417.0,0.4,1.2,-8.4,0.25,3.7,0.0,12870.0,120.0,1.0
14:53:09.145,57613.0,0.5,0.5,-2.4,0.25,2.1,0.0,7026.0,210.0,1.0
14:53:15.169,182122.0,0.7,0.9,-1.8,0.25,2.6,0.0,1871.0,60.0,1.0
14:53:21.195,54667.0,0.7,0.9,-7.1,0.25,0.2,0.0,13115.0,30.0,1.0
14:53:27.309,131343.0,0.2,0.5,4.3,0.25,0.8,0.0,10027.0,280.0,1.0
14:53:33.377,95582.0,0.2,0.2,3.6,0.25,0.3,0.0,21063.0,100.0,1.0
14:53:39.488,193871.0,0.2,0.7,-9.2,0.25,0.3,0.0,7867.0,410.0,1.0
14:53:45.562,33044.0,0.5,0.5,-7.6,0.25,0.3,0.0,20570.0,410.0,1.0
14:53:51.148,20343.0,1.1,0.2,-3.5,0.25,0.4,0.0,1262.0,260.0,1.0
14:53:57.335,134206.0,0.3,0.7,-2.4,0.25,1.3,0.0,5936.0,10.0,1.0
14:54:03.447,27390.0,0.7,0.2,4.3,0.25,4.4,0.0,5292.0,220.0,1.0
14:54:09.451,80063.0,0.2,1.7,-7.6,0.25,0.1,0.0,15502.0,340.0,1.0
