time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,MODE
14:03:40,-0.000839310057926923,0.0009370894986204803,0.023774895817041397,0.00035071716411039233,0.00021864561131224036,0.0017110672779381275,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0,-35.3632622,149.1652375,0.0,-1.0,1.5,1.0,STABILIZE
14:03:46,-0.000498482448165305,0.0009931433014571667,0.022176988422870636,0.0003328085003886372,0.0002564019232522696,0.0015485758776776493,0.0,1.0,-1000.0,0.0,1.0,0.0,1500.0,-35.3632622,149.1652375,16.0,-1.0,1.0,-1.0,STABILIZE
14:03:48,-0.0006581314373761415,0.00099559425143525,0.02161990385502577,0.00024722679518163204,0.00013287505134940147,0.0014254281995818019,0.0,1.0,-1000.0,1.0,0.0,0.0,1500.0,-35.3632622,149.1652375,5.0,-1.0,2.0,0.0,AUTO
14:03:50,-0.0006076651916373521,0.001113681006245315,0.021207375451922417,0.00038842004141770303,0.0002854457125067711,0.0013630249886773527,0.0,1.0,-1000.0,0.5,0.0,0.0,1500.0,-35.3632622,149.1652375,6.5,0.0,0.0,-1.0,AUTO
14:03:52,-0.00012542094918899238,0.0016533528687432408,0.020749476738274097,0.00032180428388528526,0.00032981543336063623,0.0014021456590853631,0.0,1.0,-1000.0,0.5,0.5,0.0,1500.0,-35.3632622,149.1652375,8.0,0.0,0.0,0.0,AUTO
14:03:54,0.025523009710013866,-0.0014780524070374668,0.020015498623251915,0.0465381033718586,-0.00716202100738883,0.0021666460670530796,0.0,-0.5,-1015.5,47.0,-6.5,1.5,1500.0,-35.36326205,149.16523755,1493.5,0.5,6.5,-145.5,AUTO
14:03:56,-0.03844577260315418,0.020417314022779465,-0.08811414986848831,-0.047755585983395576,-0.030108151957392693,-0.041189078241586685,4.5,-7.0,-1003.0,-46.5,-29.0,-41.0,1500.0,-35.363261,149.1652451,4538.5,-4.0,34.0,-148.5,AUTO
14:03:58,-0.0004328535869717598,-0.007908571511507034,-0.09029322490096092,0.06540420651435852,0.01197281014174223,0.005976819433271885,-6.0,9.5,-1002.5,65.5,12.0,5.0,1500.0,-35.36326215,149.1652401,7626.5,-2.5,-55.5,-150.5,AUTO
14:04:00,0.0061870632926002145,-0.0014436296187341213,-0.07823679968714714,-0.04507174529135227,0.019115151837468147,-0.028531717136502266,0.0,-3.0,-1001.5,-44.0,19.5,-28.5,1500.0,-35.36326205,149.16523515,10736.5,8.5,12.0,-149.0,AUTO
14:04:02,0.0035014927852898836,0.007832252187654376,-0.1287195160984993,0.009041476994752884,-0.0011416221968829632,-0.012383726891130209,0.0,0.5,-999.5,9.0,-0.5,-12.5,1500.0,-35.3632611,149.16523565,13856.0,-1.5,-2.0,-152.0,AUTO
