time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,MODE
12:22:46,-35.3632622,149.1652375,16.5,-1.0,0.5,-0.5,0.0,1.5,-1000.0,0.0,0.5,0.5,-0.0008740855555515736,0.0009817187383305281,0.022392411716282368,0.00026536639779806137,0.0003118746099062264,0.0015744076808914542,1500.0,AUTO
12:22:48,-35.3632621,149.1652375,13.0,0.0,0.0,0.0,0.0,2.0,-1000.0,0.5,0.5,0.0,-0.0006629608978983015,0.0012609142577275634,0.02192701492458582,0.0002918860991485417,0.00033874184009619057,0.0014732599956914783,105465.0,AUTO
12:22:50,-35.3632621,149.1652375,110.0,0.0,0.0,-36.0,0.0,1.0,-1065.0,-1.0,2.5,0.0,0.0012289123405935243,0.0009812058706302196,0.021398921497166157,-0.0014680042513646185,0.00229521028813906,0.0013052934664301574,209430.0,AUTO
12:22:52,-35.363261800000004,149.1652387,2357.0,4.5,27.0,-147.5,1.0,-4.5,-1000.5,20.0,6.0,-16.5,0.047959938645362854,-0.006036974606104195,0.007053622510284185,0.019351594150066376,0.005393324885517359,-0.016149418661370873,209430.0,AUTO
12:22:53,-35.3632611,149.1652431,3879.0,5.5,48.0,-146.5,3.75,-10.25,-1002.75,-91.0,6.5,-52.0,-0.003100983303738758,0.01312501373467967,-0.049064341466873884,-0.09239136427640915,0.005367269506677985,-0.05194518622010946,15654.0,AUTO
12:22:54,-35.3632607,149.1652459,5406.5,1.0,-1.5,-149.0,0.5,-2.0,-1001.0,-14.0,5.0,-35.5,-0.059551022946834564,0.003399631881620735,-0.08543145284056664,-0.01501677930355072,0.004367541288957,-0.035737890750169754,15654.0,AUTO
12:22:56,-35.363262500000005,149.1652365,8487.0,-22.0,-43.5,-151.5,-3.0,12.0,-1003.5,67.5,3.0,1.5,0.03170839021913707,0.013624989427626133,-0.11337483301758766,0.06745100766420364,0.002612805925309658,0.0018671387806534767,15654.0,AUTO
12:22:58,-35.3632649,149.1652355,11018.0,22.0,35.0,-147.0,1.0,-7.0,-993.0,-133.0,66.0,-16.0,0.02370763011276722,-0.07179313153028488,-0.02293725498020649,-0.13399213552474976,0.06533044576644897,-0.015949860215187073,15654.0,AUTO
12:22:59,-35.363260675,149.1652377,12885.0,32.25,-5.25,-151.5,-6.25,-4.75,-1004.25,21.75,35.75,-75.75,-0.03261459385976195,0.018918181536719203,-0.13708779029548168,0.021538253873586655,0.03534817881882191,-0.07594408188015223,20486.0,AUTO
12:23:00,-35.3632591,149.1652365,14058.0,6.5,-20.5,-153.0,-5.5,1.0,-1001.0,49.0,11.5,-30.0,-0.005103204253828153,0.033145597204566,-0.17799892276525497,0.048889435827732086,0.011134049389511347,-0.02988055907189846,20486.0,AUTO
12:23:02,-35.36326105,149.1652354,17183.5,-17.0,11.5,-151.0,4.0,0.0,-1000.0,-16.0,-8.0,-6.0,0.005072007421404123,0.00033081392757594585,-0.1641044169664383,-0.017269211821258068,-0.009386996272951365,-0.00609115487895906,20486.0,AUTO
12:23:04,-35.3632623,149.1652365,20292.0,-1.5,0.5,-152.0,0.0,0.0,-1000.0,5.5,4.0,-28.0,0.00018624617950990796,-0.002020589541643858,-0.20883268117904663,0.005218694685027003,0.004210557322949171,-0.02825935371220112,20486.0,AUTO
12:23:05,-35.3632623,149.16523642500002,22245.5,0.0,1.0,-152.0,0.0,0.0,-1000.0,2.25,2.5,-22.0,0.0045520554995164275,0.0031003691256046295,-0.24218524247407913,0.001785461266990751,0.0020111204794375226,-0.02229495020583272,105459.0,AUTO
12:23:06,-35.3632622,149.1652364,23414.0,0.0,2.5,-152.0,0.0,0.0,-1000.0,-0.5,-0.5,-15.5,0.004855774808675051,0.003353487583808601,-0.2574170231819153,-0.0010292113001924008,-0.0013202606060076505,-0.015644086990505457,105459.0,AUTO
12:23:08,-35.363262250000005,149.1652365,26525.5,-4.0,0.0,-153.0,0.0,0.5,-999.5,22.5,-2.0,25.5,0.0065956092439591885,0.00479330332018435,-0.2665494233369827,0.02163723763078451,-0.003388244775123894,0.0260300450026989,105459.0,AUTO
12:23:10,-35.3632624,149.1652374,29634.0,-0.5,8.5,-152.0,1.0,-1.0,-1000.0,-5.5,-0.5,20.0,0.0012578508612932637,0.001645286101847887,-0.21969491988420486,-0.006992763839662075,-0.0021355418721213937,0.020528219640254974,105459.0,AUTO
12:23:11,-35.3632624,149.165238025,31570.25,0.0,3.5,-152.0,0.0,-0.25,-1000.25,1.5,0.75,16.25,-0.0011280015751253814,0.0010948831186397001,-0.19695665687322617,0.0007306276529561728,-0.0005148179188836366,0.01692999666556716,18995.0,AUTO
12:23:12,-35.3632624,149.1652381,32736.0,0.0,1.5,-152.0,0.0,0.0,-1000.0,0.5,0.0,13.5,-0.0001621965575395734,0.0009811852651182562,-0.18532101809978485,-0.0008752209250815213,-0.0013463720097206533,0.014222380239516497,18995.0,AUTO
12:23:14,-35.3632623,149.16523795,35842.0,0.0,0.0,-152.0,0.0,0.0,-1000.0,0.0,0.0,10.0,0.0015432008658535779,0.0013551336014643312,-0.15951348841190338,-0.001360125548671931,-0.0009151968406513333,0.010481052100658417,18995.0,AUTO
12:23:16,-35.3632622,149.1652376,38953.0,0.0,0.0,-152.0,0.0,0.0,-1000.0,1.0,2.0,7.5,0.002369180670939386,0.0014300905750133097,-0.1403256207704544,-0.0002973986556753516,0.0013362038298510015,0.00803902093321085,9969.5,AUTO
