,A.LOITER1
18:22:58.568,-1
18:22:58.770,-1
18:22:58.973,-1
18:22:59.174,-1
18:22:59.375,-1
18:22:59.576,-1
18:22:59.777,-1
18:22:59.979,-1
18:23:00.181,-1
18:23:00.382,-1
18:23:00.584,-1
18:23:00.787,-1
18:23:00.989,-1
18:23:01.190,-1
18:23:01.391,-1
18:23:01.593,-1
18:23:01.794,-1
18:23:01.995,-1
18:23:02.196,-1
18:23:02.397,-1
18:23:02.599,-1
18:23:02.802,-1
18:23:03.003,-1
18:23:03.205,-1
18:23:03.406,-1
18:23:03.608,-1
18:23:03.809,-1
18:23:04.010,-1
18:23:04.211,-1
18:23:04.412,-1
18:23:04.614,-1
18:23:04.816,-1
18:23:05.018,-1
18:23:05.219,-1
18:23:05.421,-1
18:23:05.622,-1
18:23:05.823,-1
18:23:06.024,-1
18:23:06.226,-1
18:23:06.428,-1
18:23:06.630,-1
18:23:06.831,-1
18:23:07.033,-1
18:23:07.234,-1
18:23:07.436,-1
18:23:07.637,-1
18:23:07.838,-1
18:23:08.039,-1
18:23:08.241,-1
18:23:08.442,-1
18:23:08.644,-1
18:23:08.845,-1
18:23:09.047,-1
18:23:09.248,-1
18:23:09.449,-1
18:23:09.651,-1
18:23:09.853,-1
18:23:10.054,-1
18:23:10.256,-1
18:23:10.457,-1
18:23:10.659,-1
18:23:10.860,-1
18:23:11.061,-1
18:23:11.263,-1
18:23:11.464,-1
18:23:11.665,-1
18:23:11.866,-1
18:23:12.067,-1
18:23:12.268,-1
18:23:12.469,-1
18:23:12.670,-1
18:23:12.873,-1
18:23:13.076,-1
18:23:13.277,-1
18:23:13.478,-1
18:23:13.679,-1
18:23:13.881,-1
18:23:14.082,-1
18:23:14.283,-1
18:23:14.484,-1
18:23:14.685,-1
18:23:14.888,-1
18:23:15.089,-1
18:23:15.290,-1
18:23:15.491,-1
18:23:15.692,-1
18:23:15.894,-1
18:23:16.095,-1
18:23:16.296,-1
18:23:16.497,-1
18:23:16.698,-1
18:23:16.900,-1
18:23:17.101,-1
18:23:17.303,-1
18:23:17.504,-1
18:23:17.706,-1
18:23:17.907,-1
18:23:18.108,-1
18:23:18.311,-1
18:23:18.513,-1
18:23:18.715,-1
18:23:18.917,-1
18:23:19.120,-1
18:23:19.321,-1
