time_stamp,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,EK2_ALT_SOURCE
09:32:35,584.3925018310547,0.0,1.25,-1003.0,11.75,-1.25,1.0,584392.5,-35.36326215,149.1652375,386.25,-0.5,2.0,-38.0,1500.0,AUTO,0.006418541583116166,0.00031195173505693674,0.021482299081981182,0.011809101182734594,-0.0017705511854728684,0.0016968320996966213,0.0
09:32:37,588.010009765625,3.5,-10.0,-997.5,-112.0,24.5,-60.0,588010.0,-35.36326105,149.1652435,4003.5,6.0,44.5,-146.0,1500.0,AUTO,-0.0036923103034496307,0.01175397343467921,-0.053364090621471405,-0.11287383735179901,0.02417333936318755,-0.060289276763796806,0.0
09:32:39,591.0699768066406,-4.5,10.5,-1002.0,64.0,7.5,-8.0,591070.0,-35.36326095,149.16524225,7064.5,-10.0,-54.5,-148.5,1500.0,AUTO,-0.030729600926861167,0.00670525012537837,-0.1121542677283287,0.06382560729980469,0.007176871877163649,-0.00823291577398777,0.0
09:32:41,594.1799926757812,3.0,1.5,-995.0,-32.0,-59.0,69.0,594180.0,-35.363264349999994,149.1652342,10173.5,-11.0,14.0,-149.5,1500.0,AUTO,0.05950814299285412,-0.030871566385030746,-0.06986757181584835,-0.03298091236501932,-0.06050069071352482,0.06992199271917343,0.0
09:32:43,597.2549743652344,-7.0,-3.5,-1003.0,32.0,26.0,-61.5,597255.0,-35.3632604,149.1652375,13247.5,25.5,-10.5,-151.5,1500.0,AUTO,-0.025661603081971407,0.020702072884887457,-0.1522277072072029,0.03194705210626125,0.025823149364441633,-0.06144097447395325,0.0
09:32:45,600.3799743652344,2.5,1.5,-999.0,-14.0,-19.5,11.0,600380.0,-35.36326015,149.16523505,16378.0,-18.5,6.5,-151.0,1500.0,AUTO,0.01631254842504859,0.011848103487864137,-0.17558205127716064,-0.01552762184292078,-0.020620056428015232,0.011661127209663391,0.0
09:32:47,603.4949645996094,1.0,0.0,-1000.0,2.5,3.0,-26.5,603495.0,-35.3632622,149.1652365,19489.0,-5.0,4.5,-152.0,1500.0,AUTO,-0.001991848403122276,-0.004315186059102416,-0.19673309475183487,0.0022372473031282425,0.0025766056205611676,-0.02671885397285223,0.0
09:32:49,606.614990234375,0.0,0.0,-999.5,1.5,2.0,-19.5,606615.0,-35.363262250000005,149.16523645,22612.0,0.0,1.0,-152.0,1500.0,AUTO,0.00516457948833704,0.0032918036449700594,-0.250686414539814,0.0007708498160354793,0.0008414716576226056,-0.019711429253220558,0.0
09:32:51,609.739990234375,0.0,0.0,-999.0,-14.0,3.5,11.5,609740.0,-35.3632622,149.16523645,25732.0,-2.5,1.5,-151.5,1500.0,AUTO,-0.000649407273158431,0.004944541258737445,-0.27488432824611664,-0.014934985898435116,0.002542036585509777,0.012199499731650576,0.0
09:32:53,612.8450012207031,1.0,-0.5,-999.5,-7.0,0.5,21.0,612845.0,-35.3632624,149.165237,28843.0,-1.5,9.0,-152.0,1500.0,AUTO,0.004476575821172446,0.0023108728928491473,-0.23103497922420502,-0.00849740975536406,-3.9014965295791626e-05,0.021513983607292175,0.0
