time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,MODE
06:36:13,-35.3632621,149.1652375,0.0,-1.0,2.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0006163886282593012,0.0009192810975946486,0.023976586759090424,0.0002106503234244883,0.00024636974558234215,0.0017942405538633466,1500.0,STABILIZE
06:36:18,-35.3632622,149.1652375,0.0,-1.0,2.0,3.0,0.0,1.5,-1000.0,0.5,0.5,0.0,-0.0008421871752943844,0.0010120912338607013,0.022465656511485577,0.0002709760155994445,0.00024641785421408713,0.001542734680697322,175490.0,AUTO
06:36:19,-35.3632622,149.1652375,5.0,-1.0,2.0,2.5,0.0,1.0,-1000.0,0.5,0.0,0.0,-0.0009906192135531455,0.0010128658032044768,0.02233479730784893,0.00023007355048321187,0.0002081890997942537,0.0016172542236745358,175490.0,AUTO
06:36:21,-35.3632621,149.16523745,0.0,0.0,0.0,1.0,0.0,1.0,-1000.0,1.0,0.5,0.5,-0.0008801735821180046,0.0013813355471938848,0.021885696798563004,0.00030665023950859904,0.0002924966102000326,0.0015736117493361235,211526.0,AUTO
06:36:23,-35.3632621,149.16523745,183.0,0.0,0.0,-66.0,0.0,0.0,-1130.0,-7.0,4.0,0.0,0.0032638629199936986,0.0001482152583776042,0.021614366210997105,-0.007589529035612941,0.003773926757276058,0.0011227533395867795,247562.0,AUTO
06:36:24,-35.363262,149.1652378,1728.5,1.5,11.0,-145.25,0.0,-1.5,-1012.5,44.75,-7.0,1.75,0.030883307801559567,-0.002540007022616919,0.02149314060807228,0.04486536607146263,-0.008095286320894957,0.00282471626996994,228926.0,AUTO
06:36:25,-35.3632616,149.16523955000002,2882.5,7.5,40.0,-147.5,1.0,-6.0,-994.5,-8.5,27.5,-39.5,0.05777340941131115,-0.00672655482776463,0.005337942857295275,-0.00882415659725666,0.026765800546854734,-0.039394497871398926,228926.0,AUTO
06:36:27,-35.363261,149.16524595,5952.0,-2.5,-22.5,-149.0,-1.0,3.0,-1003.0,36.5,-2.5,-11.0,-0.07058700546622276,-0.007424933137372136,-0.08882790058851242,0.03640294913202524,-0.003806404070928693,-0.010869702557101846,117633.0,AUTO
06:36:29,-35.3632619,149.16523535,9047.5,-9.0,-29.5,-153.0,-3.5,8.0,-1002.5,62.0,5.5,3.0,0.052123505622148514,0.008901227731257677,-0.09269483387470245,0.06134778633713722,0.005069346399977803,0.003935790620744228,6340.0,AUTO
06:36:30,-35.3632626,149.165235275,10994.25,0.75,17.25,-149.75,1.75,-2.5,-1000.75,-55.25,7.25,-18.75,0.005732731719035655,-0.0076206279918551445,-0.08040708675980568,-0.05668825516477227,0.007039610529318452,-0.01863068876991747,101316.0,AUTO
06:36:31,-35.363262399999996,149.1652363,12152.0,5.5,6.5,-151.5,0.0,-2.5,-1002.0,0.0,8.0,-32.0,-0.014862874988466501,-0.001826982363127172,-0.10223078355193138,-0.0007244632579386234,0.008314517326653004,-0.03195620886981487,101316.0,AUTO
06:36:33,-35.3632615,149.16523554999998,15275.0,-0.5,-2.0,-153.0,-0.5,0.0,-999.5,4.5,0.5,-11.0,0.008980839978903532,0.007410268299281597,-0.14957517385482788,0.004312806064262986,-0.00029595306841656566,-0.010937785729765892,175683.0,AUTO
06:36:35,-35.3632616,149.16523575000002,18387.5,-3.0,6.0,-153.0,0.5,0.0,-1000.0,-1.5,0.0,-17.5,0.0031105472007766366,0.0038715937407687306,-0.1770290955901146,-0.0023278010339709,-0.00045107872574590147,-0.017320179380476475,250050.0,AUTO
06:36:36,-35.3632618,149.165235875,20321.5,-7.0,-6.5,-148.5,0.0,1.0,-988.5,-55.25,44.75,138.75,-0.03334704239387065,0.015524164773523808,-0.17058034986257553,-0.05643542343750596,0.04396068962523714,0.1389789879322052,252096.0,AUTO
06:36:37,-35.363262750000004,149.16523425000003,21406.5,-30.5,-33.0,-129.0,2.0,9.5,-955.0,100.0,-131.5,270.0,-0.026413210667669773,0.03442405164241791,0.04216149402782321,0.10012228041887283,-0.13246571272611618,0.2706330716609955,252096.0,AUTO
06:36:39,-35.36326425,149.1652333,23244.5,17.0,36.0,-59.0,0.0,-8.5,-975.5,-43.0,37.0,3.0,0.02698503527790308,-0.010656054131686687,0.05785960331559181,-0.04425853118300438,0.03643474355340004,0.003427448566071689,133175.5,AUTO
06:36:41,-35.3632613,149.16523949999998,23955.5,5.0,14.0,-10.0,0.0,-2.5,-968.0,0.5,-3.0,-3.0,-0.011774744838476181,0.014014816377311945,0.05161993019282818,-0.00045353546738624573,-0.004596131737343967,-0.0032289844239130616,14255.0,AUTO
06:36:42,-35.363261725,149.1652395,23808.75,-19.25,-1.25,15.25,3.0,13.75,-1011.25,246.5,15.25,-3.0,0.026483863592147827,0.03004064317792654,0.047738499008119106,0.24541737139225006,0.014539573981892318,-0.003351173534611007,181178.0,AUTO
06:36:43,-35.36326355,149.16524025,23708.5,-41.5,32.0,4.0,12.5,-21.0,-1011.0,-415.0,29.0,107.5,0.06441370397806168,0.04691195301711559,0.055316438898444176,-0.41620203852653503,0.027976377867162228,0.1080836458131671,181178.0,AUTO
06:36:45,-35.363279649999996,149.16526364999999,23588.5,-152.0,186.5,5.0,-55.5,-37.5,-996.5,-276.0,-41.5,313.5,0.001815967494621873,-0.17156104743480682,2.449869751930237,-0.27714448794722557,-0.04290219582617283,0.3138676807284355,181178.0,AUTO
06:36:46,-35.363302850000004,149.16529835,23449.5,-247.5,302.0,7.75,-80.5,-46.25,-1000.25,-10.25,-16.25,-55.75,0.040804529562592506,-0.18738416582345963,2.3225953578948975,-0.011283780622761697,-0.017765720142051578,-0.055719960015267134,260077.0,AUTO
