time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,LAND_SPEED_HIGH,MODE,WPNAV_SPEED_DN
12:52:41,-0.0005240043974481523,0.0012746559223160148,0.02699386514723301,6.412225775420666e-05,0.0002636522112879902,0.002339489758014679,-35.3632621,149.1652374,0.0,0.0,0.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0,230.0,GUIDED,90.0
12:52:45,-0.0002759590861387551,0.0013932411093264818,0.024919777177274227,0.00023713018163107336,0.00023621460422873497,0.00212408066727221,-35.3632622,149.1652375,0.0,-2.0,2.0,0.0,0.0,1.5,-1000.0,0.0,0.0,0.0,1500.0,230.0,GUIDED,90.0
12:52:47,-0.000596992380451411,0.0013870468828827143,0.02392021380364895,0.00013865518849343061,0.00040361229912377894,0.0019484590739011765,-35.3632621,149.1652374,5.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0,230.0,GUIDED,90.0
12:52:49,0.0012567347148433328,0.001443806802853942,0.023030035197734833,0.017997851595282555,-0.011859532445669174,0.0004493220476433635,-35.3632621,149.1652374,12.0,0.0,0.0,-4.0,0.0,0.0,-1068.0,18.0,-11.0,0.0,1500.0,230.0,GUIDED,90.0
12:53:19,0.0018348252633586526,0.0011654983973130584,-0.0918128490447998,0.0029668950010091066,0.0005929601611569524,0.007798141799867153,-35.363262,149.1652373,45436.0,-1.0,1.0,-153.0,0.0,0.0,-1000.0,4.0,1.0,7.0,1500.0,230.0,GUIDED,90.0
12:53:25,-0.05172124629219373,0.05347458956142267,0.17925738543272018,-0.038927227491512895,-0.04907475411891937,0.42619413634141284,-35.363262399999996,149.16523656666666,54286.0,-20.0,-20.0,-115.33333333333333,1.0,2.5,-931.25,-55.25,-9.0,375.75,1500.0,90.0,LAND,90.0
12:53:27,0.04262169115245342,-0.027629764284938574,0.31232287883758547,0.4668007671833038,0.04115052744746208,-0.04061525762081146,-35.36326402,149.16523292000002,55028.6,14.6,16.4,25.2,-1.6,2.0,-957.6,465.0,41.6,-39.4,1500.0,0.0,LAND,90.0
12:53:29,-0.022984197363257408,0.014747408218681812,0.23887775838375092,0.4798351228237152,-0.004853304475545883,-0.02940104901790619,-35.3632613,149.1652396,53656.0,6.0,12.0,67.0,0.5,42.5,-1016.5,275.5,-3.0,-30.5,1500.0,0.0,LAND,90.0
12:53:31,-0.03243485167622566,-0.00012748348817694932,0.19351546168327333,-0.9305173873901367,-0.002087774034589529,-0.015511269960552455,-35.363261619999996,149.16524088,52474.2,1.0,-12.2,59.4,0.6,-15.8,-978.4,-925.6,-0.6,-14.6,1500.0,500.0,LAND,90.0
12:53:33,-0.02360807421306769,-0.004316654910023014,0.1611417457461357,0.07546158026282986,0.04791323720322301,-0.016411289805546403,-35.36326235,149.16524031666665,49520.833333333336,4.166666666666667,-12.333333333333334,297.5,-2.0,53.0,-853.1666666666666,87.0,48.666666666666664,-15.666666666666666,1500.0,500.0,LAND,90.0
12:53:35,-0.029446437688810483,-0.0018121035703058755,0.13560570244278228,-0.17422859370708466,0.0989162836756025,-0.02106343143220459,-35.363262642857144,149.16524074285715,42131.71428571428,6.857142857142857,-15.714285714285714,351.2857142857143,-4.857142857142857,33.142857142857146,-1033.2857142857142,-164.14285714285714,99.57142857142857,-20.571428571428573,1500.0,440.0,LAND,90.0
12:53:37,-0.023729561269283293,-0.008381685055792332,0.11256051957607269,1.2317512691020966,0.02690642811357975,-0.01633836068212986,-35.3632628,149.1652403,35659.0,6.4,-27.4,283.4,-4.2,101.6,-1026.2,1242.4,26.8,-15.2,1500.0,440.0,LAND,90.0
12:53:39,0.01689706773807605,-0.0025926631254454455,0.09630049268404643,1.6162730852762859,0.01507307185480992,-0.009762708524552485,-35.363262533333334,149.16523696666664,28896.666666666668,5.666666666666667,9.0,283.0,0.6666666666666666,118.0,-1028.0,1625.3333333333333,15.0,-9.0,1500.0,170.0,LAND,90.0
12:53:41,-0.012096222024410963,-0.003375687636435032,0.08621170558035374,0.6452610082924366,-0.0004647141322493553,-0.0007099118665792048,-35.363262475,149.165238325,26206.0,4.0,-5.75,62.5,0.0,35.8,-990.2,351.0,-0.8,-0.6,1500.0,170.0,LAND,90.0
12:53:43,-0.012159537989646196,-0.006105564069002867,0.07257243618369102,-0.08133994787931442,0.004350916016846895,0.002203347161412239,-35.3632625,149.1652376,24040.0,3.5,-6.5,112.0,-2.0,43.0,-954.5,-71.5,4.0,2.5,1500.0,170.0,LAND,90.0
12:53:51,-0.015601069666445255,-0.002687525935471058,0.042001575231552124,-0.4932612478733063,-0.0031418188009411097,-0.002331220544874668,-35.3632622,149.1652376,19361.0,1.0,0.0,46.0,0.0,0.0,-981.0,-487.0,-2.0,0.0,1500.0,60.0,LAND,90.0
12:53:53,0.009619863703846931,-0.006152989808470011,0.034611623734235764,-0.7470036149024963,0.0003390642232261598,0.0030788457952439785,-35.3632623,149.1652368,18520.0,1.0,0.0,41.0,-2.0,-41.0,-1032.0,-752.0,0.0,4.0,1500.0,500.0,LAND,90.0
12:53:55,0.026260906364768744,-0.002059352074866183,0.03241434755424658,-1.197328816478451,-0.0027687415034354976,-0.007251859176903963,-35.36326211666666,149.16523541666666,16999.666666666668,0.5,8.833333333333334,193.0,-0.16666666666666666,-83.5,-879.5,-1206.3333333333333,-2.3333333333333335,-5.5,1500.0,500.0,LAND,90.0
