time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,alt,lat,lon,relative_alt,vx,vy,vz,EK2_ALT_SOURCE,MODE
13:51:30,1500.0,0.0,1.0,-1000.0,1.0,0.0,0.0,-0.001121468550991267,0.000997608178295195,0.02161776553839445,0.0003136057348456234,0.00032041434315033257,0.001573338347952813,583.9299926757812,583930.0,-35.3632622,149.1652375,0.0,-1.0,0.0,0.0,0.0,STABILIZE
13:51:38,1500.0,0.0,1.0,-1005.0,12.25,-1.25,0.75,0.003935135624487884,0.0007481646061933134,0.02057232614606619,0.01201492379186675,-0.0014688953378936276,0.0015969870728440583,584.2799987792969,584280.0,-35.363262175,149.165237475,334.5,-0.75,1.25,-37.0,0.0,AUTO
13:51:40,1500.0,4.5,-11.5,-999.0,-35.5,4.5,-35.0,0.0510624423623085,0.005152239929884672,-0.03204838000237942,-0.036311762407422066,0.003941965085687116,-0.03538345079869032,587.6600036621094,587660.0,-35.36326105,149.16524285,3716.0,11.0,65.0,-145.5,0.0,AUTO
13:51:42,1500.0,2.0,-7.0,-1003.0,-86.0,5.0,-51.0,-0.1046641618013382,0.0031177978962659836,-0.11740834265947342,-0.08721122145652771,0.004556546453386545,-0.05127723887562752,590.0199584960938,590020.0,-35.3632593,149.1652537,6072.0,7.0,13.0,-147.0,0.0,AUTO
13:51:44,1500.0,-10.0,36.0,-1011.0,101.0,26.0,4.0,-0.008699794299900532,0.03961240127682686,-0.16180281341075897,0.10116169601678848,0.025672439485788345,0.005152295809239149,593.0,593000.0,-35.3632629,149.1652336,9059.0,-58.0,-131.0,-143.0,0.0,AUTO
13:51:46,1500.0,1.0,10.0,-1004.0,62.0,-29.0,109.0,0.03535378724336624,-0.11577489227056503,0.05123118683695793,0.061727266758680344,-0.029894446954131126,0.10983739048242569,595.9599609375,595960.0,-35.3632744,149.1652157,12019.0,-8.0,-27.0,-150.0,0.0,AUTO
13:51:48,1500.0,-16.0,-36.0,-1002.0,-10.0,72.0,-12.0,0.08025555312633514,-0.049949370324611664,0.11184816062450409,-0.01147240586578846,0.07212703675031662,-0.011919812299311161,598.8099975585938,598810.0,-35.3632587,149.1652216,14864.0,149.0,87.0,-135.0,0.0,AUTO
13:51:50,1500.0,-3.0,-34.0,-1003.0,-19.0,30.0,-43.0,0.029253428801894188,0.08122942596673965,0.04356063902378082,-0.019960056990385056,0.029240110889077187,-0.043301891535520554,601.6799926757812,601680.0,-35.363236,149.1652457,17736.0,63.0,115.0,-150.0,0.0,AUTO
13:51:52,1500.0,30.0,18.0,-1010.0,-7.0,-165.0,58.0,-0.07613952457904816,0.05539353936910629,-0.1631373167037964,-0.007739412598311901,-0.1667148321866989,0.05832464247941971,604.5899658203125,604590.0,-35.3632451,149.1652599,20642.0,-156.0,11.0,-135.0,0.0,AUTO
13:51:54,1500.0,0.0,21.0,-1000.5,48.5,16.0,0.5,-0.02977718785405159,-0.10356826335191727,-0.05001508444547653,0.045579612255096436,0.0324726402759552,-0.011941546574234962,607.3599853515625,607550.0,-35.3632649,149.1652504,23600.0,-19.0,-83.0,-149.0,0.0,AUTO
