time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,EK2_ALT_SOURCE
14:30:40,1500.0,-0.0010770807275548577,0.0009861525031737983,0.020139002241194248,0.0002285327936988324,0.0002736086898948997,0.0013918343465775251,583990.0,-35.3632622,149.1652375,1.0,-1.0,1.0,0.0,583.989990234375,AUTO,0.0,1.0,-1000.0,0.0,0.5,0.5,0.0
14:30:43,1500.0,-0.000540803448529914,0.00169595138868317,0.01964929047971964,0.0003840393328573555,0.000273673766059801,0.0013473815051838756,583990.0,-35.3632621,149.1652375,3.0,0.0,0.0,0.0,583.989990234375,AUTO,0.0,1.0,-1000.0,0.5,0.0,0.0,0.0
14:30:53,1500.0,-0.008777383016422391,-0.007068392122164369,-0.12219557538628578,0.019867271184921265,0.010660008992999792,-0.02758526150137186,597975.0,-35.3632628,149.1652372,13986.5,3.5,-5.5,-152.0,597.9749755859375,AUTO,-1.5,0.0,-1000.0,20.5,11.0,-27.0,0.0
14:30:55,1500.0,0.01003486942499876,0.007755664177238941,-0.1650344654917717,-0.0002890017640311271,0.0009760746615938842,-0.013706790283322334,601095.0,-35.36326175,149.16523554999998,17110.0,1.5,-0.5,-152.0,601.094970703125,AUTO,-1.0,0.0,-1000.0,0.0,1.5,-13.0,0.0
14:31:03,1500.0,0.0013975947222206742,0.0015811850316822529,-0.19918058812618256,-0.0070320479571819305,0.0004602261760737747,0.021657700650393963,613565.0,-35.3632623,149.1652373,29582.0,0.0,8.5,-152.0,613.5650024414062,AUTO,0.0,-1.0,-1000.0,-5.5,1.0,21.0,0.0
14:31:05,1500.0,-7.444823859259486e-05,0.0013262717402540147,-0.1644526645541191,0.0013493782025761902,0.00014491577167063951,0.015200132969766855,616675.0,-35.3632623,149.16523805,32692.5,0.0,1.0,-153.0,616.6749877929688,AUTO,0.0,0.0,-1000.0,2.0,1.0,15.0,0.0
14:31:07,1500.0,0.0012454947573132813,0.0010862238123081625,-0.13867445290088654,0.0004109088331460953,0.0008228265214711428,0.010095590725541115,619795.0,-35.3632622,149.1652379,35805.5,0.0,0.0,-153.0,619.7949829101562,AUTO,0.0,0.0,-1000.5,1.0,1.5,9.5,0.0
14:31:09,1500.0,0.0023077900987118483,0.0017248483491130173,-0.11910553649067879,0.0006480060983449221,0.0004943425301462412,0.010575809981673956,622905.0,-35.3632621,149.1652376,38921.5,0.0,0.0,-153.0,622.9049682617188,AUTO,0.0,0.0,-999.5,1.5,1.5,10.0,0.0
14:31:11,1500.0,0.0017970770713873208,0.0015099031734280288,-0.10427703335881233,-0.0005548822809942067,-4.899274790659547e-05,0.006048493552953005,626020.0,-35.36326205,149.1652374,42035.0,-1.0,1.0,-153.0,626.0199584960938,AUTO,0.0,0.0,-1000.0,0.5,1.0,5.5,0.0
14:31:13,1500.0,0.0018320376402698457,0.001152018376160413,-0.09199413284659386,0.0004817299486603588,0.0006849551573395729,0.007784783141687512,629135.0,-35.363262,149.16523734999998,45146.0,-1.0,1.0,-153.0,629.1349792480469,AUTO,0.0,0.0,-999.5,1.0,1.0,7.5,0.0
