time_stamp,MODE,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
16:00:54,STABILIZE,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632622,149.1652374,4.5,-1.0,0.5,-2.5,-0.0005922905825586481,0.0009254028555005789,0.02437685209919106,0.0002772149270061742,0.0002247409376485104,0.0018214755585755813
16:01:06,AUTO,1500.0,0.0,1.4285714285714286,-999.7142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,-35.3632622,149.1652375,0.0,0.0,0.6666666666666666,2.8333333333333335,-0.0008782809503221264,0.0011275270565723379,0.021759148687124252,0.00028471252880990505,0.00029288237177145976,0.001552233685894559
16:01:08,AUTO,1500.0,0.0,2.0,-1000.0,1.0,1.0,0.5,-35.3632622,149.1652374,0.0,0.0,0.0,2.0,-0.00022085731325205415,0.001721791981253773,0.021181311458349228,0.0002952731738332659,0.00029943944537080824,0.0015341911930590868
16:01:12,AUTO,1500.0,3.5,-7.0,-1000.5,-38.0,-20.0,-19.5,-35.36326085,149.16524600000002,4903.5,1.0,20.5,-149.5,-0.04417828284204006,0.0020384848467074335,-0.07429561018943787,-0.03917693346738815,-0.020962728187441826,-0.019699059426784515
16:01:20,AUTO,1500.0,3.0,0.0,-1000.0,-9.0,-8.0,-7.0,-35.3632612,149.1652354,17413.0,-13.0,10.0,-153.0,0.005951831582933664,0.00211448036134243,-0.16728034615516663,-0.010267037898302078,-0.008755444549024105,-0.0067790294997394085
16:01:22,AUTO,1500.0,0.0,0.0,-1000.0,4.0,4.0,-27.0,-35.3632622,149.1652364,20533.0,-2.0,2.0,-154.0,0.0011471111793071032,-0.0004948807181790471,-0.20852433145046234,0.004468285944312811,0.0026134862564504147,-0.02633923664689064
16:01:26,AUTO,1500.0,0.0,0.6666666666666666,-1000.0,24.666666666666668,0.0,18.333333333333332,-35.3632622,149.1652365,26603.0,-4.0,-0.5,-154.0,0.009386482881382108,0.004680171841755509,-0.2648715674877167,0.017841022461652756,-0.00119104323675856,0.022751417942345142
16:01:30,AUTO,1500.0,0.0,0.0,-999.5,3.0,1.5,15.0,-35.3632623,149.16523815,32829.5,0.0,1.0,-154.0,0.0001651758539082948,0.0010657552629709244,-0.183881513774395,0.002441856689983979,0.0008278141031041741,0.015491186175495386
16:01:37,AUTO,1500.0,0.0,0.0,-1000.0,3.1666666666666665,1.1666666666666667,9.833333333333334,-35.3632622,149.16523773333336,38284.333333333336,0.0,0.0,-154.0,0.002658208987365166,0.0008625569365297755,-0.1431837404767672,0.0024132243318793676,0.0006671233956391612,0.01025951886549592
16:01:41,AUTO,1500.0,0.0,0.0,-1000.0,1.0,1.5,7.75,-35.363262025,149.1652374,44284.0,-1.0,1.0,-153.0,0.0022333836532197893,0.0016187076398637146,-0.11532085947692394,0.00015672035806346685,0.0009013071830850095,0.007995914435014129
