time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
19:11:44,STABILIZE,-0.0004717111005447805,0.0010003607021644711,0.026201156899333,0.00027816800866276026,0.0002726659586187452,0.0020765201188623905,584060.0,-35.3632621,149.1652375,76.0,-1.0,1.0,-1.0,0.0,1.0,-1000.0,0.0,1.0,0.0
19:11:45,STABILIZE,-0.0005090540798846632,0.0009470772347413003,0.02577688917517662,0.00030553499527741224,0.00016933857114054263,0.0019416185095906258,584065.0,-35.3632621,149.1652375,79.0,-1.0,1.0,-1.0,0.0,1.0,-1000.0,0.0,0.0,0.0
19:11:48,STABILIZE,-0.00044150436103033525,0.0009045923943631351,0.02447706274688244,0.000263646865884463,0.00019023088195050755,0.0017953546872983377,584080.0,-35.3632621,149.1652375,93.33333333333333,-1.0,1.0,-1.0,0.0,1.0,-1000.0,0.5,0.0,0.0
19:11:58,STABILIZE,-0.0008447638829238713,0.001000257907435298,0.02128048613667488,0.00027723240782506764,0.00028421476599760354,0.0013901166385039687,584043.3333333334,-35.3632622,149.1652376,59.0,-1.0,2.0,1.3333333333333333,0.0,1.0,-1000.0,0.0,0.5,1.0
19:12:00,AUTO,-0.0010370048694312572,0.0010153805487789214,0.02091338625177741,0.00023952229821588844,0.00025804885081015527,0.0013999583316035569,584040.0,-35.3632622,149.1652375,19.25,-1.0,0.25,0.25,0.0,1.25,-1000.0,0.25,0.25,0.0
19:12:01,AUTO,-0.0008717988384887576,0.0011510659824125469,0.020724967122077942,0.00031841304735280573,0.0002799796930048615,0.001351953367702663,584045.0,-35.3632621,149.1652375,9.5,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.5,0.5
19:12:02,AUTO,-0.0007329553773161024,0.0013416761357802898,0.020571392960846424,0.00028289500914979726,0.0002852137986337766,0.0012982523476239294,584050.0,-35.3632621,149.1652375,10.25,0.0,0.0,0.0,0.0,1.0,-1000.0,0.5,0.5,0.5
19:12:03,AUTO,-0.0004448440740816295,0.0017148333718068898,0.02029003296047449,0.00027845322620123625,0.00027317312196828425,0.0013541209045797586,584050.0,-35.3632621,149.1652375,11.5,0.0,0.0,0.0,0.0,1.5,-1000.0,1.0,0.0,0.5
19:12:04,AUTO,0.0019516921311151236,0.0005106614080432337,0.020225394517183304,0.0009348279854748398,-0.0017544158035889268,0.0013406320940703154,584212.5,-35.3632621,149.1652375,177.25,0.0,0.5,-52.75,0.0,0.0,-1113.25,1.25,-1.0,0.5
19:12:05,AUTO,0.02742151729762554,-0.0017768672259990126,0.01963768806308508,0.04593923129141331,-0.007306957617402077,0.0022203284897841513,585620.0,-35.36326205,149.1652376,1584.0,0.5,8.0,-146.0,0.0,-0.5,-1012.5,46.0,-6.5,1.5
19:12:06,AUTO,0.05090177711099386,-0.0025343599263578653,0.0011863216059282422,-0.013430170249193907,0.024452558951452374,-0.03141042764764279,586775.0,-35.363261675000004,149.16523937500003,2739.0,6.25,36.0,-147.25,1.0,-6.25,-996.5,-12.5,25.25,-31.5
19:12:07,AUTO,-0.03415303956717253,0.0012176184100098908,-0.06206164322793484,-0.04382903687655926,-0.006798007525503635,-0.03450215421617031,588680.0,-35.3632608,149.16524545,4646.0,4.5,33.5,-149.0,3.5,-7.5,-1002.0,-43.0,-6.0,-34.5
19:12:08,AUTO,-0.07136331964284182,0.006336957216262817,-0.09568409435451031,-0.008974160067737103,0.00685729764518328,-0.03823575796559453,589835.0,-35.363260525,149.165246125,5799.75,0.0,-14.5,-148.75,-0.25,0.25,-1001.5,-8.25,7.25,-37.75
19:12:09,AUTO,-0.00838452923198929,0.012365898117423058,-0.11874239519238472,0.06952981278300285,0.009537990670651197,-0.003396537504158914,591755.0,-35.3632614,149.1652398,7717.5,-18.0,-63.0,-149.5,-6.0,13.5,-1003.5,69.5,9.5,-3.0
19:12:10,AUTO,0.04312793258577585,0.01568460837006569,-0.11658516712486744,0.060489810071885586,-0.005412435333710164,0.010156247386476025,592922.5,-35.363263024999995,149.1652353,8887.5,-28.0,-38.0,-152.25,-2.25,13.0,-1002.25,60.75,-4.5,9.5
19:12:11,AUTO,0.04907515086233616,-0.07250627875328064,-0.03215412516146898,-0.008723786537302658,-0.06692228280007839,0.09938953444361687,594870.0,-35.363265549999994,149.1652344,10835.0,4.5,29.5,-149.5,3.5,-3.5,-998.5,-8.0,-65.5,99.0
19:12:12,AUTO,-0.015822873217985034,-0.030167730408720672,-0.059720444958657026,-0.09083303529769182,0.10091302543878555,-0.10125644132494926,596010.0,-35.36326345,149.16523715,11978.0,46.5,30.0,-147.5,-4.25,-12.5,-1004.25,-89.25,101.0,-101.0
19:12:13,AUTO,-0.026952904649078846,0.035108769312500954,-0.17867125570774078,0.04461745359003544,0.016739139799028635,-0.04775898717343807,597945.0,-35.36325875,149.16523769999998,13912.5,19.5,-21.5,-153.0,-7.5,-1.0,-1001.5,45.5,17.0,-47.5
19:12:14,AUTO,0.010110096307471395,0.04219997767359018,-0.19930139183998108,0.053842187859117985,0.003858321171719581,-0.01745938288513571,599125.0,-35.363258450000004,149.16523567500002,15089.75,-11.25,-19.75,-153.0,-3.0,4.25,-1000.5,54.0,4.25,-17.0
19:12:15,AUTO,0.019992863293737173,-0.016854274086654186,-0.156002014875412,-0.053287385031580925,-0.04231938859447837,0.04682094044983387,601075.0,-35.363260999999994,149.16523519999998,17041.5,-25.5,18.5,-151.0,6.5,0.5,-999.5,-52.0,-41.0,46.0
