time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz
12:37:18,-0.0011094482615590096,0.000992551736999303,0.02272757049649954,0.00011625836486928165,0.00030813872581347823,0.0015091223758645356,STABILIZE,0.0,1.0,-1000.0,1.0,0.0,1.0,1500.0,-35.3632622,149.1652375,37.0,-1.0,1.0,0.0
12:37:24,0.005768802860984579,0.00039121246663853526,0.02214811695739627,0.011697627895046026,-0.0016908373654587194,0.0017120700795203447,AUTO,0.0,1.0,-1003.25,12.0,-1.5,0.75,1500.0,-35.36326215,149.165237525,386.75,-0.5,2.75,-36.25
12:37:26,-0.004223249852657318,0.017570684663951397,-0.058968525379896164,-0.10199061408638954,0.022690349258482456,-0.06445435434579849,AUTO,4.0,-10.0,-998.5,-101.0,23.5,-64.0,1500.0,-35.3632611,149.16524345,4016.5,4.0,43.5,-147.5
12:37:28,-0.0295285084284842,-0.005834470153786242,-0.09141574054956436,0.06140163354575634,0.00872411229647696,0.0004108358989469707,AUTO,-5.5,9.0,-1002.0,61.5,9.0,0.5,1500.0,-35.36326115,149.16524245,7090.0,-1.5,-53.0,-150.0
12:37:30,0.044432313181459904,0.0028139690402895212,-0.08372584730386734,-0.022499822080135345,-0.00870888540521264,0.006873209727928042,AUTO,1.5,1.0,-999.0,-21.5,-7.0,7.0,1500.0,-35.36326215,149.16523445,10208.5,-6.5,7.5,-151.5
12:37:32,-0.009923217701725662,-0.0006883556488901377,-0.12170089781284332,0.016904255375266075,0.0062818992882966995,-0.024767746217548847,AUTO,-1.0,-0.5,-1000.5,17.0,6.5,-24.5,1500.0,-35.363262250000005,149.16523675,13307.5,4.0,-2.5,-152.5
12:37:34,0.010448629036545753,0.007115956861525774,-0.15446527302265167,0.0025923894718289375,-0.0005872386391274631,-0.01103915460407734,AUTO,-1.0,0.0,-1000.0,3.0,0.0,-11.0,1500.0,-35.3632616,149.1652356,15847.0,0.0,-2.0,-153.0
12:37:36,0.0026838621124625206,0.003649797406978905,-0.18995379656553268,-0.0002860369859263301,0.0007237129320856184,-0.018255285918712616,AUTO,0.0,0.0,-1000.0,0.0,0.5,-18.0,1500.0,-35.36326165,149.16523595,19704.5,-3.0,5.5,-153.0
12:37:38,0.001981048146262765,0.002943050116300583,-0.2220144122838974,0.0016593218315392733,0.00031503947684541345,-0.01998782344162464,AUTO,0.0,0.0,-1000.0,2.0,1.0,-20.0,1500.0,-35.3632618,149.1652364,22240.0,-2.0,4.0,-153.0
12:37:40,-0.001874169334769249,0.003938488662242889,-0.25097131729125977,-0.0025434819981455803,0.003755307523533702,0.015524998540058732,AUTO,0.0,0.5,-1000.5,-1.5,4.5,15.0,1500.0,-35.363262,149.16523660000001,25945.0,-4.0,0.0,-152.5
12:37:42,0.008650648252417644,0.0011437511614834268,-0.21927730242411295,-0.005853249846647183,-0.00012086708253870408,0.023918402070800465,AUTO,0.0,0.0,-999.3333333333334,-4.333333333333333,1.0,23.333333333333332,1500.0,-35.36326236666667,149.16523666666666,28082.666666666668,-2.0,6.666666666666667,-153.0
12:37:44,-0.0008193267470536133,0.001508223048100869,-0.1799355149269104,-0.00033868659132470685,-0.000331789196934551,0.01781903641919295,AUTO,0.0,-0.6666666666666666,-1000.0,0.6666666666666666,0.3333333333333333,17.333333333333332,1500.0,-35.3632624,149.16523786666664,31193.0,0.0,4.333333333333333,-153.0
12:37:46,0.001194999204017222,0.0013702703872695565,-0.15052887300650278,0.002004532376304269,0.0016448666186382372,0.01342445146292448,AUTO,0.0,0.0,-999.6666666666666,2.6666666666666665,2.3333333333333335,13.0,1500.0,-35.3632623,149.165238,34304.0,0.0,0.0,-153.0
12:37:48,0.002250424314600726,0.001381176911915342,-0.1283655365308126,0.0018677080515772104,0.0012614079751074314,0.01070531364530325,AUTO,0.0,0.0,-999.6666666666666,2.3333333333333335,2.0,10.0,1500.0,-35.3632622,149.16523766666668,37422.333333333336,0.0,0.0,-153.0
12:37:50,0.002003081996614734,0.0013142446987330914,-0.11205566426118214,0.000862793802904586,-0.0004644720853927235,0.00819595173622171,AUTO,0.0,0.0,-1000.3333333333334,1.6666666666666667,0.3333333333333333,8.0,1500.0,-35.3632621,149.16523746666667,40525.0,-0.6666666666666666,0.0,-153.0
12:37:52,0.0018981544999405742,0.0014533903837824862,-0.09894670794407527,-0.0014161555251727502,0.0001693065472257634,0.006658807396888733,AUTO,0.0,0.0,-999.6666666666666,0.3333333333333333,1.3333333333333333,6.333333333333333,1500.0,-35.363262,149.16523736666667,43641.666666666664,-1.0,1.0,-153.0
12:37:54,0.0001274180831387639,0.002462794383366903,-0.08458183954159419,-0.019119891920126975,0.020407700755943853,0.045583314107110105,AUTO,0.0,0.0,-991.3333333333334,-18.333333333333332,21.0,45.333333333333336,1500.0,-35.363262,149.1652373,46754.666666666664,-1.0,0.6666666666666666,-152.0
12:37:56,0.031054511666297913,-0.052677073826392494,0.3071368833382924,0.0416914044568936,-0.006267571239732206,-0.011028620724876722,AUTO,0.6666666666666666,5.0,-964.0,42.333333333333336,-5.333333333333333,-10.333333333333334,1500.0,-35.3632646,149.16523283333333,49159.666666666664,-7.333333333333333,-17.0,-73.33333333333333
