time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
13:13:20,1500.0,-35.3632621,149.1652375,12.0,0.0,0.0,-1.0,-0.0007588188746012747,0.0011504251742735505,0.02228207141160965,0.0003802698920480907,0.00030144548509269953,0.0014261313481256366,0.0,2.0,-1000.0,0.0,0.0,0.0,AUTO
13:13:22,12022.0,-35.3632621,149.1652375,14.0,0.0,0.0,0.0,-0.00026480035739950836,0.0017115965019911528,0.021675974130630493,0.00032033404568210244,0.00026791502023115754,0.0013731978833675385,0.0,2.0,-1000.0,0.0,0.0,0.0,AUTO
13:13:24,22544.0,-35.363262,149.1652377,1785.0,1.0,12.0,-148.0,0.03444939851760864,-0.0029415369499474764,0.021257193759083748,0.045089319348335266,-0.007372361142188311,0.002770565217360854,0.0,-1.0,-1007.0,45.0,-6.0,2.0,AUTO
13:13:26,22544.0,-35.36326085,149.16524545,4648.0,2.0,32.0,-149.0,-0.03776451479643583,0.005277631222270429,-0.0701041892170906,-0.05348946712911129,-0.015306501649320126,-0.03252859879285097,4.0,-8.5,-1001.5,-52.5,-14.0,-32.5,AUTO
13:13:27,128881.0,-35.36326098,149.1652435,6753.4,-6.2,-48.4,-149.2,-0.04285170529037714,0.00225621677673189,-0.1041876032948494,0.06040709614753723,0.005513685662299395,-0.009800807200372219,-4.0,8.6,-1001.8,60.8,5.8,-9.4,AUTO
13:13:28,128881.0,-35.3632615,149.1652387,7908.0,-13.0,-59.0,-151.0,0.0054926141165196896,0.008930603973567486,-0.10823636502027512,0.0685705840587616,0.010934337042272091,0.0008003240218386054,-5.0,14.0,-1004.0,69.0,11.0,0.0,AUTO
13:13:30,128881.0,-35.3632641,149.1652357,11015.0,15.0,34.0,-147.0,0.005086390767246485,-0.05363687127828598,-0.04094725102186203,-0.11182034015655518,0.07260540127754211,-0.031583864241838455,3.0,-7.0,-1002.0,-111.0,73.0,-31.0,AUTO
13:13:32,128881.0,-35.3632601,149.16523655,13920.0,7.5,-16.0,-153.0,-0.0017882578540593386,0.023688895627856255,-0.1661851555109024,0.0398731492459774,0.008951687719672918,-0.027763640508055687,-5.0,0.5,-1000.5,40.0,9.0,-27.5,AUTO
13:13:33,56317.0,-35.36326044,149.16523518,16062.2,-12.4,2.4,-151.6,0.014069193974137306,0.011665140744298697,-0.1688571184873581,-0.006160617154091596,-0.012321485206484795,0.003037850995315239,0.8,1.0,-999.2,-5.2,-11.2,2.6,AUTO
13:13:34,56317.0,-35.3632612,149.1652354,17227.0,-13.0,9.0,-152.0,0.006062008906155825,0.002259530359879136,-0.16805529594421387,-0.009146122261881828,-0.010823776945471764,-0.005609370302408934,3.0,0.0,-1000.0,-8.0,-10.0,-5.0,AUTO
13:13:36,56317.0,-35.3632621,149.1652364,20340.0,-2.0,3.0,-152.0,0.0007723652524873614,-0.0007013795548118651,-0.20875965058803558,0.004459579475224018,0.004623655695468187,-0.026997968554496765,0.0,0.0,-1000.0,5.0,5.0,-27.0,AUTO
13:13:38,56317.0,-35.3632621,149.1652365,23265.0,-0.5,2.5,-153.0,0.004345274763181806,0.003623153897933662,-0.2532262057065964,0.0008921074331738055,0.00036108732456341386,-0.01861505303531885,0.0,0.0,-1000.0,1.5,1.0,-18.5,AUTO
13:13:39,57109.0,-35.3632621,149.16523666,25409.2,-2.2,1.6,-152.4,-0.001878172904253006,0.004820532165467739,-0.2702882170677185,0.011353264434728772,0.001289196196012199,0.003966920636594295,0.0,0.2,-1001.4,11.8,2.2,3.6,AUTO
13:13:40,57109.0,-35.3632622,149.1652366,26578.0,-5.0,0.0,-153.0,0.007734897546470165,0.004452511668205261,-0.2574407756328583,0.015593877993524075,-0.003449066774919629,0.02754010260105133,0.0,0.0,-1000.0,16.0,-2.0,27.0,AUTO
13:13:42,57109.0,-35.3632624,149.1652375,29682.0,0.0,8.0,-152.0,0.000974149676039815,0.0014384826645255089,-0.21075543761253357,-0.005351209081709385,0.001575861475430429,0.02041972056031227,1.0,-1.0,-1000.0,-4.0,2.0,20.0,AUTO
13:13:44,57109.0,-35.3632624,149.1652381,32571.0,-4.0,-1.5,-144.0,-0.025390854571014643,0.02736944705247879,-0.11386775597929955,-0.11514965817332268,0.11041615158319473,0.3510538563132286,0.0,-0.5,-971.5,-114.0,111.0,350.5,AUTO
13:13:45,64183.0,-35.36326475,149.1652348,34044.75,-19.0,-27.25,-86.25,0.0140610181260854,-0.03823762503452599,0.1821698509156704,0.07347745727747679,-0.06476857466623187,-0.0032641474390402436,2.0,8.25,-958.25,74.0,-63.5,-3.0,AUTO
13:13:46,64183.0,-35.36326525,149.1652334,34610.5,9.0,2.5,-60.0,0.04065911844372749,-0.04153754934668541,0.1599808633327484,-0.034264808520674706,0.03470092453062534,-0.028566318564116955,-1.5,-2.0,-973.5,-33.5,35.5,-28.5,AUTO
13:13:48,64183.0,-35.3632616,149.16523769999998,35353.5,14.5,21.5,-14.0,-0.01091762282885611,0.016125683672726154,0.12534283101558685,-0.5438143014907837,0.004375936870928854,-0.011314150877296925,0.0,-32.5,-975.0,-542.5,5.0,-11.0,AUTO
13:13:50,110854.5,-35.36325996666667,149.1652398,35185.333333333336,38.666666666666664,4.666666666666667,3.0,0.014702510078980898,-0.07734634975592296,0.11182931313912074,0.27134522795677185,-0.04351896606385708,0.09631437653054793,-5.0,14.333333333333334,-1018.3333333333334,273.0,-42.0,96.66666666666667,AUTO
