time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
03:09:18,-0.001288865809328854,0.0009665841935202479,0.023111794143915176,0.0002835117047652602,0.000224798743147403,0.0018193703144788742,STABILIZE,0.0,1.0,-1000.0,1.0,0.0,0.0,-35.3632622,149.1652375,0.0,-1.0,0.0,0.0,1500.0
03:09:20,-0.0011437858920544386,0.0009725512936711311,0.022571781650185585,0.0003682601382024586,0.0003491987590678036,0.001559303142130375,AUTO,0.0,1.0,-1000.0,0.0,1.0,0.0,-35.3632622,149.1652375,7.0,-1.0,0.0,0.0,1500.0
03:09:22,-0.0008135793323162943,0.0012413362856023014,0.022225013934075832,0.0003284709237050265,0.0002498233807273209,0.0015854408266022801,AUTO,0.0,1.0,-1000.0,0.0,1.0,1.0,-35.3632621,149.16523745,32.5,0.0,0.0,-3.5,65202.5
03:09:24,0.0004345253109931946,0.0009868929628282785,0.021568812429904938,0.000939612538786605,0.0025132476002909243,0.0015059830620884895,AUTO,0.0,0.5,-1064.5,1.5,2.5,0.5,-35.3632621,149.1652375,142.0,0.0,1.0,-40.0,128905.0
03:09:26,0.049220453947782516,-0.005154950311407447,0.0062417699955403805,0.002690223976969719,0.02042308123782277,-0.030039111035875976,AUTO,0.5,-4.5,-998.5,3.5,21.0,-30.5,-35.363261800000004,149.1652388,2421.0,5.0,30.5,-148.5,128905.0
03:09:27,-0.008227144833654165,0.015748169622384012,-0.05341009609401226,-0.0981900617480278,0.0034496071748435497,-0.05614299327135086,AUTO,4.25,-10.75,-1002.75,-97.25,4.5,-56.0,-35.363261075,149.16524332499998,3937.0,4.25,48.75,-146.75,58353.0
03:09:28,-0.06303992494940758,0.0018064010655507445,-0.08467798307538033,-0.025675926357507706,-0.0043245479464530945,-0.026006000582128763,AUTO,1.0,-1.0,-1000.5,-25.0,-3.0,-26.0,-35.36326085,149.16524575,5463.5,-1.0,-5.5,-149.0,58353.0
03:09:30,0.03858764190226793,0.010951634030789137,-0.0977555587887764,0.0648449007421732,0.0034316902747377753,0.0033476899843662977,AUTO,-3.0,10.5,-1003.0,65.0,4.0,2.5,-35.3632623,149.16523610000002,8548.0,-17.0,-37.5,-152.0,58353.0
03:09:32,-0.020420904271304607,-0.015379943186417222,-0.07770171761512756,-0.0371058601886034,0.058068715035915375,-0.06685488298535347,AUTO,-2.0,-6.0,-1004.0,-36.5,58.0,-66.5,-35.36326285,149.16523669999998,11631.0,23.0,16.0,-149.0,61774.0
03:09:34,0.011292971670627594,0.01894556824117899,-0.1624310314655304,0.011591241927817464,-0.005230042326729745,-0.005874785012565553,AUTO,-2.0,1.0,-999.0,12.0,-4.0,-6.0,-35.3632602,149.16523560000002,14741.0,-4.0,-7.0,-151.5,65195.0
03:09:36,0.003189714392647147,0.001005233876639977,-0.16590089350938797,-0.007416861364617944,-0.004449954489246011,-0.012083766050636768,AUTO,2.0,0.0,-1000.0,-6.0,-3.5,-12.0,-35.3632614,149.16523560000002,17463.5,-10.5,9.0,-151.0,65195.0
03:09:37,-0.00026043029811262386,-0.001386697796988301,-0.18726246058940887,0.0007065663521643728,0.001677215564996004,-0.024051672779023647,AUTO,0.5,0.0,-1000.0,1.25,2.25,-24.0,-35.36326199999999,149.16523625,19169.5,-4.5,5.5,-151.75,231658.0
03:09:38,0.0010628615564201027,5.139765562489629e-05,-0.20615734159946442,0.0024687942350283265,0.0035194907104596496,-0.025822642259299755,AUTO,0.0,0.0,-1000.0,3.0,4.0,-25.5,-35.3632621,149.1652364,20337.5,-1.5,2.5,-152.0,231658.0
03:09:40,0.035834853537380695,-0.03697361424565315,0.08146211132407188,0.08218171074986458,-0.06129146460443735,-0.03186394926160574,AUTO,2.0,8.5,-958.5,82.5,-60.0,-32.0,-35.3632645,149.16523254999998,23132.0,-25.5,-24.5,-100.0,231658.0
