time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,RTL_ALT
18:40:40,-35.3632622,149.1652374,3.0,-1.0,1.0,-1.0,0.0,1.0,-1000.0,0.0,1.0,0.0,-0.00021574883794528432,0.0013768642966169864,0.026837557088583708,0.00027525740733835846,0.00028862894396297634,0.002142450597602874,AUTO,1500.0
18:40:41,-35.363262025,149.16523765,1434.5,1.0,8.75,-140.75,0.16666666666666666,-1.5,-1024.5,39.0,-6.0,0.8333333333333334,0.03063427106410797,-0.0026349769447863635,0.024073295827422823,0.041604095471224616,-0.007448365915999082,0.002589584536118699,AUTO,1500.0
18:40:47,-35.36326067499999,149.165245925,5041.75,2.5,14.25,-147.75,1.75,-4.75,-1001.5,-49.75,2.5,-41.5,-0.057141280733048916,0.004243667412083596,-0.07842413522303104,-0.050597671419382095,0.002337440731935203,-0.04107445431873202,AUTO,1500.0
18:40:49,-35.3632625,149.1652361,8555.0,-23.0,-44.0,-151.0,-4.0,13.0,-1004.0,68.0,3.0,2.0,0.03656438738107681,0.014722525142133236,-0.11518913507461548,0.06825604289770126,0.003119751112535596,0.0031771042849868536,AUTO,1500.0
18:40:51,-35.363264275,149.16523585,11072.25,22.75,27.0,-147.25,1.2,-5.2,-1000.4,-64.4,10.4,11.2,0.010259646573103964,-0.050255611538887024,-0.043498344253748655,-0.07677248772233725,0.0384818259626627,-0.013038551434874535,AUTO,1500.0
18:40:53,-35.363259633333335,149.16523633333333,13937.666666666666,8.5,-13.333333333333334,-151.66666666666666,-4.666666666666667,0.8333333333333334,-1000.8333333333334,34.0,4.666666666666667,-26.333333333333332,-0.0024558630927155414,0.028479348868131638,-0.16791173567374548,0.033981064800173044,0.004205423562477033,-0.025377232280637447,AUTO,1500.0
18:40:55,-35.36326093333333,149.16523535000002,17070.166666666668,-15.833333333333334,9.166666666666666,-151.0,3.1666666666666665,0.5,-1000.0,-11.0,-10.333333333333334,-4.5,0.007336577837122604,0.0032588830411744616,-0.1654933343331019,-0.01216930391577383,-0.011417461093515158,-0.0038838063289100924,AUTO,1500.0
18:40:57,-35.36326228,149.16523644,20152.0,-2.2,2.4,-152.0,0.2,0.0,-1000.0,3.8,4.0,-28.6,0.0006694198818877339,-0.0018253848422318697,-0.2033633142709732,0.00376279023475945,0.004079530481249094,-0.028196512162685393,AUTO,1500.0
18:40:59,-35.3632622,149.1652365,23950.5,0.0,3.0,-152.0,0.0,0.0,-999.5,-1.0,0.5,-18.0,0.003971748985350132,0.0032381475903093815,-0.2631906569004059,-0.0037829081993550062,0.0006029129726812243,-0.017475349828600883,AUTO,1500.0
18:41:01,-35.3632623,149.1652365,27272.0,-4.0,3.0,-152.0,0.0,0.0,-999.0,2.0,-1.0,25.0,0.011518076062202454,0.003197374986484647,-0.24963058531284332,0.0013649861793965101,-0.0026090487372130156,0.026456497609615326,AUTO,1500.0
18:41:03,-35.3632624,149.1652373,29409.5,-0.6666666666666666,8.166666666666666,-152.0,0.5,-0.8333333333333334,-1000.1666666666666,-4.666666666666667,0.8333333333333334,20.333333333333332,0.0028842105239164084,0.001975680352188647,-0.21883740772803625,-0.006078688117365043,-9.439245332032442e-05,0.021257370710372925,AUTO,1500.0
18:41:05,-35.363262375000005,149.1652381,32915.75,0.0,1.0,-152.0,0.0,0.0,-999.5,3.0,1.0,14.5,0.0003090310638071969,0.0010108192363986745,-0.18019254878163338,0.0027778141375165433,0.00022372195962816477,0.015697229653596878,AUTO,1500.0
18:41:07,-35.3632622,149.1652379,36428.0,0.0,0.0,-152.0,0.0,0.0,-1001.0,3.0,0.0,9.5,0.0018250393914058805,0.0011865912820212543,-0.15241535753011703,0.00291784037835896,-0.0011103879660367966,0.010265241842716932,AUTO,1500.0
18:41:09,-35.3632621,149.1652376,39544.5,0.0,0.0,-152.0,0.0,0.0,-999.5,0.5,1.0,8.5,0.002713463152758777,0.0015430905623361468,-0.13423271477222443,-0.000583446235395968,0.0009788966563064605,0.009247648064047098,AUTO,1500.0
18:41:11,-35.36326209999999,149.1652375,41890.833333333336,-0.3333333333333333,0.8333333333333334,-152.0,0.0,0.0,-999.6666666666666,1.3333333333333333,1.3333333333333333,7.333333333333333,0.002204262923138837,0.001392231536253045,-0.12334298218290012,0.000723949846966813,0.0007753439616256704,0.008076159826790294,AUTO,1500.0
18:41:13,-35.363262,149.1652374,45782.0,-1.0,1.0,-152.0,0.0,0.0,-1000.0,2.0,0.5,6.5,0.002193830325268209,0.0012496109120547771,-0.10822762176394463,0.0014369847485795617,-0.00031694245990365744,0.006983735132962465,AUTO,1500.0
18:41:15,-35.36326294,149.16523602,48148.2,-22.6,-24.6,-116.8,1.8333333333333333,5.0,-955.3333333333334,-0.5,-42.833333333333336,261.0,-0.03150057792663574,0.02148497710004449,0.17850984446704388,0.015369728207588196,-0.06957476073876023,0.2771819956600666,AUTO,1500.0
18:41:17,-35.363263919999994,149.1652334,49705.2,17.8,22.2,-44.8,-2.2,-2.2,-980.2,-29.0,39.6,-31.8,0.0279977273195982,-0.0181759710656479,0.2524613529443741,-0.031299442052841187,0.03928656429052353,-0.03253472708165646,AUTO,1500.0
18:41:22,-35.36326128333334,149.1652382,50145.0,5.666666666666667,15.5,-1.3333333333333333,0.3333333333333333,-0.3333333333333333,-976.6666666666666,-66.5,25.0,-8.666666666666666,-0.020212499735256035,0.024569218512624502,0.2020514632264773,-0.06901051104068756,0.024190608305313315,-0.00909048349907001,AUTO,1500.0
