time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,chan4_raw
13:57:06,1500.0,-0.001251213368959725,0.0009977166773751378,0.022673705592751503,0.000119866403110791,0.00037325831362977624,0.001412243116647005,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,1.0,0.0,STABILIZE,1500.0
13:57:10,1500.0,-0.0011636993731372058,0.0011226005153730512,0.02191340271383524,0.000253748512477614,0.00018746720161288977,0.001590640633367002,-35.3632621,149.1652375,5.5,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.5,AUTO,1500.0
13:57:12,1500.0,-0.0006021967274136841,0.001678552944213152,0.021472269669175148,0.00036663659557234496,0.0003152458230033517,0.0013798123109154403,-35.3632621,149.1652374,15.5,0.0,0.0,-2.0,0.0,1.5,-1000.0,0.0,0.5,0.5,AUTO,1500.0
13:57:14,1500.0,0.027193971909582615,-0.0019416504655964673,0.021479574032127857,0.045793451368808746,-0.007694064173847437,0.002759867813438177,-35.363262,149.16523765,1580.0,1.0,8.0,-148.0,0.0,-0.5,-1012.5,45.0,-6.5,2.0,AUTO,1500.0
13:57:16,1500.0,-0.04613999277353287,0.01422395370900631,-0.0809195339679718,-0.06695720180869102,-0.0336873447522521,-0.0246602282859385,-35.3632609,149.1652454,4641.0,-2.0,29.5,-150.0,4.5,-7.5,-1002.0,-66.5,-32.5,-24.5,AUTO,1500.0
13:57:18,1500.0,0.004337519756518304,0.00019409292144700885,-0.08868851140141487,0.06490311399102211,0.013007963541895151,0.003149034222587943,-35.36326135,149.1652392,7731.0,-3.5,-56.0,-152.5,-7.0,11.5,-1003.0,64.0,13.0,2.5,AUTO,1500.0
13:57:20,1500.0,0.04749909229576588,0.04655100591480732,-0.9428067207336426,0.07322105392813683,-0.010097050806507468,-0.7366829812526703,-35.36326605,149.16523254999998,10729.5,-50.0,10.5,-144.0,1.5,13.5,-1008.0,72.5,-9.0,-736.0,AUTO,1143.0
13:57:22,1500.0,-0.003503355197608471,-0.1398255042731762,-2.3019003868103027,-0.2242928147315979,-0.3264194130897522,-0.018236355856060982,-35.363262950000006,149.16524005,13602.0,54.0,-15.0,-144.0,17.5,-6.5,-1023.0,-223.5,-325.0,-18.5,AUTO,1500.0
13:57:24,1500.0,0.0027904980233870447,0.0619426891207695,-2.286680817604065,0.013987359590828419,0.09225058183073997,0.005690383724868298,-35.36326965,149.16522415,16570.5,-61.0,-60.5,-155.0,-20.0,-10.5,-1013.0,13.5,92.5,4.5,AUTO,1500.0
13:57:26,1500.0,0.03200767561793327,0.082644734531641,-2.2058112621307373,0.0363513957709074,-0.0980071984231472,0.06356323882937431,-35.36326865,149.1652272,19646.0,85.0,81.0,-144.0,22.5,9.5,-1002.0,36.0,-97.0,62.5,AUTO,1500.0
13:57:28,1500.0,-0.03878455609083176,-0.08332690969109535,-2.1833913326263428,-0.03098486177623272,-0.0603233203291893,-0.0016001860494725406,-35.3632514,149.1652418,22696.5,53.0,24.5,-157.0,16.0,1.0,-1005.0,-30.5,-59.0,-1.0,AUTO,1500.0
13:57:30,1500.0,-0.04034184478223324,-0.02004611399024725,-2.2148927450180054,0.05805244669318199,0.09083706140518188,0.0042177007999271154,-35.363260100000005,149.16523865,25735.0,-125.0,-28.0,-145.5,-29.0,2.5,-1013.5,58.0,91.5,3.5,AUTO,1500.0
13:57:32,1500.0,0.051951827481389046,0.0469673378393054,-1.9842453598976135,-0.07421385869383812,-0.11392242461442947,0.77934131026268,-35.3632772,149.16524135,28842.0,-11.5,48.5,-143.0,1.0,11.5,-978.5,-73.5,-112.5,778.5,AUTO,1982.0
13:57:34,1500.0,0.0009700992377474904,-0.05364454723894596,-0.5135951936244965,0.06175333447754383,0.07215077430009842,0.734626978635788,-35.3632734,149.16524275,31782.5,58.5,-49.5,-143.0,-14.0,-5.5,-1001.0,61.5,72.5,734.5,AUTO,1982.0
