,A.BRAKE1
21:20:41.792,-1
21:20:41.995,-1
21:20:42.197,-1
21:20:42.400,-1
21:20:42.603,-1
21:20:42.808,-1
21:20:43.011,-1
21:20:43.216,-1
21:20:43.425,-1
21:20:43.629,-1
21:20:43.838,-1
21:20:44.043,-1
21:20:44.245,-1
21:20:44.448,-1
21:20:44.654,-1
21:20:44.856,-1
21:20:45.060,-1
21:20:45.261,-1
21:20:45.465,-1
21:20:45.668,-1
21:20:45.870,-1
21:20:46.073,-1
21:20:46.283,-1
21:20:46.485,-1
21:20:46.697,-1
21:20:46.902,-1
21:20:47.104,-1
21:20:47.306,-1
21:20:47.509,-1
21:20:47.712,-1
21:20:47.915,-1
21:20:48.122,-1
21:20:48.328,-1
21:20:48.532,-1
21:20:48.734,-1
21:20:48.939,-1
21:20:49.143,-1
21:20:49.349,-1
21:20:49.558,-1
21:20:49.765,-1
21:20:49.976,-1
21:20:50.179,-1
21:20:50.381,-1
21:20:50.582,-1
21:20:50.793,-1
21:20:50.996,-1
21:20:51.199,-1
21:20:51.400,-1
21:20:51.602,-1
21:20:51.804,-1
21:20:52.007,-1
21:20:52.216,-1
21:20:52.420,-1
21:20:52.624,-1
21:20:52.831,-1
21:20:53.039,-1
21:20:53.242,-1
21:20:53.446,-1
21:20:53.650,-1
21:20:53.855,-1
21:20:54.059,-1
21:20:54.266,-1
21:20:54.469,-1
21:20:54.673,-1
21:20:54.876,-1
21:20:55.080,-1
21:20:55.285,-1
21:20:55.488,-1
21:20:55.692,-1
21:20:55.895,-1
21:20:56.102,-1
21:20:56.304,-1
21:20:56.506,-1
21:20:56.709,-1
21:20:56.913,-1
21:20:57.118,-1
21:20:57.330,-1
21:20:57.545,-1
21:20:57.747,-1
21:20:57.949,-1
21:20:58.156,-1
21:20:58.359,-1
21:20:58.563,-1
21:20:58.768,-1
21:20:58.970,-1
21:20:59.172,-1
21:20:59.381,-1
21:20:59.592,-1
21:20:59.795,-1
21:21:00.001,-1
21:21:00.203,-1
21:21:00.408,-1
21:21:00.616,-1
21:21:00.822,-1
21:21:01.030,-1
21:21:01.232,-1
21:21:01.436,-1
21:21:01.644,-1
21:21:01.847,-1
21:21:02.050,-1
21:21:02.258,-1
21:21:02.464,-1
21:21:02.673,-1
21:21:05.461,-1
21:21:05.680,-1
21:21:05.893,-1
21:21:06.097,-1
21:21:06.307,-1
21:21:06.511,-1
21:21:06.713,-1
21:21:06.915,-1
21:21:07.118,-1
21:21:07.324,-1
21:21:07.530,-1
21:21:07.740,-1
21:21:07.944,-1
21:21:08.153,-1
21:21:08.358,-1
21:21:08.576,-1
21:21:08.786,-1
21:21:09.015,-1
