,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
23:28:53.562,71215.0,0.4,0.2,-3.9,0.25
23:28:58.188,11718.0,0.5,0.2,-8.2,0.25
23:29:03.699,16100.0,0.2,0.2,-9.9,0.25
23:29:08.237,97860.0,0.4,0.3,-9.0,0.25
23:29:13.901,93508.0,0.2,0.2,-8.9,0.25
23:29:18.671,7825.0,0.2,0.5,-1.0,0.25
23:29:23.692,65442.0,0.7,0.3,-9.4,0.25
23:29:28.228,96094.0,0.3,0.4,-8.2,0.25
23:29:33.798,27438.0,0.2,0.4,-1.8,0.25
23:29:38.468,23746.0,0.3,0.9,-4.2,0.25
23:29:44.085,29182.0,0.4,0.7,-1.8,0.25
23:29:49.562,14987.0,0.5,0.5,-8.9,0.25
23:29:54.100,132117.0,0.2,0.2,-8.2,0.25
23:29:59.627,5985.0,0.2,0.5,-6.2,0.25
23:30:04.259,19153.0,0.3,0.3,-5.5,0.25
23:30:09.738,52966.0,0.2,1.4,-7.6,0.25
23:30:14.336,91073.0,0.2,0.2,-9.4,0.25
23:30:19.968,107050.0,0.2,0.7,-7.8,0.25
23:30:24.559,11956.0,0.5,0.5,-3.8,0.25
23:30:29.611,81813.0,0.4,0.4,-8.4,0.25
23:30:34.213,15233.0,0.2,0.9,-8.4,0.25
23:30:39.857,87481.0,0.2,0.3,-2.4,0.25
23:30:44.462,19807.0,0.7,0.4,-7.1,0.25
23:30:50.071,63134.0,0.5,0.4,-5.0,0.25
23:30:55.522,24847.0,0.3,1.2,-6.3,0.25
23:31:00.147,40181.0,0.2,1.4,-3.7,0.25
23:31:05.759,9829.0,0.4,0.9,-8.7,0.25
23:31:10.380,42040.0,0.3,0.5,-7.1,0.25
23:31:16.015,19510.0,0.2,1.3,0.1,0.25
23:31:21.501,2473.0,0.2,1.7,-7.9,0.25
23:31:26.063,1476.0,0.3,0.9,-8.4,0.25
23:31:31.655,89188.0,0.4,0.5,-8.5,0.25
23:31:36.141,18586.0,0.3,0.9,-6.1,0.25
23:31:41.731,57589.0,0.5,0.5,-1.4,0.25
23:31:46.424,103182.0,0.2,0.7,-6.5,0.25
23:31:51.888,2525.0,0.5,0.2,1.3,0.25
23:31:56.565,41348.0,1.1,0.5,-9.6,0.25
23:32:01.753,8019.0,0.2,0.4,-3.2,0.25
23:32:06.540,23495.0,0.2,0.2,-9.2,0.25
23:32:11.605,21792.0,0.4,0.5,-4.3,0.25
23:32:16.152,44374.0,0.5,0.2,-4.3,0.25
23:32:21.633,32924.0,0.4,0.4,-6.5,0.25
23:32:26.192,14381.0,0.3,0.9,-8.7,0.25
23:32:31.709,10981.0,0.2,0.4,-3.3,0.25
23:32:36.784,126685.0,0.4,0.2,-9.9,0.25
23:32:41.330,60646.0,0.2,0.4,0.9,0.25
23:32:46.951,1222.0,0.3,0.5,-2.9,0.25
23:32:51.596,31993.0,0.3,0.4,-4.3,0.25
23:32:56.728,30612.0,0.2,1.2,0.8,0.25
23:33:01.356,49331.0,0.4,0.4,-1.2,0.25
23:33:06.985,13497.0,0.4,1.1,-6.1,0.25
23:33:11.534,43651.0,0.5,0.4,-5.6,0.25
23:33:16.586,8923.0,0.2,0.5,6.0,0.25
23:33:21.128,20641.0,0.4,0.5,-7.4,0.25
23:33:26.775,5612.0,0.2,0.2,-8.7,0.25
23:33:31.374,34215.0,0.2,0.9,-8.1,0.25
23:33:36.940,91548.0,0.3,0.3,-3.3,0.25
23:33:41.595,97333.0,0.2,0.5,-4.2,0.25
23:33:46.851,120008.0,0.2,0.2,0.9,0.25
23:33:51.494,35649.0,0.5,0.3,0.1,0.25
23:33:57.028,77232.0,0.5,0.2,-8.8,0.25
23:34:02.745,145616.0,0.2,0.3,-9.9,0.25
23:34:07.396,11252.0,0.3,0.7,-5.5,0.25
23:34:13.102,159049.0,0.3,0.2,-4.8,0.25
23:34:18.813,175663.0,0.2,0.7,-3.6,0.25
23:34:23.442,27232.0,0.3,1.1,-3.9,0.25
23:34:29.105,29115.0,0.3,1.4,-7.9,0.25
23:34:34.716,58706.0,0.7,0.5,-9.7,0.25
