time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT
05:28:03,-35.3632622,149.1652374,6.5,-1.0,0.0,-2.0,0.0,1.5,-1000.0,0.0,0.0,1.0,AUTO,-0.0010785670019686222,0.0009698010399006307,0.020563027821481228,0.000278293970040977,0.0003048082871828228,0.0013994820765219629,181915.0
05:28:04,-35.3632621,149.1652375,12.75,0.0,0.0,-1.25,0.0,1.25,-1000.0,0.5,0.5,0.75,AUTO,-0.0008387776324525476,0.0011378165800124407,0.02035690564662218,0.00025903346249833703,0.0002903813001466915,0.0014240792370401323,100476.0
05:28:05,-35.3632621,149.1652375,15.0,0.0,0.0,-1.0,0.0,1.5,-1000.0,0.5,0.5,0.5,AUTO,-0.0006790412589907646,0.0013270815834403038,0.020211195573210716,0.0003635848988778889,0.0003332214546389878,0.001312771055381745,100476.0
05:28:07,-35.3632621,149.1652375,146.0,0.0,0.5,-57.0,0.0,0.0,-1136.0,1.5,2.0,1.5,AUTO,0.0027272870065644383,-0.00013915233284933493,0.01973719336092472,0.0008084562141448259,0.0012418315163813531,0.0020832958398386836,100476.0
05:28:08,-35.363262,149.165237725,1628.5,1.25,10.25,-145.75,0.0,-1.0,-1015.5,45.75,-6.5,2.0,AUTO,0.028997892746701837,-0.002211360930232331,0.01981019414961338,0.04547619540244341,-0.007745028124190867,0.0026039104559458792,98787.0
05:28:09,-35.363261699999995,149.1652393,2770.0,6.5,38.0,-148.5,1.5,-6.5,-996.0,9.5,10.0,-24.0,AUTO,0.058773472905159,-0.00820468319579959,0.006119656376540661,0.008731505833566189,0.009269979782402515,-0.023536730790510774,98787.0
05:28:11,-35.363260749999995,149.16524625,5818.0,-1.0,-19.0,-149.0,-1.0,1.5,-1004.0,30.5,-2.5,-24.5,AUTO,-0.07653068378567696,0.0017719760653562844,-0.0956014133989811,0.03041593637317419,-0.003544715349562466,-0.024651987478137016,98787.0
05:28:12,-35.3632615,149.165239625,7735.25,-12.75,-57.5,-150.5,-5.5,12.5,-1003.25,67.75,10.0,-1.5,AUTO,-0.001787797431461513,0.00779796700226143,-0.10926242917776108,0.06751303002238274,0.009866710752248764,-0.0013042839709669352,105474.0
05:28:13,-35.3632626,149.1652353,8904.5,-20.0,-34.0,-153.0,-2.5,11.5,-1002.5,65.0,2.0,4.0,AUTO,0.04849366657435894,0.013130737468600273,-0.10726792365312576,0.06510774791240692,0.0010963947279378772,0.004221921553835273,105474.0
05:28:15,-35.36326255,149.16523725000002,11987.5,32.5,12.0,-150.5,-4.0,-8.5,-1006.0,-13.5,54.5,-87.5,AUTO,-0.030670687556266785,-0.0042091988725587726,-0.09264164790511131,-0.014468501787632704,0.05456873029470444,-0.08794610947370529,105474.0
05:28:16,-35.36326005,149.165236325,13934.75,7.0,-14.25,-153.0,-4.75,0.75,-1000.5,35.25,5.75,-24.25,AUTO,-0.0009275275515392423,0.024270756170153618,-0.16606657579541206,0.034775582142174244,0.0052824296144535765,-0.024772205390036106,40388.0
05:28:17,-35.3632599,149.16523519999998,15112.0,-8.5,-5.5,-152.0,-0.5,2.0,-999.0,7.0,-13.0,3.0,AUTO,0.01627043867483735,0.020411857403814793,-0.17280081659555435,0.006664999411441386,-0.014196004718542099,0.003601787379011512,40388.0
05:28:19,-35.36326175,149.1652359,18217.0,-9.0,8.5,-152.0,2.0,0.0,-1000.0,-3.0,-1.5,-18.0,AUTO,0.00025783610180951655,-0.0021666408283635974,-0.1764308363199234,-0.004592017387039959,-0.00325285317376256,-0.018570559099316597,40388.0
05:28:20,-35.363262150000004,149.16523645,20163.75,-2.0,2.75,-152.75,0.0,0.0,-1000.0,3.5,3.75,-26.25,AUTO,4.2212683183606714e-05,-0.0005788257112726569,-0.20772884041070938,0.0035402607754804194,0.003320518007967621,-0.02657157089561224,230208.0
05:28:21,-35.3632621,149.1652365,21332.0,0.0,1.0,-153.0,0.0,0.0,-1000.0,4.0,3.5,-25.5,AUTO,0.002438926254399121,0.0017607721965759993,-0.22742661088705063,0.0034037682926282287,0.0030731676379218698,-0.025722687132656574,230208.0
05:28:23,-35.3632621,149.1652366,24452.5,-1.0,3.0,-153.0,0.0,0.0,-1000.0,-0.5,1.0,-17.5,AUTO,0.0028508256655186415,0.003348380676470697,-0.2691592872142792,-0.0010470385605003685,4.380778409540653e-05,-0.018079541623592377,230208.0
05:28:24,-35.363262175,149.16523665,26396.5,-4.5,0.5,-152.75,0.0,0.0,-1000.75,20.25,-2.5,25.5,AUTO,0.004186103178653866,0.004808827885426581,-0.25922735780477524,0.01984086271841079,-0.0038468028069473803,0.02596660377457738,191751.0
05:28:25,-35.36326235,149.1652367,27563.5,-3.5,5.0,-152.0,0.0,0.0,-999.5,-2.5,-0.5,24.5,AUTO,0.009563578758388758,0.0021328998263925314,-0.2389909029006958,-0.003985193790867925,-0.0013771577505394816,0.02497927751392126,191751.0
05:28:27,-35.36326285,149.16523745,30588.5,-22.0,-12.5,-129.0,2.5,3.0,-958.0,-50.0,-33.0,473.5,AUTO,-0.05857505090534687,0.060757141560316086,0.050495022907853127,-0.05121346935629845,-0.03401612490415573,0.47378458082675934,191751.0
