time_stamp,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,EK2_ALT_SOURCE
13:30:16,1500.0,587105.0,-35.363261449999996,149.16524055,3189.5,8.5,49.0,-147.0,587.10498046875,2.0,-9.5,-991.0,-92.0,62.5,-78.5,0.04844890348613262,0.0038084695115685463,-0.020859531592577696,-0.09330540429800749,0.062045324593782425,-0.07883811183273792,AUTO,0.0
13:30:18,1500.0,590165.0,-35.36326115,149.16524545,6251.5,-1.5,-34.5,-149.0,590.1649780273438,-2.5,5.5,-1002.0,52.5,1.0,-1.5,-0.062026774510741234,-0.01159837655723095,-0.08782946690917015,0.052455633878707886,-2.6464054826647043e-05,-0.0015029320202302188,AUTO,0.0
13:30:20,1500.0,593275.0,-35.36326165,149.16523469999998,9357.5,-5.5,-20.0,-153.5,593.2749938964844,-3.0,6.5,-999.5,40.5,12.5,-1.0,0.06134291552007198,0.009225789923220873,-0.08693302422761917,0.04017813876271248,0.012066415278241038,-0.0011994743254035711,AUTO,0.0
13:30:22,1500.0,596385.0,-35.3632624,149.16523645,12466.5,0.5,6.5,-152.0,596.385009765625,0.5,-1.5,-1001.5,4.0,3.0,-23.0,-0.014437556732445955,-0.004836052190512419,-0.10446522384881973,0.003518074518069625,0.002697863063076511,-0.02315342240035534,AUTO,0.0
13:30:24,1500.0,599495.0,-35.36326185,149.16523569999998,15583.0,1.5,-2.0,-153.0,599.4949951171875,-1.0,0.0,-999.5,4.5,4.0,-15.5,0.008332737721502781,0.005489124683663249,-0.1497645303606987,0.004238939844071865,0.0032496784115210176,-0.015424168668687344,AUTO,0.0
13:30:26,1500.0,602625.0,-35.3632616,149.16523575000002,18705.0,-2.5,5.5,-153.0,602.625,0.0,0.0,-1000.0,0.0,-1.0,-14.5,0.004220191156491637,0.0048306582029908895,-0.17933007329702377,-0.001440555090084672,-0.0015086115745361894,-0.014567653182893991,AUTO,0.0
13:30:28,1500.0,605755.0,-35.3632617,149.1652364,21836.0,-3.0,4.0,-153.0,605.7550048828125,0.0,0.0,-999.5,0.5,0.5,-20.0,0.0016469673719257116,0.0031511946581304073,-0.2162218689918518,-0.00041231210343539715,-0.00043013624963350594,-0.020202473737299442,AUTO,0.0
13:30:30,1500.0,608875.0,-35.36326185,149.1652367,24959.5,-2.0,1.5,-152.5,608.875,0.0,0.0,-999.0,-24.5,5.0,-9.0,-0.0035650799982249737,0.0033414645586162806,-0.2543996125459671,-0.025464785721851513,0.0045072457287460566,-0.008827647368889302,AUTO,0.0
13:30:32,1500.0,611985.0,-35.3632624,149.16523665,28072.5,-2.0,7.0,-153.0,611.9849853515625,0.5,-0.5,-999.5,-8.0,1.0,23.5,0.008394262054935098,0.0010605367133393884,-0.2169988974928856,-0.009537827223539352,0.00031222988036461174,0.024212137795984745,AUTO,0.0
13:30:34,1500.0,615105.0,-35.3632624,149.1652379,31185.5,0.0,4.5,-153.0,615.10498046875,0.0,0.0,-1000.0,0.5,0.0,19.0,-0.0012269174330867827,0.0014115878730081022,-0.17789793014526367,-0.00045288592809811234,-0.0013180131209082901,0.01938882376998663,AUTO,0.0
13:30:36,1500.0,618215.0,-35.363262250000005,149.165238,34295.5,0.0,0.0,-153.0,618.2149658203125,0.0,0.0,-1000.0,2.5,0.5,11.5,0.001094092964194715,0.0014115535304881632,-0.1488862708210945,0.001187121553812176,-0.0007144811097532511,0.01198105188086629,AUTO,0.0
13:30:38,1500.0,621325.0,-35.3632622,149.1652377,37409.5,0.0,0.0,-153.0,621.3249816894531,0.0,0.0,-1000.5,4.0,1.0,10.0,0.0018710403237491846,0.0015246893162839115,-0.12718293815851212,0.0033357281354255974,0.0001022715587168932,0.010429229121655226,AUTO,0.0
13:30:40,1500.0,624445.0,-35.3632621,149.1652375,40526.0,-1.0,0.0,-153.0,624.4450073242188,0.0,0.0,-1000.5,1.5,0.0,7.0,0.0019394963746890426,0.001299099822062999,-0.11058233305811882,-4.699407145380974e-05,-0.0002455820795148611,0.0069366630632430315,AUTO,0.0
13:30:42,1500.0,627555.0,-35.363262,149.1652374,43635.5,-1.0,1.0,-153.0,627.5549926757812,0.0,0.0,-999.5,1.0,0.5,6.5,0.0017215756815858185,0.0015390654443763196,-0.09753122925758362,0.00027815267094410956,-0.00042471144115552306,0.006610875949263573,AUTO,0.0
