,A.LAND2
14:17:18.487,-1.0
14:17:18.689,-1.0
14:17:18.892,-1.0
14:17:19.093,-1.0
14:17:19.295,-1.0
14:17:19.497,-1.0
14:17:19.699,-1.0
14:17:19.903,-1.0
14:17:20.105,-1.0
14:17:20.308,-1.0
14:17:20.513,-1.0
14:17:20.715,-1.0
14:17:20.919,-1.0
14:17:21.121,-1.0
14:17:21.323,-1.0
14:17:21.525,-1.0
14:17:21.727,-1.0
14:17:21.928,-1.0
14:17:22.131,-1.0
14:17:22.333,-1.0
14:17:22.537,-1.0
14:17:22.738,-1.0
14:17:22.946,-1.0
14:17:23.147,-1.0
14:17:23.349,-1.0
14:17:23.551,-1.0
14:17:23.754,-1.0
14:17:23.957,-1.0
14:17:24.159,-1.0
14:17:24.362,-1.0
14:17:24.566,-1.0
14:17:24.769,-1.0
14:17:24.971,-1.0
14:17:25.173,-1.0
14:17:25.376,-1.0
14:17:25.578,-1.0
14:17:25.781,-1.0
14:17:25.983,-1.0
14:17:26.187,-1.0
14:17:26.387,-1.0
14:17:26.589,-1.0
14:17:26.791,-1.0
14:17:26.993,-1.0
14:17:27.194,-1.0
14:17:27.400,-1.0
14:17:27.604,-1.0
14:17:27.808,-1.0
14:17:28.012,-1.0
14:17:28.214,-1.0
14:17:28.415,-1.0
14:17:28.616,-1.0
14:17:28.818,-1.0
14:17:29.022,-1.0
14:17:29.229,-1.0
14:17:29.430,-1.0
14:17:29.634,-1.0
14:17:29.836,-1.0
14:17:30.039,-1.0
14:17:30.240,-1.0
14:17:30.442,-1.0
14:17:30.644,-1.0
14:17:30.846,-1.0
14:17:31.047,-1.0
14:17:31.249,-1.0
14:17:31.452,-1.0
14:17:31.654,-1.0
14:17:31.856,-1.0
14:17:32.060,-1.0
14:17:32.263,-1.0
14:17:32.466,-1.0
14:17:32.667,-1.0
14:17:32.868,-1.0
14:17:33.070,-1.0
14:17:33.271,-1.0
14:17:33.473,-1.0
14:17:33.676,-1.0
14:17:33.878,-1.0
14:17:34.081,-1.0
14:17:34.285,-1.0
14:17:34.487,-1.0
14:17:34.688,-1.0
14:17:34.892,-1.0
14:17:35.095,-1.0
14:17:35.298,-1.0
14:17:35.503,-1.0
14:17:35.704,-1.0
14:17:35.907,-1.0
14:17:36.113,-1.0
14:17:36.316,-1.0
14:17:36.519,-1.0
14:17:36.720,-1.0
14:17:36.923,-1.0
14:17:37.124,-1.0
14:17:37.326,-1.0
14:17:37.529,-1.0
14:17:37.730,-1.0
14:17:37.937,-1.0
14:17:38.140,-1.0
14:17:38.343,-1.0
14:17:38.552,-1.0
14:17:38.753,-1.0
14:17:38.961,-1.0
14:17:39.164,-1.0
14:17:39.366,-1.0
14:17:39.568,-1.0
14:17:39.773,-1.0
14:17:39.976,-1.0
14:17:40.178,-1.0
14:17:40.380,-1.0
14:17:40.585,-1.0
14:17:40.787,-1.0
14:17:40.997,-1.0
14:17:41.203,-1.0
14:17:41.409,-1.0
14:17:41.610,-1.0
14:17:41.812,-1.0
14:17:42.014,-1.0
14:17:42.217,-1.0
14:17:42.421,-1.0
14:17:42.622,-1.0
14:17:42.824,-1.0
14:17:43.026,-1.0
14:17:43.229,-1.0
14:17:43.430,-1.0
14:17:43.634,-1.0
14:17:43.835,-1.0
14:17:44.040,-1.0
14:17:44.241,-1.0
14:17:44.444,-1.0
14:17:44.649,-1.0
14:17:44.850,-1.0
14:17:45.053,-1.0
14:17:45.256,-1.0
14:17:45.459,-1.0
14:17:45.663,-1.0
14:17:45.865,-1.0
14:17:46.069,-1.0
14:17:46.272,-1.0
14:17:46.474,-1.0
