time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz
16:11:05,0.0,1.0,-1000.0,0.0,0.0,0.0,1500.0,-9.36648666538531e-05,0.0014821495860815048,0.027445910964161158,0.0003191065843566321,0.0002744680314208381,0.002256036619655788,STABILIZE,-35.36326215,149.1652375,12.5,-1.5,2.0,0.5
16:11:15,0.0,1.25,-1000.0,0.0,0.0,0.5,1500.0,-0.0011028333567082882,0.0009547368623316288,0.024720900878310203,0.0002574328915216029,0.0002779311966150999,0.0018701645778492094,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,0.3333333333333333,0.0
16:11:21,0.0,1.2857142857142858,-1000.0,0.42857142857142855,0.0,0.5714285714285714,1500.0,-0.000910655886400491,0.0010073253652080894,0.023018290687884604,0.0002862534186403666,0.0002813637921852725,0.0016001221956685185,STABILIZE,-35.3632622,149.16523750000002,0.0,-1.0,1.4285714285714286,0.8571428571428571
16:11:23,0.0,1.5714285714285714,-1000.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,1500.0,-0.0006556588419438672,0.0010319273320159742,0.02247977043901171,0.00024000926142824546,0.00025582152219223123,0.0015241895037304079,AUTO,-35.3632622,149.16523750000002,1.4285714285714286,-0.5714285714285714,1.1428571428571428,0.8571428571428571
16:11:25,0.0,1.4285714285714286,-1000.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1500.0,0.00022841232930659316,0.0015110726734357221,0.021744209208658764,0.0002990111825056374,0.00027642895500840884,0.0014362370628597482,AUTO,-35.3632622,149.16523745714287,0.0,0.0,0.0,0.7142857142857143
16:11:27,0.0,0.0,-1096.75,6.75,2.0,0.25,1500.0,0.003960484347771853,0.001043158516154108,0.021184759214520454,0.006043253582902253,0.0013290916685946286,0.0012658646010095254,AUTO,-35.3632621,149.1652375,531.75,0.0,0.25,-102.75
16:11:28,1.0,-5.8,-997.6,-17.2,20.6,-31.4,1500.0,0.046894317120313646,-0.0011857635341584682,0.0026071535423398016,-0.01776088625192642,0.02004952635616064,-0.03083053301088512,AUTO,-35.36326172,149.16523932,2710.4,5.6,33.4,-148.6
16:11:30,-1.0,4.0,-1001.0,42.0,10.0,0.0,1500.0,-0.05691853538155556,-0.019067980349063873,-0.078001007437706,0.04145436733961105,0.009967288002371788,0.0009931079111993313,AUTO,-35.3632615,149.1652454,6242.0,-2.0,-31.0,-150.0
16:11:34,2.6666666666666665,-1.0,-1002.0,-15.0,-7.0,-4.666666666666667,1500.0,-0.005074807908385992,-0.0075496481731534,-0.0915230264266332,-0.016131638394047815,-0.008150499779731035,-0.004369224887341261,AUTO,-35.3632625,149.16523596666664,11842.333333333334,-8.0,11.666666666666666,-152.33333333333334
16:11:45,0.0,0.0,-999.8333333333334,0.5,0.8333333333333334,-20.666666666666668,1500.0,0.0026000398599232235,0.0027420808716366687,-0.23410445700089136,0.0001829696799783657,0.0006139361163756499,-0.020986650449534256,AUTO,-35.36326173333334,149.16523663333334,23605.833333333332,-2.8333333333333335,3.1666666666666665,-154.0
