time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz
17:58:04,STABILIZE,-0.0006393798103090376,0.0010569958249107003,0.024931437335908413,0.00027310664881952107,0.00023726937070023268,0.001991303055547178,0.0,1.5,-1000.0,0.0,0.0,0.0,583970.0,-35.3632622,149.1652375,0.0,-1.0,2.0,0.0
17:58:08,STABILIZE,-0.0011177218984812498,0.0009464344184380025,0.023470628075301647,0.00024249841226264834,0.0003159301122650504,0.0017408273415639997,0.0,1.5,-1000.0,0.0,0.0,0.0,583980.0,-35.3632622,149.1652375,0.0,-1.0,0.0,-1.0
17:58:09,STABILIZE,-0.0010145698324777186,0.0009764883143361658,0.023066353052854538,0.00027696305187419057,0.0002482270065229386,0.0017463178373873234,0.0,1.0,-1000.0,1.0,0.0,0.0,583980.0,-35.3632622,149.1652375,0.0,-1.0,0.0,-1.0
17:58:12,STABILIZE,-0.0009087334619835019,0.0009746034047566354,0.02228673454374075,0.0002566407492849976,0.0002180102455895394,0.001671257137786597,0.0,2.0,-1000.0,0.0,0.0,1.0,583980.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
17:58:15,STABILIZE,-0.0007905247427212695,0.0009654205641709268,0.021452597652872402,0.00015039899153634906,0.000195367979661872,0.001520430048306783,0.0,2.0,-1000.0,1.0,1.0,1.0,583980.0,-35.3632622,149.1652375,0.0,-1.0,0.5,-1.0
17:58:17,STABILIZE,-0.0007183842535596341,0.0009737744403537363,0.02095055114477873,0.00016760005382820964,0.00029301404720172286,0.0014621890732087195,0.0,1.0,-1000.0,0.0,0.0,0.0,583980.0,-35.3632622,149.1652375,0.0,-1.0,2.0,0.0
17:58:18,STABILIZE,-0.0007537148194387555,0.0009786410082597286,0.020760233514010906,0.00014652273966930807,0.0002494242216926068,0.0013777394779026508,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.0,0.6666666666666666,583970.0,-35.3632622,149.1652375,0.0,-1.0,2.0,0.0
17:58:19,AUTO,-0.000910068629309535,0.0009798942094979186,0.020523638774951298,0.0002914324674444894,0.00021685935401668152,0.0013399669745316107,0.0,1.0,-1000.0,0.3333333333333333,1.0,1.0,583970.0,-35.3632622,149.1652375,1.6666666666666667,-1.0,1.0,0.0
17:58:20,AUTO,-0.0008816934617546698,0.0010736311863486965,0.020383649195233982,0.0003175464808009565,0.00034835348681857187,0.0013703832325215142,0.0,1.6666666666666667,-1000.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,583970.0,-35.3632622,149.1652375,0.6666666666666666,0.0,0.0,0.0
17:58:21,AUTO,-0.00030676643170105916,0.001408127136528492,0.020112324506044388,0.00025170837761834264,0.0003542534153287609,0.0013537259461979072,0.0,1.0,-1000.0,1.0,0.3333333333333333,0.6666666666666666,583953.3333333334,-35.3632622,149.1652375,0.0,0.0,0.6666666666666666,3.0
17:58:22,AUTO,-0.00012164927587339965,0.001632391707971692,0.01992476483186086,0.0003387641627341509,0.0002721270623927315,0.001335513312369585,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.3333333333333333,0.0,583950.0,-35.3632622,149.1652375,0.0,0.0,0.0,2.0
17:58:23,AUTO,0.00387301427933077,0.0008389565239970883,0.019677699853976566,-0.003017411877711614,0.003432729902366797,0.0009309274998183051,0.0,0.0,-1114.0,-2.0,3.6666666666666665,0.3333333333333333,584303.3333333334,-35.3632621,149.1652375,337.0,0.0,1.0,-86.33333333333333
17:58:24,AUTO,0.017658689835419256,-0.00011849252374910672,0.01930992677807808,0.044682249426841736,-0.006652131987114747,0.0017606751644052565,0.0,-0.3333333333333333,-1031.3333333333333,45.0,-5.666666666666667,1.0,585216.6666666666,-35.363262066666664,149.16523759999998,1252.0,0.3333333333333333,4.666666666666667,-139.33333333333334
17:58:25,AUTO,0.042945027351379395,0.0049132786225527525,-0.015366081769267717,-0.07573506732781728,0.04182066209614277,-0.06295798897432785,1.6666666666666667,-9.0,-995.0,-74.66666666666667,42.333333333333336,-63.0,587123.3333333334,-35.363261466666664,149.16524076666667,3158.0,8.333333333333334,47.0,-145.66666666666666
17:58:26,AUTO,-0.03190507429341475,0.013081112255652746,-0.06728368625044823,-0.052019006883104645,-0.024694491798679035,-0.03863924120863279,3.6666666666666665,-9.0,-1007.3333333333334,-51.0,-23.333333333333332,-38.333333333333336,588266.6666666666,-35.3632609,149.16524470000002,4300.666666666667,2.0,39.0,-147.33333333333334
17:58:27,AUTO,-0.05876661712924639,-1.844104190240614e-05,-0.10059483846028645,0.052433475852012634,0.00042077804876801866,-0.014958442188799381,-2.6666666666666665,5.0,-1002.0,52.666666666666664,1.0,-14.666666666666666,590193.3333333334,-35.363260833333335,149.16524536666668,6225.666666666667,-3.0,-35.333333333333336,-149.0
17:58:28,AUTO,-0.012977744763096174,0.0041467390256002545,-0.10754060993591945,0.06586115062236786,0.009715226478874683,-0.0025537412730045617,-5.666666666666667,11.666666666666666,-1002.6666666666666,66.0,10.0,-2.3333333333333335,591350.0,-35.363261200000004,149.16524126666667,7386.0,-9.0,-56.666666666666664,-150.0
17:58:29,AUTO,0.058469053357839584,0.0018845138450463612,-0.09606729944547017,0.012594175525009632,-0.04870980376532922,0.050431827548891306,1.0,6.0,-998.6666666666666,13.0,-47.666666666666664,49.666666666666664,593313.3333333334,-35.36326283333333,149.16523526666666,9346.666666666666,-16.666666666666668,-13.333333333333334,-152.66666666666666
