time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
16:29:53,STABILIZE,-0.00019200067799829412,0.001396839157678187,0.02660145703703165,0.00029205741884652525,0.00020684892660938203,0.0021255023311823606,583990.0,-35.36326215,149.1652375,4.5,-1.5,2.0,0.0,0.0,1.0,-1000.0,0.0,0.0,1.0
16:29:55,STABILIZE,-0.0005617832842593392,0.0011605247855186462,0.025865793228149414,0.0002502870144477735,0.00026295042092291016,0.0020671088714152575,583990.0,-35.3632622,149.1652375,0.3333333333333333,-1.0,1.0,0.0,0.0,1.2,-1000.0,0.2,0.0,0.4
16:29:59,STABILIZE,-0.0010464133229106665,0.000924091727938503,0.02413798961788416,0.00029702429310418665,0.0002623198088258505,0.0018379392568022013,583960.0,-35.3632622,149.1652375,0.0,-1.0,1.5,2.0,0.0,1.3333333333333333,-1000.0,0.0,0.0,0.0
16:30:05,STABILIZE,-0.0008995626121759415,0.0009754294102701048,0.02253087672094504,0.00029696097287038964,0.00015396977930019298,0.0016437739444275696,583984.0,-35.3632622,149.1652375,0.4,-1.0,0.0,-1.0,0.0,1.5,-1000.0,0.0,0.5,0.5
16:30:07,STABILIZE,-0.0007299896096810699,0.0009496309503447264,0.02198657998815179,0.0003171329735778272,0.00034091866109520197,0.0015145117649808526,583990.0,-35.3632622,149.1652375,6.0,-1.0,1.0,-0.5,0.0,1.0,-1000.0,0.5,0.0,0.5
16:30:09,AUTO,-0.0005289769712059448,0.0009592696248243252,0.021512240792314213,0.0003558908453366409,0.00029451252582172555,0.0014690877093623083,584010.0,-35.3632622,149.1652375,20.166666666666668,-1.0,0.3333333333333333,-2.3333333333333335,0.0,1.3333333333333333,-1000.0,0.16666666666666666,0.16666666666666666,0.5
16:30:11,AUTO,-0.000159864554007072,0.0010946571710519493,0.020986533413330715,0.0003191358312809219,0.00027858465909957886,0.0014245753797392051,584010.0,-35.3632622,149.1652375,7.833333333333333,-0.16666666666666666,0.6666666666666666,-0.6666666666666666,0.0,1.6666666666666667,-1000.0,0.8333333333333334,0.3333333333333333,0.5
16:30:13,AUTO,0.001176423558111613,0.0012339544482529163,0.020347064671417076,0.004136298259254545,-0.000995878401833276,0.0016591515547285478,584013.3333333334,-35.3632622,149.1652375,6.666666666666667,0.0,0.0,-5.0,0.0,1.1666666666666667,-1025.3333333333333,4.333333333333333,-0.5,0.6666666666666666
16:30:15,AUTO,0.027194744868514437,-0.0019217615869517128,0.019881644907097023,0.03738751516599829,-0.0062844826218982535,0.0022673256850490966,585516.6666666666,-35.36326201666667,149.16523778333337,1510.1666666666667,1.1666666666666667,10.166666666666666,-139.5,0.0,-1.1666666666666667,-1029.3333333333333,37.666666666666664,-5.5,1.5
16:30:18,AUTO,-0.026899158582091333,0.011135477153584362,-0.06596717163920403,-0.08297256380319595,-0.011375661916099488,-0.04380870759487152,588344.0,-35.36326094,149.16524448,4339.2,3.2,37.8,-146.4,3.8,-9.2,-1002.8,-81.8,-10.4,-43.4
16:30:20,AUTO,-0.03166463319212198,0.0040925410091100884,-0.10654650380214055,0.062034764016668,0.006785084765094022,-0.008220883983691843,590990.0,-35.36326103333333,149.16524255000002,6985.666666666667,-7.666666666666667,-51.0,-148.5,-4.833333333333333,9.333333333333334,-1002.1666666666666,62.0,7.0,-8.0
16:30:22,AUTO,0.050451126570502915,-0.021077132395779092,-0.07541142714520295,-0.037049400309721627,-0.031193428905680776,0.04171009509203335,594105.0,-35.36326365,149.1652346,10100.333333333334,-9.833333333333334,10.333333333333334,-149.5,2.0,1.5,-998.3333333333334,-36.166666666666664,-30.0,41.166666666666664
16:30:23,AUTO,-0.028238024096935987,0.005088769947178662,-0.11766296066343784,0.009864075807854533,0.037209699396044016,-0.07406783569604158,596490.0,-35.363261825,149.1652375,12484.75,27.25,1.75,-150.75,-4.25,-5.0,-1004.0,10.5,37.5,-73.75
16:30:24,AUTO,-0.007151621743105352,0.022081345319747925,-0.16248229146003723,0.04115348123013973,0.012666240334510803,-0.03627446945756674,597665.0,-35.363260350000004,149.16523684999999,13658.5,12.0,-15.5,-152.0,-5.5,0.5,-1001.0,41.0,13.0,-36.0
16:30:25,AUTO,0.016469758935272694,0.015006404556334018,-0.17193155884742736,-0.0011372330598533153,-0.013187924399971962,0.0038759925635531546,599670.0,-35.36326024,149.1652352,15662.0,-10.4,-1.0,-151.6,0.2,1.4,-999.2,-0.2,-11.6,3.4
16:30:27,AUTO,0.0015001757031617065,-0.0016370797651082587,-0.18420026451349258,-0.002048643034261962,-0.0007655677715471635,-0.020137480460107327,602675.0,-35.36326183333333,149.16523605,18665.5,-7.0,7.0,-152.0,1.3333333333333333,0.0,-1000.3333333333334,-1.1666666666666667,0.0,-19.833333333333332
16:30:29,AUTO,0.00397024885751307,0.0017138124361129787,-0.22833932687838873,0.00320740028594931,0.0035810136857132116,-0.0244330611700813,605491.6666666666,-35.36326209999999,149.1652364,21485.0,-0.3333333333333333,2.0,-152.83333333333334,0.0,0.0,-1000.0,3.6666666666666665,3.8333333333333335,-24.166666666666668
16:30:31,AUTO,0.0005885954014956951,0.004129082352543871,-0.2683548430601756,-0.010365353227825835,0.0023260382295120507,-0.010186194490718966,608621.6666666666,-35.36326209999999,149.1652366,24614.666666666668,-1.3333333333333333,2.8333333333333335,-152.5,0.0,0.0,-999.5,-9.5,3.0,-10.166666666666666
