time_stamp,MODE,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,EK2_ALT_SOURCE
16:08:11,STABILIZE,583980.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,583.97998046875,1500.0,0.0,2.0,-1000.0,0.5,0.75,0.75,-0.0008983056468423456,0.0010070211428683251,0.01927438424900174,0.00030727080593351275,0.00024293544993270189,0.0013084222155157477,0.0
16:08:54,AUTO,632492.5,-35.363314925000005,149.1651756,48526.25,-1.0,-49.5,-128.75,632.4924774169922,1500.0,-3.25,7.5,-952.75,81.0,-6.25,64.25,-0.06264249477953854,0.001975702471099794,0.06212794687598944,0.07915102085098624,-0.007575739058665931,0.06360365776345134,0.0
16:09:13,AUTO,624166.0,-35.36319726,149.16540516,40202.2,317.0,411.6,-33.2,624.1659790039063,1500.0,-106.6,-52.8,-1006.2,9.4,39.4,-7.6,0.07885951995849609,-0.1602157711982727,1.0110416889190674,0.012861554604023695,0.03828338086605072,-0.007957555050961674,0.0
16:09:20,AUTO,617528.0,-35.36299616,149.16562591999997,33562.6,97.2,62.8,72.6,617.527978515625,1500.0,-45.4,25.8,-1086.4,-148.4,-59.4,-29.4,0.13823454976081848,0.035835817269980905,1.0058852910995484,-0.1541011793538928,-0.06151544973254204,-0.028013509698212147,0.0
16:09:36,AUTO,613691.6666666666,-35.36267898333333,149.16623134999998,29726.333333333332,66.16666666666667,96.16666666666667,-0.16666666666666666,613.691660563151,1500.0,-25.833333333333332,-8.833333333333334,-1016.1666666666666,159.33333333333334,-99.16666666666667,40.833333333333336,0.06224157606872419,0.04859187896363437,1.0913801391919453,0.15688088769093156,-0.10173065215349197,0.040181238941537835,0.0
16:09:42,AUTO,617970.0,-35.362599239999994,149.16640890000002,34005.4,256.6,387.8,-95.8,617.9699829101562,1500.0,-69.8,-71.2,-975.6,16.2,-11.8,-149.8,0.06016905456781387,-0.10336066633462906,0.7932899355888366,0.01442207619547844,-0.014327152445912362,-0.15124987810850143,0.0
16:09:57,AUTO,615050.0,-35.36236828333334,149.16693438333334,31085.666666666668,-36.333333333333336,-37.333333333333336,-2.8333333333333335,615.0499877929688,1500.0,10.166666666666666,2.8333333333333335,-998.5,12.333333333333334,-6.333333333333333,-1.0,-0.016524169749269884,0.023717010704179604,1.1762190262476604,0.010311598579088846,-0.009232048643752933,-0.0031157975705961385,0.0
16:10:32,ALT_HOLD,622012.0,-35.36234402,149.16691469999998,38048.4,144.0,-179.2,196.2,622.0119750976562,1500.0,-4.8,59.6,-963.8,927.8,5.0,-5.4,-0.020336000027600675,0.0019389973604120314,1.1210808277130127,0.9295484155416489,0.0018998025450855493,-0.008130763890221715,0.0
16:10:59,AUTO,627940.0,-35.36240376666667,149.16685095,43974.166666666664,-24.0,-49.833333333333336,170.5,627.9399719238281,1500.0,-6.5,-38.666666666666664,-992.6666666666666,-901.0,-2.6666666666666665,13.166666666666666,-0.005039355834014714,-0.0007546272051210204,-1.974856932957967,-0.9049873550732931,-0.006243906294306119,0.010225092992186546,0.0
16:11:06,AUTO,625076.0,-35.3624243,149.16678746000002,41108.8,-12.8,-55.6,-3.6,625.0759765625,1500.0,-12.2,-1.6,-994.6,-18.2,6.4,1.0,0.02011661548167467,0.05649907737970352,-1.917019748687744,-0.022476044297218323,0.00344695970416069,-0.0023952090181410314,0.0
16:11:31,AUTO,623660.0,-35.36270783333334,149.1659910666667,39695.666666666664,-82.0,-413.1666666666667,-101.33333333333333,623.6599934895834,1500.0,-64.83333333333333,-71.0,-988.3333333333334,23.666666666666668,5.833333333333333,-113.16666666666667,0.087315217902263,-0.0819472037255764,-2.1049376328786216,0.019660782845069964,0.0027604051865637302,-0.11722674096624057,0.0
16:11:37,ALT_HOLD,631001.4285714285,-35.36273715714286,149.16572485714286,47034.857142857145,-26.571428571428573,-234.42857142857142,-154.71428571428572,631.0014125279018,1500.0,-41.0,-40.57142857142857,-1003.0,-5.571428571428571,19.142857142857142,31.571428571428573,0.015210063994995185,0.0416915017579283,-1.9735651527132307,-0.010363344535497683,0.01618747173675469,0.02845573372074536,0.0
16:11:43,AUTO,626765.0,-35.3627231,149.16556368333335,42797.5,-7.0,-205.0,136.83333333333334,626.7649739583334,1500.0,-41.333333333333336,13.833333333333334,-1070.0,436.5,120.5,-25.666666666666668,0.010044181253761053,0.07779082795605063,-1.5952016512552898,0.4272797803084056,0.11721692342932026,-0.029675256926566362,0.0
16:12:08,AUTO,616385.0,-35.362743425,149.165681075,32419.25,32.25,-5.25,0.25,616.385009765625,1500.0,1.25,7.0,-994.5,338.0,-1.0,3.0,-0.022504434920847416,0.01156048197299242,1.7647946178913116,0.3355624210089445,-0.006035084254108369,-0.00018902821466326714,0.0
16:12:20,AUTO,608036.6666666666,-35.36272863333333,149.16568693333332,24071.333333333332,-12.333333333333334,-1.0,62.666666666666664,608.0366414388021,1500.0,0.6666666666666666,36.333333333333336,-1007.3333333333334,214.66666666666666,6.666666666666667,7.0,-0.004938379318142931,0.016098456767698128,1.754326581954956,0.20243749022483826,0.002243500047673782,0.0035193952110906443,0.0
