time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro
20:35:43,-0.0002848290653976922,0.001252511846056829,0.02656181591252486,0.000275372289858448,0.00023887535401930413,0.002153804797368745,-35.3632622,149.16523745,17.5,-1.0,1.0,-2.0,STABILIZE,1500.0,0.0,1.3333333333333333,-1000.0,0.0,0.0,0.0
20:35:49,-0.0008013554324861616,0.0009735378553159535,0.02352263405919075,0.00020007160492241383,0.00023451895685866475,0.0018161461921408772,-35.3632621,149.1652375,30.0,-1.0,1.0,0.0,STABILIZE,1500.0,0.0,1.5,-1000.0,0.0,0.0,0.0
20:35:57,-0.000895289257944872,0.0009710793965496123,0.02157506098349889,0.00028379703871905804,0.0001780407619662583,0.0014711195835843682,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,AUTO,1500.0,0.0,1.6666666666666667,-1000.0,0.0,0.0,0.3333333333333333
20:35:59,-0.0007003981445450336,0.0012247237900737673,0.021187528036534786,0.00025216565700247884,0.000273325145826675,0.001395087194396183,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,AUTO,1500.0,0.0,1.75,-1000.0,0.5,0.25,0.5
20:36:01,0.019637911735723417,-0.002335992641746998,0.02069366288681825,0.047341037541627884,-0.006919332779943943,0.002108104449386398,-35.3632621,149.16523753333334,468.6666666666667,0.6666666666666666,4.666666666666667,-117.66666666666667,AUTO,1500.0,0.0,-0.25,-1152.5,38.25,-6.0,1.0
20:36:06,-0.012987272813916206,0.019360849633812904,-0.10626556724309921,-0.07215894013643265,-0.14372605085372925,0.046383775770664215,-35.3632613,149.1652473,3787.0,-15.0,60.0,-147.0,AUTO,1500.0,11.0,-10.0,-1005.0,-71.0,-142.0,46.0
20:36:08,-0.0655965581536293,-0.0019515057792887092,-0.13097308576107025,0.06852169334888458,0.02452237717807293,-0.012939860112965107,-35.3632613,149.1652457,6844.0,1.0,-89.0,-145.0,AUTO,1500.0,-11.0,15.0,-1001.0,68.0,25.0,-13.0
20:36:10,0.08174169808626175,0.03823947533965111,-0.13130538165569305,0.0737994983792305,-0.005277340766042471,0.007584990467876196,-35.3632649,149.1652273,9788.0,-49.0,-36.0,-154.0,AUTO,1500.0,1.0,16.0,-1003.0,74.0,-4.0,7.0
20:36:12,-0.004051356576383114,-0.08362719416618347,-0.029706859961152077,-0.13300657272338867,0.1526912897825241,-0.1276591271162033,-35.3632683,149.1652386,12819.0,71.0,95.0,-142.0,AUTO,1500.0,1.0,-27.0,-1009.0,-132.0,153.0,-127.0
20:36:14,-0.07878109812736511,0.054869189858436584,-0.28510943055152893,0.05405428633093834,0.035983048379421234,-0.0485563799738884,-35.3632558,149.1652419,15907.0,12.0,-70.0,-151.0,AUTO,1500.0,-14.0,5.0,-999.0,54.0,36.0,-48.0
20:36:16,0.07477181404829025,0.06731859594583511,-0.30600568652153015,0.08643629401922226,-0.03988621383905411,0.008736509829759598,-35.3632668,149.165227,18973.0,-120.0,-6.0,-150.0,AUTO,1500.0,12.0,24.0,-1005.0,87.0,-39.0,8.0
20:36:18,-0.01500320341438055,-0.17675355076789856,-0.15020570158958435,-0.23387515544891357,0.18704931437969208,-0.12766556441783905,-35.3632771,149.1652437,21994.0,87.0,106.0,-138.0,BRAKE,1500.0,3.0,-31.0,-1003.0,-232.0,187.0,-127.0
20:36:20,0.021077733486890793,0.4366660714149475,-0.05747922882437706,-0.08645203709602356,0.04670974612236023,0.2121165692806244,-35.3632496,149.1652488,24794.0,17.0,0.0,-119.0,BRAKE,1500.0,-10.0,-5.0,-975.0,-85.0,47.0,211.0
20:36:22,-0.004060979932546616,-0.0970679223537445,-0.10723444819450378,-0.3823801279067993,0.04554515331983566,-0.017876995727419853,-35.3632681,149.1652564,25854.0,-43.0,43.0,-12.0,ALT_HOLD,1500.0,16.0,-34.0,-972.0,-385.0,46.0,-17.0
20:36:24,0.02020416595041752,-0.01338935922831297,-0.11825824528932571,1.0870462656021118,-0.09736672043800354,-0.014117293059825897,-35.3632735,149.1652621,24123.0,-29.0,19.0,178.0,AUTO,1500.0,5.0,-5.0,-1003.0,1081.0,-96.0,-14.0
20:36:26,0.026872459799051285,-0.011889910325407982,-0.12823860347270966,0.05177830159664154,-0.00600028783082962,0.0002661414328031242,-35.363276,149.1652626,23883.0,5.0,11.0,-139.0,AUTO,1500.0,0.0,1.0,-1041.0,53.0,-5.0,0.0
20:36:28,-0.03152044955641031,0.02284659445285797,-0.19871298223733902,-0.11481865495443344,-0.03503446280956268,-0.03954060189425945,-35.36327405,149.16526755,26650.5,13.5,53.0,-146.0,AUTO,1500.0,3.5,-11.0,-1007.0,-113.0,-34.0,-38.5
20:36:30,0.0037170755676925182,0.0012718617217615247,-0.2252953201532364,0.04691309854388237,-0.006812911480665207,0.010242199525237083,-35.3632747,149.1652653,29917.0,-11.0,-30.0,-151.0,AUTO,1500.0,-4.0,7.0,-1001.0,48.0,-6.0,10.0
20:36:32,0.006889570038765669,0.0010888311080634594,-0.2226286679506302,-0.011688511818647385,0.0033524376340210438,-0.01267425436526537,-35.3632757,149.1652613,32860.0,-1.0,-1.0,-150.0,AUTO,1500.0,0.0,0.0,-1000.0,-9.0,4.0,-12.0
