,A.BRAKE1
20:37:00.783,-1
20:37:00.985,-1
20:37:01.186,-1
20:37:01.388,-1
20:37:01.590,-1
20:37:01.791,-1
20:37:01.993,1
20:37:02.194,1
20:37:02.397,1
20:37:02.603,1
20:37:02.805,1
20:37:03.006,1
20:37:03.209,1
20:37:03.416,1
20:37:03.617,1
20:37:03.820,1
20:37:04.023,1
20:37:04.224,-1
20:37:04.426,-1
20:37:04.629,-1
20:37:04.831,-1
20:37:05.033,-1
20:37:05.236,-1
20:37:05.437,-1
20:37:05.640,-1
20:37:05.844,-1
20:37:06.046,-1
20:37:06.247,-1
20:37:06.450,-1
20:37:06.651,-1
20:37:06.856,-1
20:37:07.057,-1
20:37:07.261,-1
20:37:07.466,-1
20:37:07.668,-1
20:37:07.869,-1
20:37:08.071,-1
20:37:08.273,-1
20:37:08.477,-1
20:37:08.679,-1
20:37:08.881,-1
20:37:09.083,-1
20:37:09.284,-1
20:37:09.486,-1
20:37:09.687,-1
20:37:09.888,-1
20:37:10.090,-1
20:37:10.292,-1
20:37:10.494,-1
20:37:10.697,-1
20:37:10.899,-1
20:37:11.113,-1
20:37:11.315,-1
20:37:11.516,-1
20:37:11.717,-1
20:37:11.918,-1
20:37:12.119,-1
20:37:14.367,-1
20:37:14.569,-1
20:37:14.771,-1
20:37:14.973,-1
20:37:15.176,-1
20:37:15.378,-1
20:37:15.580,-1
20:37:15.782,-1
20:37:15.985,-1
20:37:16.189,-1
20:37:16.390,-1
20:37:16.593,-1
20:37:16.795,-1
20:37:17.000,-1
20:37:17.201,-1
20:37:17.402,-1
20:37:17.603,-1
20:37:17.805,-1
20:37:18.007,-1
20:37:18.208,-1
20:37:18.411,-1
20:37:18.613,-1
20:37:18.815,-1
20:37:19.019,-1
20:37:19.220,-1
20:37:19.422,-1
20:37:19.624,-1
20:37:19.826,-1
20:37:20.029,-1
20:37:20.232,-1
20:37:20.441,-1
20:37:20.642,-1
20:37:20.844,-1
20:37:21.046,-1
20:37:21.250,-1
20:37:21.453,-1
20:37:21.655,-1
20:37:21.858,-1
20:37:22.059,-1
20:37:22.261,-1
20:37:22.465,-1
20:37:22.667,-1
20:37:22.869,-1
20:37:23.071,-1
20:37:23.273,-1
20:37:23.476,-1
20:37:23.679,-1
20:37:23.880,1
20:37:24.082,1
20:37:24.284,1
20:37:24.487,1
20:37:24.690,1
20:37:24.892,1
20:37:25.096,1
20:37:25.299,1
20:37:25.500,1
20:37:25.703,1
20:37:25.905,1
20:37:26.109,-1
20:37:26.310,-1
20:37:26.512,-1
20:37:26.716,-1
20:37:26.917,-1
20:37:27.120,-1
20:37:27.322,-1
20:37:27.524,-1
20:37:27.725,-1
20:37:27.927,-1
20:37:28.129,-1
20:37:28.330,-1
20:37:28.532,-1
20:37:28.733,-1
20:37:28.936,-1
20:37:29.138,-1
