time_stamp,EK2_ALT_SOURCE,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,RTL_ALT
11:41:08,0.0,603122.0,-35.3632341,149.16523896,19166.8,9.4,86.4,-156.4,603.1219848632812,1.6,-21.2,-1003.6,-32.8,46.8,-117.8,-0.015430126897990703,0.14721783101558686,0.03760159313678742,-0.03409354649484157,0.04665978252887726,-0.1176918551325798,AUTO,1500.0
11:41:24,0.0,626800.0,-35.3633138,149.1652178,42843.0,-123.0,145.0,-154.0,626.7999877929688,35.0,-11.0,-1004.0,18.0,-167.0,91.0,0.18864966928958893,-0.15775421261787415,-0.10604222863912582,0.017350437119603157,-0.16869227588176727,0.09186089038848877,AUTO,1500.0
11:41:42,0.0,633922.5,-35.36309355,149.16500385,49968.25,415.75,-434.25,-9.75,633.9225006103516,-127.75,-68.0,-1026.5,86.5,104.5,-22.25,0.08428606204688549,-0.10766297578811646,-0.7859264463186264,0.08656392805278301,0.10467623360455036,-0.022955007385462523,AUTO,1500.0
11:41:45,0.0,634055.7142857143,-35.362975285714285,149.16484595714286,50099.71428571428,232.57142857142858,-225.14285714285714,8.0,634.0556989397321,-56.42857142857143,-74.42857142857143,-1000.0,-934.8571428571429,-113.0,10.571428571428571,0.05207188321011407,0.07671432849019766,-0.7879385437284198,-0.9390657033239093,-0.11357859202793666,0.01190652176072555,AUTO,1500.0
11:41:51,0.0,633957.5,-35.362910725000006,149.16475839999998,50000.75,10.5,7.5,0.0,633.9574737548828,-0.25,-10.0,-1002.0,132.25,-13.5,3.75,0.02538826083764434,-0.011997480876743793,-0.8114401251077652,0.14025808218866587,-0.013757478212937713,0.004030219715787098,AUTO,1500.0
11:42:59,0.0,620180.0,-35.36326278,149.1652364,36224.2,6.8,7.2,98.2,620.1799926757812,1.4,-40.2,-1027.0,-1143.4,-4.2,3.6,-0.009850254654884339,0.003675628174096346,-0.8073213338851929,-1.1495203375816345,-0.0050051527621690186,0.0016030669678002596,RTL,1500.0
11:43:05,0.0,614145.0,-35.36326296666667,149.16523668333335,30189.833333333332,6.666666666666667,4.5,97.5,614.1449788411459,0.8333333333333334,-6.0,-994.0,645.8333333333334,2.0,-1.3333333333333333,0.02983507700264454,0.0008080014813458547,-0.8081188102563223,0.6571608732144038,0.0017520355759188533,-0.003376525865557293,RTL,1500.0
11:43:32,0.0,594258.0,-35.36326157999999,149.16523798,10303.8,-1.2,-0.6,31.4,594.2579833984375,2.6,-26.8,-996.8,-772.4,1.0,1.2,-0.02049417942762375,0.003896503150463104,-0.806431794166565,-0.7754819810390472,0.00034969826228916647,-0.0007900293916463852,RTL,1500.0
11:43:39,0.0,592446.6666666666,-35.3632628,149.16523625000002,8492.833333333334,5.666666666666667,8.333333333333334,-4.333333333333333,592.4466552734375,0.0,3.8333333333333335,-996.5,-5.666666666666667,0.0,2.3333333333333335,0.00887722039866882,0.0031261640833690763,-0.806659072637558,-0.009460613131523132,-0.000608101487159729,0.0006116737107125422,RTL,1500.0
11:43:48,0.0,592154.0,-35.363261859999994,149.16523748,8195.4,-3.0,0.2,37.2,592.1539916992188,-1.0,48.0,-995.8,946.4,2.0,2.8,0.01593492943793535,0.0019572657765820622,-0.805886161327362,0.9395642518997193,0.001643548218999058,0.0007780652027577162,RTL,1500.0
