time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,MODE
16:21:24,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.00010468842083355412,0.0015092083485797048,0.026829262574513752,0.00036401648928100866,0.00027834785093242925,0.0023066598611573377,1500.0,-35.36326215,149.1652375,0.0,-2.0,1.5,0.0,STABILIZE
16:21:26,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0004199135582894087,0.0011384608806110919,0.025776667520403862,0.00019529341079760343,0.00018883334996644408,0.002073052921332419,1500.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE
16:21:28,0.0,1.5,-1000.0,0.5,0.0,0.5,-0.0008092572970781475,0.0009570508118486032,0.024914662819355726,0.00022326737234834582,0.0002085775777231902,0.0019758681883104146,1500.0,-35.3632621,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE
16:21:32,0.0,1.4,-1000.0,0.6,0.0,0.2,-0.000806411961093545,0.0010040635243058205,0.02350735105574131,0.00022370455553755164,0.00030646874802187085,0.0017205830663442612,1500.0,-35.36326215,149.16523745,0.0,-1.0,0.5,0.0,STABILIZE
16:21:34,0.0,1.0,-1000.0,0.0,0.0,1.0,-0.0007787490030750632,0.001016543828882277,0.023152325302362442,0.00019836117280647159,0.000388396845664829,0.0016547995619475842,1500.0,-35.3632622,149.16523745,0.0,-1.0,1.0,0.0,STABILIZE
16:21:36,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0005333660170435906,0.0010044335620477795,0.022566239908337594,0.0002991048735566437,0.00023407215485349298,0.0016248732805252074,1500.0,-35.3632622,149.1652374,0.0,-1.0,0.3333333333333333,-1.3333333333333333,STABILIZE
16:21:40,0.0,1.25,-1000.0,0.5,0.0,0.75,-0.0006336617128302654,0.0010023044887930155,0.0215463824570179,0.00036053922182569903,0.0003096266688468556,0.001451684821707507,1500.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,STABILIZE
16:21:42,0.0,-0.8333333333333334,-1003.6666666666666,1.6666666666666667,0.5,0.6666666666666666,-0.000686386541929096,0.0009807688572133582,0.021098508189121883,0.0010834044078364968,0.000253820646321401,0.001445302312883238,1500.0,-35.3632622,149.1652375,1.3333333333333333,-1.0,1.0,0.0,AUTO
16:21:44,0.0,1.3333333333333333,-1000.0,0.5,0.6666666666666666,0.6666666666666666,-0.0005309432647967091,0.0011493734588536124,0.02075267769396305,0.0003050227533094585,0.0002536619819390277,0.0014066140283830464,1500.0,-35.36326209999999,149.1652375,2.6666666666666665,0.0,0.0,0.0,AUTO
16:21:46,0.0,1.0,-1040.8333333333333,4.166666666666667,-0.6666666666666666,1.0,0.0007437948744761039,0.0011300587793812156,0.02036827274908622,0.003885237480668972,-0.0011755802164164682,0.0017744978540576994,1500.0,-35.36326209999999,149.1652375,11.666666666666666,0.0,0.0,-7.666666666666667,AUTO
16:21:48,0.16666666666666666,-1.1666666666666667,-1031.5,36.666666666666664,-4.666666666666667,1.3333333333333333,0.024170717399101704,-0.0014250672969258933,0.020032761618494987,0.03639734288056692,-0.005780681191633145,0.001973544645200794,1500.0,-35.363262033333335,149.16523773333333,1497.5,1.1666666666666667,9.0,-139.33333333333334,AUTO
16:21:54,-2.0,-5.0,-1001.0,-80.0,130.0,-122.0,-0.054548315703868866,-0.003951630089432001,-0.055573876947164536,-0.08141236007213593,0.1295759081840515,-0.12196949869394302,1500.0,-35.3632597,149.1652467,5482.0,23.0,9.0,-148.0,AUTO
16:21:56,-1.3333333333333333,17.666666666666668,-1003.0,75.0,-0.6666666666666666,-14.333333333333334,0.006766450358554721,0.04311639443039894,-0.18002592772245407,0.07609966024756432,-0.004502787720412016,-0.01104510948061943,1500.0,-35.363261533333336,149.16523876666668,8153.666666666667,-51.333333333333336,-59.666666666666664,-148.66666666666666,AUTO
16:21:58,2.6,4.6,-1001.4,46.0,-28.8,61.4,0.054132865741848946,-0.07086815871298313,-0.05914659332484007,0.042405541986227036,-0.026065439451485872,0.05734308995306492,1500.0,-35.363269325,149.16523225,11076.0,-1.0,2.5,-152.0,AUTO
16:22:00,-9.666666666666666,-18.666666666666668,-1002.6666666666666,-106.0,43.666666666666664,-70.66666666666667,-0.05420924723148346,0.025440623983740807,-0.15066735446453094,-0.03471433836966753,0.057963183149695396,-0.07730495929718018,1500.0,-35.36325600000001,149.1652408,14500.5,78.0,16.5,-152.0,AUTO
16:22:02,3.0,15.0,-1001.0,69.0,-17.0,-3.0,0.026543715968728065,0.07047451287508011,-0.2289140671491623,0.06866846233606339,-0.017671959474682808,-0.0031320981215685606,1500.0,-35.3632546,149.1652346,17843.0,-68.0,-20.0,-150.0,AUTO
16:22:04,14.4,-1.4,-1007.4,-99.8,-81.0,93.2,0.002811351232230663,-0.08122473852708936,-0.12312465608119964,-0.10123160853981972,-0.08195494711399079,0.09357739016413688,1500.0,-35.363264040000004,149.1652383,20141.4,-35.8,48.2,-150.2,AUTO
16:22:06,-25.0,7.0,-1007.5,60.5,63.0,-22.5,-0.028120627626776695,0.01782147167250514,-0.24095074832439423,0.060217102989554405,0.06248919665813446,-0.02319665625691414,1500.0,-35.3632559,149.1652303,23777.5,40.5,-101.5,-150.5,AUTO
