time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
10:26:41,2.0358154870336875e-05,0.00145141186658293,0.028887439519166946,0.0001573547488078475,0.0003882036544382572,0.002476626308634877,584040.0,-35.3632621,149.1652374,57.0,0.0,0.0,-2.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE
10:26:43,-0.00010717628902057186,0.0013576748315244913,0.02671576663851738,0.00022982241353020072,0.00025562202790752053,0.0020324583165347576,584010.0,-35.3632621,149.1652375,23.0,-2.0,2.0,0.0,0.0,1.0,-1000.0,0.0,0.0,1.0,STABILIZE
10:26:51,-0.0007168672455009073,0.0009334496280644089,0.023854240775108337,0.0003021419106516987,0.00026598916156217456,0.0017702793702483177,583990.0,-35.3632622,149.1652375,2.5,-1.0,1.0,0.0,0.0,1.25,-1000.0,0.5,0.0,0.0,STABILIZE
10:26:55,-0.0009118848538491875,0.0009653151646489277,0.022617429960519075,0.0030399526440305635,0.00024996482534334064,0.0016587027930654585,583962.5,-35.3632622,149.1652375,0.0,-1.0,1.25,1.25,0.0,7.6,-991.2,2.4,0.2,0.0,STABILIZE
10:26:57,-0.0009000131588739654,0.0009687103447504342,0.022064024582505226,0.00021574339674164852,0.0002826446240457396,0.001571907855880757,583950.0,-35.3632622,149.1652375,0.0,-1.0,1.3333333333333333,2.0,0.0,1.5,-1000.0,0.5,0.0,0.0,STABILIZE
10:27:01,-0.0009100714620823661,0.0009838826372288167,0.021255952616532642,0.0002841220120899379,0.0002836653341849645,0.001464837269547085,583956.6666666666,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,0.0,1.4,-1000.0,0.4,0.8,0.6,STABILIZE
10:27:03,-0.0009502480776670078,0.0009689760821250578,0.0208735844741265,0.00025362906550678116,0.0002737349520126979,0.0013934536448990305,583960.0,-35.3632622,149.1652375,1.1666666666666667,-1.0,1.0,0.0,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.5,0.16666666666666666,AUTO
10:27:05,-0.0008646320784464478,0.001081787922885269,0.020572127774357796,0.0002644024110243966,0.00023593001727325222,0.0013778140613188346,583960.0,-35.3632622,149.1652375,7.0,-0.16666666666666666,0.16666666666666666,0.0,0.0,1.8333333333333333,-1000.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,AUTO
10:27:07,-6.738711575356622e-05,0.0014106263600600262,0.02019580826163292,0.0029137083232247583,-0.0014418259961530566,0.0014445691679914792,583970.0,-35.3632622,149.16523743333332,13.5,0.0,0.0,-1.6666666666666667,0.0,1.0,-1020.1666666666666,3.3333333333333335,-1.1666666666666667,0.16666666666666666,AUTO
10:27:09,0.020832461401975404,-0.0011266331372704979,0.019703389145433903,0.034559028688818216,-0.004927249799948186,0.0016571880114497617,585273.3333333334,-35.363262033333335,149.16523763333333,1316.6666666666667,1.0,7.0,-135.66666666666666,0.16666666666666666,-0.6666666666666666,-1040.6666666666667,34.833333333333336,-3.8333333333333335,1.1666666666666667,AUTO
10:27:11,-0.026433783505732816,0.014021170209161937,-0.06763791665434837,-0.0894861997415622,-0.0052863864790803445,-0.046626651232751705,588293.3333333334,-35.36326101666666,149.16524416666667,4340.0,1.5,36.5,-147.16666666666666,3.6666666666666665,-7.833333333333333,-1002.1666666666666,-88.33333333333333,-4.333333333333333,-46.5,AUTO
10:27:13,-0.0184800341570129,-0.003699502606953805,-0.09147340680162112,0.06298285598556201,0.00936566322343424,0.0008660986301644394,591221.6666666666,-35.36326125,149.16524138333332,7265.833333333333,-2.6666666666666665,-51.833333333333336,-150.0,-5.666666666666667,9.666666666666666,-1002.3333333333334,63.166666666666664,9.5,0.3333333333333333,AUTO
10:27:15,0.03886072934255935,0.0008418387442361563,-0.08251509939630826,-0.03503243780384461,-0.00873905944172293,0.004333728303511937,594031.6666666666,-35.3632622,149.16523465,10076.666666666666,-5.666666666666667,4.0,-150.33333333333334,0.6666666666666666,1.1666666666666667,-998.5,-34.166666666666664,-7.833333333333333,3.8333333333333335,AUTO
10:27:17,-0.009122761525213718,-0.0009238357946742326,-0.11554040163755416,0.012126655038446187,0.005932784685865044,-0.02440263219177723,596950.0,-35.36326226,149.16523642,12991.4,3.8,-0.4,-151.6,-0.8,-0.6,-1000.4,12.4,6.4,-24.2,AUTO
10:27:18,0.00475094902018706,0.004827926711489757,-0.1388606329758962,0.011778416422506174,0.0046660564839839935,-0.017094676693280537,598510.0,-35.36326183333333,149.1652359,14555.666666666666,2.0,-5.0,-152.0,-2.0,0.0,-1000.0,12.0,5.0,-16.666666666666668,AUTO
10:27:19,0.009220042265951633,0.006643213486919801,-0.15616401533285776,-0.0004861693790492912,-0.001119833478393654,-0.011674339572588602,600303.3333333334,-35.3632616,149.1652354,16349.333333333334,-1.0,1.3333333333333333,-152.0,-0.3333333333333333,0.0,-1000.0,0.3333333333333333,0.0,-11.666666666666666,AUTO
10:27:20,0.0068174150461951894,0.005208519597848256,-0.16587543984254202,-0.0031513196881860495,-0.0013058252322177093,-0.014124128657082716,601480.0,-35.3632616,149.1652354,17522.333333333332,-2.6666666666666665,5.0,-152.0,0.0,0.0,-999.6666666666666,-1.6666666666666667,-0.3333333333333333,-14.0,AUTO
10:27:21,0.00268959680882593,0.0036623463965952396,-0.18484233816464743,-0.0006986181251704693,0.00023010262520983815,-0.01939553829530875,603270.0,-35.363261666666666,149.16523583333336,19318.333333333332,-3.0,6.0,-152.0,0.0,0.0,-1000.0,-1.0,0.0,-18.0,AUTO
