time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,lat,lon,relative_alt,vx,vy,vz,chan4_raw
14:19:12,-0.000984490183847291,0.0009286811359093658,0.025009279804570333,0.0002724629011936486,0.00021294609177857637,0.0018459607547681247,0.0,1.8,-1000.0,0.2,0.4,0.0,1500.0,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0
14:19:23,-0.0010456996271386743,0.0009856764343567192,0.022909005358815192,0.00026359942276030777,0.0002753980690613389,0.0015603148145601153,0.0,1.2,-1000.0,0.4,0.6,0.2,1500.0,AUTO,-35.3632622,149.1652375,0.0,-1.0,0.6,-1.2,1500.0
14:19:25,-0.0007066420512273908,0.0010748480757077534,0.022483195799092453,0.00031153632638355094,0.00022696662927046418,0.0015487601825346549,0.0,1.3333333333333333,-1000.0,0.5,0.5,0.3333333333333333,1500.0,AUTO,-35.3632622,149.1652375,16.166666666666668,-0.3333333333333333,0.0,-2.1666666666666665,1500.0
14:19:27,-0.00025819805305218326,0.0015255847247317433,0.021927347779273985,0.0003287904313765466,0.0002697196789085865,0.0014922635164111853,0.0,1.4,-1000.0,0.6,0.4,0.0,1500.0,AUTO,-35.3632622,149.1652375,17.6,0.0,0.0,-1.0,1500.0
14:19:29,0.008322896552272141,0.00022555866841382036,0.02144608087837696,0.019294123359334964,-0.0012934113037772477,0.0013870844171227266,0.0,0.0,-1083.0,20.0,-0.3333333333333333,0.6666666666666666,1500.0,AUTO,-35.3632621,149.1652375,701.1666666666666,0.16666666666666666,2.0,-107.83333333333333,1500.0
14:19:31,0.013626977180441221,0.007947175996378064,-0.03534044697880745,-0.061670808121562004,0.0079994418968757,-0.04711745997580389,3.3333333333333335,-9.0,-1000.6666666666666,-60.666666666666664,8.666666666666666,-47.333333333333336,1500.0,AUTO,-35.36326126666666,149.16524209999997,3571.8333333333335,5.333333333333333,44.666666666666664,-147.0,1500.0
14:19:33,-0.038251754734665154,0.002393605733232107,-0.10297552347183228,0.06154950112104416,0.006158424820750952,-0.008234391873702406,-4.4,9.0,-1001.4,61.8,6.6,-8.0,1500.0,AUTO,-35.36326098,149.16524312,6824.8,-6.2,-50.4,-148.6,1500.0
14:19:35,0.030448491597780958,-0.03576545308654507,0.045909254190822445,0.026088865629086893,-0.006401923174659411,0.49725986272096634,-3.8333333333333335,6.666666666666667,-951.1666666666666,26.666666666666668,-6.0,495.3333333333333,1500.0,AUTO,-35.363262283333334,149.16523286666666,9723.333333333334,6.5,-29.166666666666668,-146.5,1794.0
14:19:37,0.04218289349228144,0.03813957329839468,1.733705759048462,-0.06589172221720219,0.15110241807997227,0.34907158371061087,-9.25,-10.0,-1012.5,-64.5,151.25,348.0,1500.0,AUTO,-35.36326115,149.16523735,12997.75,-26.0,46.5,-145.5,1500.0
14:19:39,0.00010039693942027432,0.0520770823849099,1.7695200613566808,-0.0031677565670439173,-0.1203960393156324,-0.06021235989672797,21.428571428571427,6.142857142857143,-1006.1428571428571,-2.4285714285714284,-119.0,-60.0,1500.0,AUTO,-35.3632629,149.1652298142857,15664.42857142857,1.8571428571428572,-99.14285714285714,-144.0,1500.0
